Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Belgium","Antwerp","",0,1857986,288159,0,15509.21,0.00,0.0000,5,288,368,329,24.66,25975,0,0.090,0.000,0.0000,368,519,428,33.76,54913,0,0.191,0.000,0.0000,519,597,560,15.70,18147,0,0.063,0.000,0.0000,597,701,675,168.31,134842,0,0.468,0.000,0.0000,701,725,721,184.52,55773,0,0.194,0.000,0.0000
"Belgium","Brussels","",0,1208542,228784,0,18930.58,0.00,0.0000,4,288,336,301,27.07,9258,0,0.040,0.000,0.0000,336,517,428,49.47,52788,0,0.231,0.000,0.0000,517,611,587,42.33,32100,0,0.140,0.000,0.0000,611,725,720,299.63,135276,0,0.591,0.000,0.0000,,,,,,,,,
"Belgium","East Flanders","",0,1515064,255412,0,16858.17,0.00,0.0000,5,288,359,300,30.87,22780,0,0.089,0.000,0.0000,359,516,428,45.19,55129,0,0.216,0.000,0.0000,516,601,574,14.54,14438,0,0.057,0.000,0.0000,601,702,676,203.03,115079,0,0.451,0.000,0.0000,702,725,721,199.58,49246,0,0.193,0.000,0.0000
"Belgium","Flemish Brabant","",0,1146174,179354,0,15648.06,0.00,0.0000,5,288,343,300,18.86,8868,0,0.049,0.000,0.0000,343,513,428,31.23,33271,0,0.186,0.000,0.0000,513,589,553,17.73,11981,0,0.067,0.000,0.0000,589,688,678,158.62,71001,0,0.396,0.000,0.0000,688,725,720,216.85,55849,0,0.311,0.000,0.0000
"Belgium","Hainaut","",0,1344241,202662,0,15076.31,0.00,0.0000,3,287,353,299,46.22,21113,0,0.104,0.000,0.0000,353,524,429,47.85,56104,0,0.277,0.000,0.0000,524,725,721,176.53,125728,0,0.620,0.000,0.0000,,,,,,,,,,,,,,,,,,
"Belgium","Liege","",0,1106992,167832,0,15161.09,0.00,0.0000,5,287,366,299,40.68,15351,0,0.091,0.000,0.0000,366,388,374,15.81,3574,0,0.021,0.000,0.0000,388,532,433,29.42,28506,0,0.170,0.000,0.0000,532,690,676,114.26,81088,0,0.483,0.000,0.0000,690,725,720,168.53,40557,0,0.242,0.000,0.0000
"Belgium","Limburg","",0,874048,138072,0,15796.84,0.00,0.0000,5,288,392,371,25.12,15724,0,0.114,0.000,0.0000,392,521,431,36.95,24133,0,0.175,0.000,0.0000,521,601,581,14.34,7182,0,0.052,0.000,0.0000,601,704,674,183.96,67917,0,0.492,0.000,0.0000,709,725,722,176.12,21046,0,0.152,0.000,0.0000
"Belgium","Luxembourg","",0,284638,47835,0,16805.56,0.00,0.0000,4,287,357,300,40.38,4712,0,0.099,0.000,0.0000,357,525,434,57.91,12250,0,0.256,0.000,0.0000,525,702,679,146.48,23292,0,0.487,0.000,0.0000,702,725,721,158.12,7814,0,0.163,0.000,0.0000,,,,,,,,,
"Belgium","Namur","",0,494325,81628,0,16513.02,0.00,0.0000,4,287,360,300,36.13,7117,0,0.087,0.000,0.0000,360,535,428,75.92,23612,0,0.289,0.000,0.0000,535,700,678,136.87,37099,0,0.454,0.000,0.0000,700,725,721,155.89,14173,0,0.174,0.000,0.0000,,,,,,,,,
"Belgium","Unknown","",0,-1,31524,14816,0.00,0.00,0.4700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgium","Walloon Brabant","",0,403599,72793,0,18035.97,0.00,0.0000,3,288,338,299,32.31,3622,0,0.050,0.000,0.0000,338,520,428,46.14,16851,0,0.231,0.000,0.0000,520,725,720,226.22,52385,0,0.720,0.000,0.0000,,,,,,,,,,,,,,,,,,
"Belgium","West Flanders","",0,1195796,206349,0,17256.20,0.00,0.0000,5,288,387,329,31.29,26675,0,0.129,0.000,0.0000,387,518,427,38.69,32438,0,0.157,0.000,0.0000,518,599,557,14.72,10209,0,0.049,0.000,0.0000,599,705,675,211.64,104776,0,0.508,0.000,0.0000,710,725,721,182.95,29051,0,0.141,0.000,0.0000
