Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Brazil","Acre","",0,881935,85624,1775,9708.65,2012.62,0.0207,5,112,262,125,34.28,26386,598,0.308,0.337,0.0227,262,335,300,24.49,11257,99,0.131,0.056,0.0088,335,597,426,49.12,47857,1048,0.559,0.590,0.0219,627,637,631,0.87,70,3,0.001,0.002,0.0401,657,679,672,1.02,145,3,0.002,0.002,0.0199
"Brazil","Alagoas","",0,3337357,237548,6123,7117.85,1834.69,0.0258,3,113,281,144,27.98,86312,1986,0.363,0.324,0.0230,281,472,420,26.81,88511,2138,0.373,0.349,0.0242,472,688,512,25.51,63467,2019,0.267,0.330,0.0318,,,,,,,,,,,,,,,,,,
"Brazil","Amapa","",0,845731,120987,1866,14305.61,2206.38,0.0154,5,111,260,151,118.64,44775,584,0.370,0.313,0.0130,260,338,310,38.23,17392,176,0.144,0.095,0.0101,338,384,355,41.75,13177,193,0.109,0.103,0.0146,384,604,424,64.90,43603,885,0.360,0.474,0.0203,604,690,683,6.98,2642,38,0.022,0.020,0.0144
"Brazil","Amazonas","",0,4144597,408283,12282,9850.97,2963.38,0.0301,5,112,224,127,37.78,98801,2216,0.242,0.180,0.0224,224,298,274,19.86,48339,976,0.118,0.079,0.0202,298,498,365,64.60,219249,8336,0.537,0.679,0.0380,498,631,507,13.55,39438,739,0.097,0.060,0.0187,631,690,682,2.69,4119,62,0.010,0.005,0.0152
"Brazil","Bahia","",0,14873064,1254094,27019,8431.98,1816.64,0.0215,5,115,273,184,23.58,328412,7025,0.262,0.260,0.0214,273,451,407,29.13,520521,9825,0.415,0.364,0.0189,451,625,512,29.70,381506,9830,0.304,0.364,0.0258,625,673,673,3.59,21205,365,0.017,0.014,0.0172,673,690,673,3.59,7850,115,0.006,0.004,0.0146
"Brazil","Ceara","",0,9132078,923191,22879,10109.32,2505.34,0.0248,5,113,242,132,27.62,203768,6977,0.221,0.305,0.0342,242,287,258,21.88,43039,572,0.047,0.025,0.0133,287,332,323,15.29,47193,527,0.051,0.023,0.0112,332,600,443,53.22,613010,14250,0.664,0.623,0.0232,612,653,616,18.34,16324,328,0.018,0.014,0.0201
"Brazil","Distrito Federal","",0,3015268,513350,10978,17025.02,3640.80,0.0214,3,113,289,186,66.49,210506,3660,0.410,0.333,0.0174,289,551,417,54.19,231666,5843,0.451,0.532,0.0252,551,690,622,37.61,72277,1496,0.141,0.136,0.0207,,,,,,,,,,,,,,,,,,
"Brazil","Espirito Santo","",0,4018650,616425,12908,15339.11,3212.02,0.0209,4,113,240,161,35.63,115268,3073,0.187,0.238,0.0267,240,388,330,52.81,186903,2733,0.303,0.212,0.0146,388,567,431,54.68,240628,5919,0.390,0.459,0.0246,567,690,617,21.96,75923,1226,0.123,0.095,0.0162,,,,,,,,,
"Brazil","Goias","",0,7018354,940964,24528,13407.19,3494.84,0.0261,4,117,314,237,39.61,279292,6300,0.297,0.257,0.0226,314,478,428,44.18,296305,9599,0.315,0.391,0.0324,478,526,509,34.78,103400,3334,0.110,0.136,0.0322,526,690,573,39.25,266596,5438,0.283,0.222,0.0204,,,,,,,,,
"Brazil","Maranhao","",0,7075181,352500,9715,4982.20,1373.11,0.0276,4,113,345,137,28.34,186324,3885,0.529,0.400,0.0209,345,480,452,13.57,78257,3214,0.222,0.331,0.0411,480,654,518,13.83,83478,2557,0.237,0.263,0.0306,654,690,680,2.77,5406,92,0.015,0.009,0.0170,,,,,,,,,
"Brazil","Mato Grosso","",0,3484466,549933,13728,15782.42,3939.77,0.0250,3,116,293,197,42.25,146950,3871,0.267,0.282,0.0263,293,476,427,63.35,228385,6222,0.415,0.453,0.0272,476,690,506,47.98,176626,3690,0.321,0.269,0.0209,,,,,,,,,,,,,,,,,,
"Brazil","Mato Grosso do Sul","",0,2778986,378807,9687,13631.12,3485.80,0.0256,4,117,275,216,30.64,78408,1517,0.207,0.157,0.0193,275,383,333,42.58,87515,1505,0.231,0.155,0.0172,383,456,433,50.38,75151,2358,0.198,0.243,0.0314,456,690,495,66.95,139735,4377,0.369,0.452,0.0313,,,,,,,,,
"Brazil","Minas Gerais","",0,21168791,2208618,56222,10433.37,2655.89,0.0255,4,118,282,200,14.17,350916,8760,0.159,0.156,0.0250,282,388,359,33.28,446105,7748,0.202,0.138,0.0174,388,471,429,45.61,605534,18843,0.274,0.335,0.0311,471,690,506,39.72,818566,21272,0.371,0.378,0.0260,,,,,,,,,
"Brazil","Para","",0,8602865,596816,15396,6937.41,1789.64,0.0258,3,113,294,152,27.60,241730,5226,0.405,0.339,0.0216,294,626,426,24.70,334821,9887,0.561,0.642,0.0295,626,690,680,6.13,21093,285,0.035,0.019,0.0135,,,,,,,,,,,,,,,,,,
"Brazil","Paraiba","",0,4018127,456961,9331,11372.49,2322.23,0.0204,4,113,276,184,30.39,124898,2819,0.273,0.302,0.0226,276,458,414,31.97,156156,3592,0.342,0.385,0.0230,458,617,512,59.26,156414,2710,0.342,0.290,0.0173,617,690,651,27.85,21014,250,0.046,0.027,0.0119,,,,,,,,,
"Brazil","Parana","",0,11433957,1583872,40685,13852.35,3558.26,0.0257,4,118,266,203,16.53,192833,4705,0.122,0.116,0.0244,266,374,352,58.40,351495,5113,0.222,0.126,0.0145,374,451,410,86.56,361354,10344,0.228,0.254,0.0286,451,690,516,85.87,685840,20788,0.433,0.511,0.0303,,,,,,,,,
"Brazil","Pernambuco","",0,9557071,621157,18521,6499.45,1937.94,0.0298,2,113,270,188,14.30,134151,6697,0.216,0.362,0.0499,270,690,504,29.77,487403,11831,0.785,0.639,0.0243,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brazil","Piaui","",0,3273227,330857,7136,10107.98,2180.11,0.0216,4,115,299,188,30.61,117797,2448,0.356,0.343,0.0208,299,338,315,19.41,19895,272,0.060,0.038,0.0137,338,604,432,38.88,178841,4192,0.541,0.587,0.0234,604,690,626,7.65,15156,241,0.046,0.034,0.0159,,,,,,,,,
"Brazil","Rio Grande do Norte","",0,3506853,380482,7347,10849.67,2095.04,0.0193,5,114,232,158,37.26,60855,2135,0.160,0.291,0.0351,277,349,310,29.61,40861,477,0.107,0.065,0.0117,349,425,390,39.51,66324,1158,0.174,0.158,0.0175,438,610,518,149.32,169289,2716,0.445,0.370,0.0160,610,690,659,9.21,16319,189,0.043,0.026,0.0116
"Brazil","Rio Grande do Sul","",0,11377239,1493408,36109,13126.28,3173.79,0.0242,5,116,266,225,21.73,212722,5077,0.142,0.141,0.0239,266,370,330,38.78,317491,5234,0.213,0.145,0.0165,370,476,413,66.49,487437,15905,0.326,0.440,0.0326,476,514,503,42.29,161817,4130,0.108,0.114,0.0255,514,641,548,84.81,286632,5129,0.192,0.142,0.0179
"Brazil","Rio de Janeiro","",0,17264943,1319920,66105,7645.09,3828.86,0.0501,5,114,172,151,13.37,100771,8280,0.076,0.125,0.0822,172,271,209,13.97,162362,8486,0.123,0.128,0.0523,271,406,352,18.08,297283,13604,0.225,0.206,0.0458,406,534,471,29.63,391079,23321,0.296,0.353,0.0596,534,690,605,74.07,374514,12775,0.284,0.193,0.0341
"Brazil","Rondonia","",0,1777225,278226,6586,15655.08,3705.78,0.0237,5,114,271,183,45.44,66838,1338,0.240,0.203,0.0200,271,488,420,73.57,157079,4213,0.565,0.640,0.0268,488,606,508,42.58,39277,895,0.141,0.136,0.0228,606,688,681,17.82,15544,157,0.056,0.024,0.0101,688,690,688,10.38,480,6,0.002,0.001,0.0134
"Brazil","Roraima","",0,605760,126714,2000,20918.19,3301.64,0.0158,5,113,257,157,123.02,49373,599,0.390,0.300,0.0121,257,343,276,40.60,17327,120,0.137,0.060,0.0069,343,444,398,55.59,23113,613,0.182,0.306,0.0265,444,630,508,57.39,34993,626,0.276,0.313,0.0179,630,690,637,15.92,2433,53,0.019,0.027,0.0218
"Brazil","Santa Catarina","",0,7164787,1231913,19984,17193.99,2789.20,0.0162,5,115,257,222,74.13,215193,2764,0.175,0.138,0.0128,257,365,313,76.84,332459,3183,0.270,0.159,0.0096,365,470,404,69.12,353323,7903,0.287,0.395,0.0224,470,602,507,42.87,268203,5167,0.218,0.259,0.0193,602,690,610,31.74,69599,1093,0.056,0.055,0.0157
"Brazil","Sao Paulo","",0,45919049,4380781,149413,9540.23,3253.83,0.0341,4,114,279,190,23.39,1030484,33648,0.235,0.225,0.0327,279,386,359,24.55,791130,16771,0.181,0.112,0.0212,386,476,431,35.84,1164199,46935,0.266,0.314,0.0403,476,690,512,37.95,1420661,52869,0.324,0.354,0.0372,,,,,,,,,
"Brazil","Sergipe","",0,2298696,274216,5983,11929.20,2602.78,0.0218,5,113,244,181,50.98,72079,1926,0.263,0.322,0.0267,244,281,272,13.73,8045,207,0.029,0.035,0.0258,281,392,352,45.15,62330,701,0.227,0.117,0.0112,392,624,492,61.66,132329,3130,0.483,0.523,0.0236,630,643,636,0.66,193,9,0.001,0.001,0.0453
"Brazil","Tocantins","",0,1572866,232467,3887,14779.84,2471.28,0.0167,4,113,287,215,59.81,74305,1064,0.320,0.274,0.0143,287,467,420,63.52,85436,1482,0.368,0.381,0.0174,467,658,506,47.25,69191,1323,0.298,0.340,0.0191,658,690,672,9.39,4398,36,0.019,0.009,0.0082,,,,,,,,,
