Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"China","Anhui","",0,63240000,1019,6,1.61,0.09,0.0059,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Beijing","",0,21540000,1199,9,5.57,0.42,0.0075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Chongqing","",0,31019999,618,6,1.99,0.19,0.0097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Fujian","",0,39410000,1337,1,3.39,0.03,0.0007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Gansu","",0,26369999,345,2,1.31,0.08,0.0058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Guangdong","",0,113460000,3353,8,2.96,0.07,0.0024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Guangxi","",0,49260000,493,2,1.00,0.04,0.0041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Guizhou","",0,36000000,159,2,0.44,0.06,0.0126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Hainan","",0,9340000,191,6,2.04,0.64,0.0314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Hebei","",0,75560000,1462,6,1.93,0.08,0.0041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Heilongjiang","",0,37730000,2039,13,5.40,0.34,0.0064,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Henan","",0,96050000,1656,22,1.72,0.23,0.0133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Hong Kong","",0,7496988,12488,213,166.57,28.41,0.0171,3,62,70,67,0.60,382,0,0.031,0.000,0.0000,175,209,186,1.79,2985,63,0.239,0.294,0.0210,304,375,319,1.28,4839,72,0.387,0.340,0.0150,,,,,,,,,,,,,,,,,,
"China","Hubei","",0,59169999,68576,4519,115.90,76.37,0.0659,1,0,38,21,6.09,66447,2716,0.969,0.601,0.0409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Hunan","",0,68990000,1215,4,1.76,0.06,0.0033,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Inner Mongolia","",0,25340000,1177,1,4.64,0.04,0.0008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
