Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Germany","Baden-Wurttemberg","",0,11069532,900863,10654,8138.22,962.46,0.0118,4,118,124,121,0.55,410,50,0.000,0.005,0.1228,179,392,330,30.23,271890,6010,0.302,0.564,0.0221,392,532,457,28.20,193981,2478,0.215,0.233,0.0128,532,690,678,78.53,433198,1988,0.481,0.187,0.0046,,,,,,,,,
"Germany","Bayern","",0,13076721,1202201,16361,9193.44,1251.15,0.0136,4,113,130,120,0.84,1700,201,0.001,0.012,0.1185,165,393,329,32.30,376842,9368,0.313,0.573,0.0249,393,531,449,27.48,223918,3375,0.186,0.206,0.0151,531,690,668,97.80,599303,3324,0.499,0.203,0.0055,,,,,,,,,
"Germany","Berlin","",0,3644826,291680,3749,8002.58,1028.58,0.0129,4,116,172,149,1.95,2183,37,0.007,0.010,0.0168,172,394,301,33.47,117799,2486,0.404,0.663,0.0211,394,523,449,22.48,54056,870,0.185,0.232,0.0161,523,690,673,57.18,117932,370,0.404,0.099,0.0031,,,,,,,,,
"Germany","Brandenburg","",0,2511917,207279,4171,8251.83,1660.48,0.0201,4,208,215,211,0.52,104,-0,0.001,-0.000,-0.0044,239,400,333,39.71,71798,2799,0.346,0.671,0.0390,400,504,431,20.59,32963,792,0.159,0.190,0.0240,532,690,674,105.10,101695,523,0.491,0.125,0.0051,,,,,,,,,
"Germany","Bremen","",0,682986,41326,530,6050.78,776.00,0.0128,5,110,153,118,2.54,523,12,0.013,0.023,0.0237,176,387,286,30.26,15144,253,0.366,0.477,0.0167,387,524,449,23.59,10661,180,0.258,0.339,0.0169,524,634,594,17.51,6954,38,0.168,0.071,0.0054,634,690,687,31.82,8129,45,0.197,0.085,0.0055
"Germany","Hamburg","",0,1841178,117908,1698,6403.94,922.24,0.0144,5,183,312,291,24.03,19477,114,0.165,0.067,0.0058,312,390,333,24.32,24730,828,0.210,0.488,0.0335,390,521,432,22.93,28261,399,0.240,0.235,0.0141,521,611,590,13.31,13283,124,0.113,0.073,0.0094,611,690,690,38.39,32514,215,0.276,0.127,0.0066
"Germany","Hessen","",0,6265809,436784,7902,6970.91,1261.13,0.0181,5,115,130,120,0.91,751,45,0.002,0.006,0.0605,173,393,330,29.58,171697,5084,0.393,0.643,0.0296,393,528,456,25.76,108849,1971,0.249,0.249,0.0181,528,617,590,16.22,42265,212,0.097,0.027,0.0050,617,690,674,40.84,113178,583,0.259,0.074,0.0051
"Germany","Mecklenburg-Vorpommern","",0,1609675,84430,1356,5245.16,842.41,0.0161,3,248,398,352,18.22,22624,691,0.268,0.509,0.0305,398,508,447,22.31,20452,440,0.242,0.324,0.0215,544,690,689,66.97,40925,210,0.485,0.155,0.0051,,,,,,,,,,,,,,,,,,
"Germany","Niedersachsen","",0,7982447,394706,6030,4944.67,755.41,0.0153,5,189,314,294,16.38,58643,540,0.149,0.090,0.0092,314,392,332,16.74,83913,2795,0.213,0.464,0.0333,392,519,449,18.48,105688,1818,0.268,0.302,0.0172,524,617,595,11.36,39494,198,0.100,0.033,0.0050,617,690,674,32.53,105833,612,0.268,0.101,0.0058
"Germany","Nordrhein-Westfalen","",0,17932651,1240014,18029,6914.84,1005.37,0.0145,4,114,393,330,27.40,480602,10955,0.388,0.608,0.0228,393,526,455,27.28,301507,4779,0.243,0.265,0.0158,526,620,582,18.55,147234,715,0.119,0.040,0.0049,620,690,688,43.61,313509,1660,0.253,0.092,0.0053,,,,,,,,,
