Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"India","Andaman and Nicobar Islands","",0,417035,8620,129,2066.97,309.33,0.0150,5,151,348,202,29.76,4901,62,0.569,0.481,0.0127,350,362,358,0.72,34,0,0.004,0.000,0.0000,428,532,464,13.52,2444,66,0.283,0.514,0.0271,599,610,607,0.65,30,0,0.003,0.000,0.0000,703,725,721,18.45,942,0,0.109,0.000,0.0000
"India","Andhra Pradesh","",0,53903393,2099825,14433,3895.53,267.76,0.0069,3,144,348,222,19.51,877303,7034,0.418,0.487,0.0080,421,653,480,39.77,1175090,7204,0.560,0.499,0.0061,711,725,725,7.58,27272,14,0.013,0.001,0.0005,,,,,,,,,,,,,,,,,,
"India","Arunachal Pradesh","",0,1570458,56539,282,3600.16,179.57,0.0050,3,159,337,247,14.85,16486,55,0.292,0.195,0.0033,445,646,545,27.54,38254,224,0.677,0.795,0.0059,710,725,725,10.27,1242,1,0.022,0.003,0.0007,,,,,,,,,,,,,,,,,,
"India","Assam","",0,35607039,643332,6201,1806.76,174.15,0.0096,3,144,299,224,7.61,206823,957,0.321,0.154,0.0046,441,670,485,15.90,396454,4965,0.616,0.801,0.0125,708,725,725,8.45,25574,44,0.040,0.007,0.0017,,,,,,,,,,,,,,,,,,
"India","Bihar","",0,124799925,780984,12103,625.79,96.98,0.0155,3,168,294,202,2.84,210568,1055,0.270,0.087,0.0050,436,504,466,10.91,447923,5632,0.574,0.465,0.0126,710,725,725,5.12,58624,38,0.075,0.003,0.0006,,,,,,,,,,,,,,,,,,
"India","Chandigarh","",0,1158473,76918,1082,6639.60,933.99,0.0141,5,162,281,236,26.90,13841,218,0.180,0.201,0.0157,281,376,302,10.14,6729,113,0.087,0.104,0.0168,376,541,470,71.47,40941,474,0.532,0.438,0.0116,566,588,578,29.38,3117,3,0.041,0.002,0.0008,673,725,725,126.32,11815,267,0.154,0.247,0.0226
"India","Chhattisgarh","",0,29436231,1057851,13646,3593.70,463.58,0.0129,3,172,391,238,10.48,305705,3764,0.289,0.276,0.0123,391,557,458,52.06,692809,9749,0.655,0.714,0.0141,706,725,725,18.69,51218,54,0.048,0.004,0.0011,,,,,,,,,,,,,,,,,,
"India","Dadra and Nagar Haveli and Daman and Diu","",0,615724,10983,3,1783.75,4.87,0.0003,5,138,286,199,7.97,3258,2,0.297,0.673,0.0006,297,305,301,0.66,33,0,0.003,0.000,0.0000,414,528,457,34.85,7140,2,0.650,0.660,0.0003,542,550,546,0.74,36,0,0.003,0.000,0.0000,710,725,725,5.17,280,0,0.026,0.000,0.0000
"India","Delhi","",0,18710922,1678292,24504,8969.58,1309.61,0.0146,4,135,194,153,17.23,107960,3148,0.064,0.128,0.0292,194,384,292,37.02,498810,6890,0.297,0.281,0.0138,384,527,457,129.84,798199,14105,0.476,0.576,0.0177,697,725,725,130.18,266551,256,0.159,0.010,0.0010,,,,,,,,,
"India","Goa","",0,1586250,209436,3555,13203.22,2241.13,0.0170,3,138,389,239,34.91,53875,780,0.257,0.219,0.0145,389,665,471,200.21,124375,2597,0.594,0.731,0.0209,665,725,725,206.01,31239,180,0.149,0.051,0.0058,,,,,,,,,,,,,,,,,,
"India","Gujarat","",0,63872399,903572,8860,1414.65,138.71,0.0098,4,141,280,242,2.22,148142,2342,0.164,0.264,0.0158,280,374,311,2.41,92274,691,0.102,0.078,0.0075,397,511,462,21.81,553938,5606,0.613,0.633,0.0101,705,725,725,15.71,94536,44,0.105,0.005,0.0005,,,,,,,,,
"India","Haryana","",0,28204692,839870,10061,2977.77,356.71,0.0120,4,139,267,237,8.85,141310,1570,0.168,0.156,0.0111,267,363,303,8.69,120995,1383,0.144,0.137,0.0114,399,518,469,49.73,497794,6261,0.593,0.622,0.0126,704,725,725,29.47,72225,40,0.086,0.004,0.0006,,,,,,,,,
"India","Himachal Pradesh","",0,7451954,242686,3886,3256.68,521.47,0.0160,5,174,257,238,4.98,14815,209,0.061,0.054,0.0141,257,385,310,10.40,42172,773,0.174,0.199,0.0183,399,540,474,56.29,145622,2505,0.600,0.645,0.0172,540,681,567,4.16,23421,353,0.097,0.091,0.0151,681,725,725,22.75,15807,41,0.065,0.011,0.0026
"India","Jammu and Kashmir","",0,13606320,354011,4518,2601.81,332.05,0.0128,4,140,372,236,10.81,119838,1883,0.339,0.417,0.0157,389,573,471,33.30,198335,2450,0.560,0.542,0.0124,573,634,607,1.13,7565,30,0.021,0.007,0.0039,634,725,725,18.29,27312,139,0.077,0.031,0.0051,,,,,,,,,
"India","Jharkhand","",0,38593947,404148,5194,1047.18,134.58,0.0129,4,173,315,224,4.43,105710,942,0.262,0.181,0.0089,327,335,331,0.53,1808,15,0.004,0.003,0.0082,427,509,463,15.93,221824,3987,0.549,0.768,0.0180,704,725,722,10.45,55472,60,0.137,0.012,0.0011,,,,,,,,,
"India","Karnataka","",0,67562686,3204657,38364,4743.24,567.83,0.0120,4,150,385,259,14.41,935187,12126,0.292,0.316,0.0130,385,643,470,66.74,2043369,25785,0.638,0.672,0.0126,680,687,684,0.53,2816,37,0.001,0.001,0.0132,701,725,725,40.93,207178,130,0.065,0.003,0.0006,,,,,,,,,
"India","Kerala","",0,35699443,5371871,50830,15047.49,1423.83,0.0095,5,162,330,261,23.25,684386,2708,0.127,0.053,0.0040,330,415,366,16.52,403181,1664,0.075,0.033,0.0041,415,524,471,104.37,1827374,8777,0.340,0.173,0.0048,524,690,587,80.63,2292632,29957,0.427,0.589,0.0131,690,725,725,42.82,184386,8091,0.034,0.159,0.0439
"India","Ladakh","",0,274289,23260,221,8480.11,805.72,0.0095,5,134,175,145,25.35,1038,0,0.045,0.001,0.0002,175,391,292,29.67,8663,129,0.372,0.584,0.0149,391,571,452,70.51,10677,77,0.459,0.349,0.0072,571,624,605,5.67,396,1,0.017,0.003,0.0017,624,725,725,46.78,2513,15,0.108,0.066,0.0058
"India","Lakshadweep","",0,64428,10488,51,16278.64,791.58,0.0049,5,357,415,412,27.32,567,1,0.054,0.020,0.0018,415,611,485,371.90,9809,50,0.935,0.981,0.0051,621,625,623,0.64,2,0,0.000,0.000,0.0000,662,686,672,3.96,38,0,0.004,0.000,0.0000,686,725,725,19.85,85,0,0.008,0.000,0.0000
"India","Madhya Pradesh","",0,85358964,819506,10128,960.07,118.65,0.0124,4,170,289,241,2.94,159276,2371,0.194,0.234,0.0149,289,358,308,1.91,75239,740,0.092,0.073,0.0098,408,505,459,15.15,523511,4598,0.639,0.454,0.0088,712,725,725,5.62,34329,11,0.042,0.001,0.0003,,,,,,,,,
"India","Maharashtra","",0,123144223,7117958,138584,5780.18,1125.38,0.0195,4,137,361,236,17.56,1899558,47160,0.267,0.340,0.0248,361,671,455,52.31,4644394,90418,0.652,0.652,0.0195,671,675,671,0.56,3237,140,0.000,0.001,0.0432,681,725,725,37.11,570159,738,0.080,0.005,0.0013,,,,,,,,,
"India","Manipur","",0,3091545,126906,2014,4104.94,651.45,0.0159,5,140,367,269,9.66,28630,369,0.226,0.183,0.0129,445,506,493,26.69,29065,570,0.229,0.283,0.0196,506,689,548,35.68,67588,1056,0.533,0.524,0.0156,689,695,689,0.67,125,6,0.001,0.003,0.0481,707,725,725,5.70,1446,13,0.011,0.007,0.0092
"India","Meghalaya","",0,3366709,86269,1489,2562.41,442.27,0.0173,5,167,338,256,5.64,13243,135,0.154,0.091,0.0102,348,356,352,0.58,167,3,0.002,0.002,0.0207,439,526,486,26.07,35988,695,0.417,0.467,0.0193,526,684,553,17.96,34935,636,0.405,0.427,0.0182,710,725,725,5.31,1468,6,0.017,0.004,0.0043
"India","Mizoram","",0,1239244,152506,570,12306.37,459.96,0.0037,4,166,260,233,3.36,1975,0,0.013,0.000,0.0000,260,356,289,3.72,2153,9,0.014,0.015,0.0041,437,689,615,108.38,133589,507,0.876,0.889,0.0038,689,725,722,71.61,14751,55,0.097,0.096,0.0037,,,,,,,,,
"India","Nagaland","",0,2249695,32777,703,1456.95,312.49,0.0214,5,147,221,194,5.56,3730,9,0.114,0.013,0.0024,221,334,301,5.10,7977,65,0.243,0.093,0.0082,432,437,435,0.67,84,0,0.003,0.000,0.0020,445,654,479,13.02,19509,596,0.595,0.848,0.0305,714,725,725,4.33,671,1,0.020,0.001,0.0010
"India","Odisha","",0,46356334,1127981,8471,2433.28,182.74,0.0075,4,157,348,242,9.17,324259,1864,0.287,0.220,0.0057,430,664,483,24.44,706078,6462,0.626,0.763,0.0092,670,676,673,0.51,1647,15,0.001,0.002,0.0089,707,725,725,21.76,76696,25,0.068,0.003,0.0003,,,,,,,,,
"India","Puducherry","",0,1413542,137248,1887,9709.51,1334.94,0.0137,4,140,390,245,34.35,39331,658,0.287,0.349,0.0167,390,579,478,126.56,83494,1151,0.608,0.610,0.0138,579,680,590,7.22,6119,66,0.045,0.035,0.0108,680,725,725,79.98,8411,14,0.061,0.007,0.0016,,,,,,,,,
"India","Punjab","",0,30141373,659602,16710,2188.36,554.39,0.0253,4,151,287,238,8.39,131487,4168,0.199,0.249,0.0317,287,366,308,2.40,36544,1294,0.055,0.077,0.0354,366,534,473,27.44,425927,10630,0.646,0.636,0.0250,706,725,725,22.30,57836,124,0.088,0.007,0.0021,,,,,,,,,
"India","Rajasthan","",0,81032689,1024422,8751,1264.21,107.99,0.0085,4,162,270,256,2.66,154618,1325,0.151,0.151,0.0086,270,354,307,3.70,141651,999,0.138,0.114,0.0071,422,506,468,21.44,624294,5984,0.609,0.684,0.0096,709,725,725,11.88,78963,39,0.077,0.005,0.0005,,,,,,,,,
"India","Sikkim","",0,690251,34611,413,5014.26,598.33,0.0119,5,162,282,243,8.51,3825,69,0.111,0.168,0.0181,282,369,291,5.65,2172,64,0.063,0.155,0.0295,430,525,492,42.15,14301,170,0.413,0.413,0.0119,525,680,550,35.46,11917,99,0.344,0.240,0.0083,703,725,725,46.13,2142,4,0.062,0.011,0.0021
"India","Tamil Nadu","",0,77841267,2900420,36688,3726.07,471.32,0.0126,3,137,386,188,8.20,809091,12099,0.279,0.330,0.0150,386,677,485,44.37,1882930,24072,0.649,0.656,0.0128,677,725,725,28.48,208949,525,0.072,0.014,0.0025,,,,,,,,,,,,,,,,,,
"India","Telangana","",0,39362731,705195,3912,1791.53,99.38,0.0055,3,143,367,220,6.73,288644,1421,0.409,0.363,0.0049,415,621,461,19.31,365974,2273,0.519,0.581,0.0062,704,725,725,5.95,28429,36,0.040,0.009,0.0013,,,,,,,,,,,,,,,,,,
"India","Tripura","",0,4169793,90549,838,2171.55,200.97,0.0093,4,141,152,145,0.76,323,0,0.004,0.000,0.0000,156,323,227,13.18,31694,374,0.350,0.446,0.0118,440,613,485,17.39,50477,419,0.557,0.500,0.0083,708,725,725,20.38,6327,10,0.070,0.012,0.0016,,,,,,,,,
"India","Unknown","",0,-1,-9434,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"India","Uttar Pradesh","",0,237882724,1818898,22670,764.62,95.30,0.0125,3,168,333,232,2.67,543990,7362,0.299,0.325,0.0135,431,498,459,14.15,1081403,12080,0.595,0.533,0.0112,711,725,725,6.44,116470,45,0.064,0.002,0.0004,,,,,,,,,,,,,,,,,,
"India","Uttarakhand","",0,11250858,367709,7428,3268.28,660.22,0.0202,5,144,156,150,0.70,935,16,0.003,0.002,0.0173,169,286,238,11.09,60067,992,0.163,0.134,0.0165,286,378,324,5.46,33298,624,0.091,0.084,0.0187,410,535,471,64.28,243757,5647,0.663,0.760,0.0232,705,725,725,27.16,24397,24,0.066,0.003,0.0010
"India","West Bengal","",0,99609303,1888669,19670,1896.08,197.47,0.0104,4,156,362,276,4.08,549634,9452,0.291,0.481,0.0172,427,587,477,19.89,967034,8138,0.512,0.414,0.0084,587,674,645,0.91,65261,1002,0.035,0.051,0.0153,674,725,725,21.64,284797,650,0.151,0.033,0.0023,,,,,,,,,
