Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Japan","Aichi","",0,7552239,199076,1243,2635.99,164.59,0.0062,5,180,221,193,2.01,3852,31,0.019,0.025,0.0080,277,408,353,4.04,20177,444,0.101,0.357,0.0220,408,528,479,7.36,25181,437,0.126,0.351,0.0173,528,628,584,22.98,54957,181,0.276,0.145,0.0033,710,745,745,77.30,91948,82,0.462,0.066,0.0009
"Japan","Akita","",0,966490,5200,27,538.03,27.94,0.0052,5,358,366,362,0.62,50,0,0.010,0.000,0.0000,445,487,473,1.52,411,5,0.079,0.181,0.0119,516,533,523,1.16,147,0,0.028,0.001,0.0002,556,609,578,3.28,824,6,0.158,0.221,0.0072,717,745,739,21.32,3255,0,0.626,0.000,0.0000
"Japan","Aomori","",0,1246371,12020,42,964.40,33.70,0.0035,5,266,285,271,0.93,186,3,0.015,0.062,0.0141,338,365,344,0.82,250,3,0.021,0.063,0.0105,427,502,485,2.30,1512,10,0.126,0.239,0.0066,548,634,584,7.11,3258,7,0.271,0.168,0.0022,714,745,745,30.93,6101,4,0.508,0.093,0.0006
"Japan","Chiba","",0,6259382,167689,1073,2679.00,171.42,0.0064,5,187,221,196,0.83,1517,15,0.009,0.014,0.0099,251,428,360,7.12,25270,481,0.151,0.448,0.0190,428,501,476,2.37,8716,140,0.052,0.131,0.0161,501,627,576,23.65,62389,320,0.372,0.298,0.0051,710,745,745,70.72,66985,45,0.399,0.042,0.0007
"Japan","Ehime","",0,1339215,11860,91,885.59,67.95,0.0077,5,300,314,306,1.15,177,0,0.015,0.000,0.0001,338,373,354,1.90,577,7,0.049,0.079,0.0124,423,485,453,2.70,1563,45,0.132,0.496,0.0289,547,632,574,5.62,2486,6,0.210,0.070,0.0026,712,745,745,21.97,6438,9,0.543,0.104,0.0015
"Japan","Fukui","",0,767937,6622,38,862.31,49.48,0.0057,5,122,132,127,1.78,108,7,0.016,0.187,0.0657,349,372,360,0.94,134,5,0.020,0.133,0.0377,430,487,455,2.09,453,9,0.068,0.237,0.0198,509,623,582,5.04,2001,3,0.302,0.078,0.0015,712,745,745,26.80,3497,0,0.528,0.000,0.0000
"Japan","Fukuoka","",0,5103679,149055,678,2920.54,132.85,0.0045,5,178,229,195,2.29,3810,38,0.026,0.056,0.0100,305,417,358,5.70,12987,209,0.087,0.308,0.0161,417,520,476,9.13,16906,204,0.113,0.301,0.0121,520,622,578,19.96,38726,96,0.260,0.142,0.0025,711,745,745,96.47,74216,51,0.498,0.075,0.0007
"Japan","Fukushima","",0,1845519,15949,178,864.20,96.45,0.0112,5,322,377,354,1.78,1183,40,0.074,0.224,0.0337,399,505,473,3.22,2789,86,0.175,0.481,0.0307,513,515,515,0.54,29,1,0.002,0.007,0.0445,515,609,569,5.99,4624,15,0.290,0.083,0.0032,713,745,745,27.61,6406,2,0.402,0.012,0.0003
"Japan","Gifu","",0,1986587,33650,229,1693.86,115.27,0.0068,5,185,201,191,0.81,241,0,0.007,0.000,0.0001,293,396,351,3.88,3815,90,0.113,0.395,0.0237,427,518,477,6.25,4467,63,0.133,0.274,0.0140,544,633,581,15.81,9291,30,0.276,0.129,0.0032,711,745,745,44.72,14690,10,0.437,0.043,0.0007
"Japan","Gunma","",0,1942456,35330,198,1818.83,101.93,0.0056,5,233,243,239,0.75,141,0,0.004,0.000,0.0000,301,412,354,3.19,3645,68,0.103,0.342,0.0186,412,503,473,4.05,3323,57,0.094,0.290,0.0173,541,619,578,13.75,8464,18,0.240,0.090,0.0021,680,745,745,54.78,18432,23,0.522,0.114,0.0012
