Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Malaysia","Johor","",0,3768200,235254,3794,6243.14,1006.85,0.0161,5,58,72,62,0.79,368,11,0.002,0.003,0.0311,305,437,375,21.03,40495,85,0.172,0.022,0.0021,437,516,491,14.65,26564,406,0.113,0.107,0.0153,516,676,591,56.34,163467,3260,0.695,0.859,0.0199,676,685,680,12.32,4598,34,0.020,0.009,0.0074
"Malaysia","Kedah","",0,2185900,162300,2107,7424.86,963.91,0.0130,5,248,288,257,5.88,1816,4,0.011,0.002,0.0020,338,422,363,5.84,5106,12,0.031,0.006,0.0024,422,508,491,19.34,13862,152,0.085,0.072,0.0110,508,662,583,87.48,131934,1867,0.813,0.886,0.0142,662,685,671,18.27,9097,71,0.056,0.034,0.0078
"Malaysia","Kelantan","",0,1892200,160253,1190,8469.14,628.90,0.0074,5,60,64,62,0.59,54,1,0.000,0.001,0.0173,305,319,316,0.56,153,1,0.001,0.001,0.0057,335,409,363,6.24,4594,15,0.029,0.013,0.0033,409,525,492,33.57,29717,200,0.185,0.168,0.0067,525,685,589,70.78,125589,973,0.784,0.817,0.0077
"Malaysia","Melaka","",0,932700,72556,942,7779.14,1009.97,0.0130,5,69,82,76,0.78,85,2,0.001,0.002,0.0226,86,89,87,0.55,20,0,0.000,0.000,0.0185,322,422,382,20.25,5850,16,0.081,0.017,0.0027,422,679,573,72.03,65082,915,0.897,0.971,0.0141,679,685,685,23.01,1440,7,0.020,0.007,0.0047
"Malaysia","Negeri Sembilan","",0,1132099,109907,1286,9708.25,1135.94,0.0117,5,56,93,62,1.39,424,7,0.004,0.005,0.0165,268,331,295,13.98,5724,3,0.052,0.002,0.0005,331,436,398,21.02,10589,20,0.096,0.016,0.0019,436,625,541,101.42,81381,1172,0.740,0.911,0.0144,625,685,662,19.75,11413,85,0.104,0.066,0.0074
"Malaysia","Pahang","",0,1677100,88840,724,5297.24,431.70,0.0081,5,61,64,62,0.52,34,0,0.000,0.000,0.0003,70,83,80,0.58,129,1,0.001,0.002,0.0087,316,412,358,4.45,3496,9,0.039,0.012,0.0025,419,658,602,44.22,75872,660,0.854,0.912,0.0087,658,685,665,20.75,9327,50,0.105,0.069,0.0054
"Malaysia","Perak","",0,2514300,124582,1292,4954.94,513.86,0.0104,5,59,66,62,0.68,122,2,0.001,0.002,0.0169,288,439,398,12.40,12907,36,0.104,0.028,0.0028,439,510,495,11.37,10511,71,0.084,0.055,0.0067,510,680,596,48.81,99725,1154,0.800,0.893,0.0116,680,685,680,8.98,1349,30,0.011,0.023,0.0220
"Malaysia","Perlis","",0,254600,6611,127,2596.62,498.82,0.0192,5,350,387,363,2.97,142,0,0.021,0.000,0.0000,462,524,491,3.42,231,6,0.035,0.047,0.0260,524,667,623,28.68,5422,113,0.820,0.892,0.0209,667,675,675,13.21,246,3,0.037,0.020,0.0103,675,685,682,15.31,412,4,0.062,0.032,0.0100
"Malaysia","Pulau Pinang","",0,1777600,155253,1671,8733.85,940.03,0.0108,5,299,391,357,9.66,8414,12,0.054,0.007,0.0014,391,438,433,9.06,6724,7,0.043,0.004,0.0011,438,516,491,20.49,16723,94,0.108,0.056,0.0056,516,678,595,103.73,120128,1539,0.774,0.921,0.0128,678,685,685,16.95,2345,20,0.015,0.012,0.0085
"Malaysia","Sabah","",0,3904700,235770,2719,6038.11,696.34,0.0115,4,60,61,61,0.52,40,0,0.000,0.000,0.0055,228,331,287,15.81,33550,241,0.142,0.088,0.0072,331,421,361,11.23,20303,139,0.086,0.051,0.0068,421,685,581,73.66,181736,2334,0.771,0.859,0.0128,,,,,,,,,
