Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Mexico","Aguascalientes","",0,1434635,42844,3070,2986.40,2139.92,0.0717,5,118,208,177,4.68,4295,312,0.100,0.102,0.0728,208,343,308,15.08,12059,1028,0.281,0.335,0.0852,343,507,368,13.46,9845,1095,0.230,0.357,0.1112,516,663,577,8.35,9720,437,0.227,0.142,0.0450,663,725,725,24.29,7019,197,0.164,0.064,0.0281
"Mexico","Baja California","",0,3634868,101510,10712,2792.67,2947.01,0.1055,5,115,222,162,4.37,13323,2546,0.131,0.238,0.1911,237,263,257,8.16,3662,331,0.036,0.031,0.0903,272,443,365,8.19,24900,4179,0.245,0.390,0.1678,515,680,673,11.68,31282,1749,0.308,0.163,0.0559,680,725,725,31.69,23901,938,0.235,0.088,0.0393
"Mexico","Baja California Sur","",0,804708,75020,2416,9322.64,3002.33,0.0322,4,117,289,199,16.02,12477,588,0.166,0.243,0.0471,289,462,359,26.17,17253,733,0.230,0.303,0.0425,462,643,519,44.08,25825,1018,0.344,0.421,0.0394,643,725,725,121.64,19597,84,0.261,0.035,0.0043,,,,,,,,,
"Mexico","Campeche","",0,1000616,25584,2061,2556.82,2059.73,0.0806,5,117,252,182,9.13,5659,777,0.221,0.377,0.1373,252,294,257,2.99,627,42,0.024,0.020,0.0672,294,425,366,3.03,2238,228,0.087,0.111,0.1019,425,678,576,20.63,15364,1002,0.601,0.486,0.0652,703,725,725,17.40,1637,3,0.064,0.001,0.0016
"Mexico","Chiapas","",0,5730367,23820,2249,415.68,392.47,0.0944,5,118,183,136,1.87,4718,793,0.198,0.353,0.1682,250,260,256,2.57,1052,124,0.044,0.055,0.1178,356,374,366,0.85,737,98,0.031,0.044,0.1335,510,639,561,4.05,11187,608,0.470,0.270,0.0544,715,725,725,2.15,845,2,0.035,0.001,0.0027
"Mexico","Chihuahua","",0,3801487,92198,8734,2425.31,2297.52,0.0947,4,119,403,293,13.14,42140,5027,0.457,0.576,0.1193,403,523,444,6.78,14647,2320,0.159,0.266,0.1584,523,593,554,2.99,5696,248,0.062,0.028,0.0435,593,725,725,27.38,29871,1149,0.324,0.132,0.0385,,,,,,,,,
"Mexico","Ciudad de Mexico","",0,9018645,1079312,38886,11967.56,4311.73,0.0360,4,114,157,142,9.26,30938,4663,0.029,0.120,0.1507,157,486,362,66.70,607892,26964,0.563,0.693,0.0444,486,672,566,45.54,328612,7001,0.304,0.180,0.0213,672,725,725,89.87,113467,391,0.105,0.010,0.0034,,,,,,,,,
"Mexico","Coahuila","",0,3218720,115434,7875,3586.33,2446.62,0.0682,5,120,243,200,10.00,24263,1689,0.210,0.215,0.0696,243,320,308,10.99,18723,1838,0.162,0.233,0.0982,320,496,365,12.01,25466,2749,0.221,0.349,0.1079,496,648,575,9.79,24423,1110,0.212,0.141,0.0454,675,725,725,46.97,19018,380,0.165,0.048,0.0200
"Mexico","Colima","",0,785152,37259,2031,4745.45,2586.76,0.0545,5,121,235,211,9.16,4092,478,0.110,0.235,0.1167,235,311,256,10.45,3010,275,0.081,0.135,0.0913,311,432,366,8.85,3656,379,0.098,0.186,0.1036,502,677,571,48.66,21285,833,0.571,0.410,0.0391,706,725,725,55.57,3907,2,0.105,0.001,0.0004
"Mexico","Durango","",0,1868996,57042,3179,3052.01,1700.91,0.0557,3,122,501,308,15.79,34101,2458,0.598,0.773,0.0721,501,659,569,13.61,14733,571,0.258,0.180,0.0388,659,725,725,31.84,8223,149,0.144,0.047,0.0181,,,,,,,,,,,,,,,,,,
"Mexico","Guanajuato","",0,6228175,221893,13501,3562.73,2167.73,0.0608,4,119,259,188,8.28,41706,2958,0.188,0.219,0.0709,259,499,365,16.17,89772,7926,0.405,0.587,0.0883,499,678,612,10.66,64247,2065,0.290,0.153,0.0321,678,725,725,28.66,26590,593,0.120,0.044,0.0223,,,,,,,,,
"Mexico","Guerrero","",0,3657048,80796,6209,2209.32,1697.82,0.0768,5,118,220,174,5.64,13698,1504,0.170,0.242,0.1098,220,300,249,4.35,8489,764,0.105,0.123,0.0900,300,499,368,6.50,18252,2094,0.226,0.337,0.1147,499,677,561,17.21,35780,1758,0.443,0.283,0.0491,705,725,725,13.15,4267,24,0.053,0.004,0.0055
