Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Netherlands","Aruba","",0,106766,16480,175,15435.63,1639.10,0.0106,5,174,296,233,75.33,4537,40,0.275,0.229,0.0088,296,390,351,58.42,2820,26,0.171,0.149,0.0093,390,514,428,62.24,3679,39,0.223,0.222,0.0106,514,647,568,113.53,4805,64,0.292,0.366,0.0133,647,685,685,17.02,592,4,0.036,0.021,0.0063
"Netherlands","Bonaire, Sint Eustatius and Saba","",0,26221,3076,22,11731.06,839.02,0.0072,5,216,270,248,25.78,137,3,0.044,0.122,0.0197,293,351,343,6.06,42,0,0.014,0.000,0.0000,453,507,463,583.62,1424,14,0.463,0.636,0.0098,507,636,618,58.24,731,2,0.238,0.105,0.0032,636,685,674,93.55,736,3,0.239,0.118,0.0035
"Netherlands","Curacao","",0,164100,17500,180,10664.23,1096.89,0.0103,5,209,379,316,63.18,4564,20,0.261,0.112,0.0044,379,488,435,184.99,7674,101,0.439,0.561,0.0132,497,499,499,0.80,3,0,0.000,0.002,0.0853,499,664,547,42.72,4974,53,0.284,0.294,0.0106,664,685,668,8.31,265,5,0.015,0.027,0.0181
"Netherlands","Drenthe","",0,493682,55203,357,11181.89,723.14,0.0065,5,227,298,269,33.02,5906,55,0.107,0.155,0.0094,298,387,334,50.54,13353,172,0.242,0.481,0.0129,387,512,428,39.20,14514,88,0.263,0.246,0.0061,512,605,540,27.27,5034,2,0.091,0.007,0.0005,605,685,683,95.99,16565,43,0.300,0.121,0.0026
"Netherlands","Flevoland","",0,423021,62789,191,14843.00,451.51,0.0030,4,186,392,333,80.32,23989,111,0.382,0.582,0.0046,392,511,453,37.53,11955,42,0.190,0.219,0.0035,511,609,542,34.15,7386,7,0.118,0.037,0.0010,609,685,670,123.40,19584,32,0.312,0.168,0.0016,,,,,,,,,
"Netherlands","Friesland","",0,649957,83554,458,12855.31,704.66,0.0055,5,198,296,266,25.18,6328,31,0.076,0.069,0.0050,296,390,335,38.96,17067,242,0.204,0.529,0.0142,390,510,429,37.47,19839,141,0.237,0.307,0.0071,510,576,541,33.71,5989,10,0.072,0.021,0.0016,607,685,672,135.38,31093,39,0.372,0.086,0.0013
"Netherlands","Gelderland","",0,2085952,313759,1716,15041.53,822.65,0.0055,5,190,296,282,47.11,35941,253,0.115,0.147,0.0070,296,391,334,71.41,75332,825,0.240,0.481,0.0109,391,510,455,44.59,70653,278,0.225,0.162,0.0039,510,596,541,47.36,29232,52,0.093,0.030,0.0018,596,685,669,127.82,103795,324,0.331,0.189,0.0031
"Netherlands","Groningen","",0,585866,66536,293,11356.86,500.11,0.0044,5,294,389,350,64.03,17022,140,0.256,0.478,0.0082,389,439,400,30.50,7775,54,0.117,0.186,0.0070,439,502,456,29.38,7636,30,0.115,0.102,0.0039,502,607,538,79.78,11650,5,0.175,0.017,0.0004,607,685,685,79.61,16404,42,0.247,0.144,0.0026
"Netherlands","Limburg","",0,1117201,201451,1183,18031.76,1058.90,0.0059,4,195,398,333,85.20,65192,653,0.324,0.552,0.0100,398,514,458,59.33,45514,248,0.226,0.210,0.0055,514,593,544,37.34,13825,32,0.069,0.027,0.0023,593,685,674,191.13,77321,251,0.384,0.212,0.0032,,,,,,,,,
"Netherlands","Noord-Brabant","",0,2562955,419888,1864,16382.96,727.29,0.0044,5,180,306,281,64.23,67443,454,0.161,0.243,0.0067,306,387,332,65.14,83959,788,0.200,0.423,0.0094,387,510,456,55.71,111700,375,0.266,0.201,0.0034,510,601,542,51.42,39529,30,0.094,0.016,0.0008,601,685,681,134.77,118993,235,0.283,0.126,0.0020
"Netherlands","Noord-Holland","",0,2879527,450822,2099,15656.11,728.94,0.0047,5,177,305,275,58.32,80643,416,0.179,0.198,0.0052,305,381,334,58.84,81532,827,0.181,0.394,0.0101,381,504,429,42.62,107053,570,0.237,0.272,0.0053,504,610,540,78.54,68041,112,0.151,0.054,0.0017,610,685,671,116.45,115403,195,0.256,0.093,0.0017
"Netherlands","Overijssel","",0,1162406,178542,958,15359.69,824.15,0.0054,5,195,299,279,58.08,23318,173,0.131,0.180,0.0074,299,395,334,81.84,47794,537,0.268,0.561,0.0112,395,511,470,38.45,36001,124,0.202,0.130,0.0034,511,602,541,45.27,18455,21,0.103,0.022,0.0011,602,685,673,126.73,53664,112,0.301,0.117,0.0021
"Netherlands","Sint Maarten","",0,42881,4611,75,10753.01,1749.03,0.0163,5,177,258,205,36.47,611,7,0.132,0.093,0.0114,258,422,371,36.45,1412,5,0.306,0.067,0.0036,422,446,441,9.63,93,0,0.020,0.000,0.0000,446,525,484,23.60,430,6,0.093,0.080,0.0140,525,671,572,80.78,1955,42,0.424,0.561,0.0215
"Netherlands","Unknown","",0,-1,11760,-2,0.00,0.00,-0.0002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Netherlands","Utrecht","",0,1354834,214324,942,15819.21,695.29,0.0044,5,178,302,277,63.00,35497,202,0.166,0.214,0.0057,302,385,332,67.95,42013,427,0.196,0.453,0.0102,385,505,454,43.63,46296,231,0.216,0.245,0.0050,505,590,538,64.32,23026,18,0.107,0.019,0.0008,590,685,671,130.02,68444,75,0.319,0.080,0.0011
"Netherlands","Zeeland","",0,383487,54957,215,14330.86,560.64,0.0039,4,175,387,334,47.74,14420,96,0.262,0.445,0.0066,387,513,455,47.53,14546,84,0.265,0.392,0.0058,513,597,542,26.93,4029,5,0.073,0.024,0.0013,597,685,674,169.93,22084,31,0.402,0.145,0.0014,,,,,,,,,
"Netherlands","Zuid-Holland","",0,3708696,626769,3354,16899.98,904.36,0.0054,5,176,313,278,74.43,135704,1032,0.217,0.308,0.0076,313,384,332,57.57,94751,1186,0.151,0.354,0.0125,384,508,453,54.86,158197,775,0.252,0.231,0.0049,508,602,541,55.11,71808,84,0.115,0.025,0.0012,602,685,679,116.35,169006,308,0.270,0.092,0.0018
