Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Sweden","Blekinge","",0,159606,14181,126,8885.00,789.44,0.0089,5,131,178,142,6.71,217,9,0.015,0.071,0.0415,234,400,350,88.54,7286,97,0.514,0.770,0.0133,400,543,456,56.49,5007,16,0.353,0.130,0.0033,543,625,597,7.81,530,0,0.037,0.000,0.0000,625,690,686,22.93,1028,1,0.073,0.008,0.0010
"Sweden","Dalarna","",0,287966,28723,212,9974.44,736.20,0.0074,5,131,200,161,8.55,736,26,0.026,0.122,0.0353,200,385,329,58.32,11790,128,0.410,0.603,0.0109,385,539,443,69.78,13347,44,0.465,0.207,0.0033,539,639,599,11.58,1622,13,0.056,0.060,0.0079,639,690,689,21.90,1297,3,0.045,0.012,0.0020
"Sweden","Gavleborg","",0,287382,38178,455,13284.76,1583.26,0.0119,5,130,212,162,18.36,1813,51,0.047,0.113,0.0283,224,376,333,94.98,15110,302,0.396,0.663,0.0200,376,534,442,76.03,17677,97,0.463,0.214,0.0055,534,608,596,6.89,955,1,0.025,0.002,0.0010,608,690,686,29.22,2736,5,0.072,0.011,0.0019
"Sweden","Gotland","",0,59686,4713,48,7896.32,804.21,0.0102,5,133,223,199,6.70,229,-0,0.049,-0.000,-0.0000,235,390,315,63.45,2332,38,0.495,0.801,0.0165,390,521,452,41.53,1349,8,0.286,0.159,0.0056,521,631,560,32.77,572,2,0.121,0.047,0.0039,648,690,672,17.32,225,0,0.048,0.000,0.0000
"Sweden","Halland","",0,333847,44702,276,13389.97,826.73,0.0062,5,131,191,158,9.89,888,23,0.020,0.082,0.0255,191,384,350,93.91,18629,165,0.417,0.597,0.0089,384,532,427,92.40,20743,79,0.464,0.286,0.0038,532,633,601,10.47,2247,8,0.050,0.029,0.0036,633,690,679,25.71,2384,4,0.053,0.015,0.0017
"Sweden","Jamtland Harjedalen","",0,130810,12901,96,9862.40,733.89,0.0074,5,130,211,144,9.71,401,29,0.031,0.298,0.0713,211,382,350,50.68,4879,39,0.378,0.406,0.0080,382,533,448,69.15,6523,21,0.506,0.219,0.0032,533,636,579,8.82,645,7,0.050,0.073,0.0109,636,690,687,15.15,494,1,0.038,0.011,0.0022
"Sweden","Jonkoping","",0,363599,45483,423,12509.11,1163.37,0.0093,5,130,208,154,31.84,3181,37,0.070,0.086,0.0115,208,383,350,63.76,18633,296,0.410,0.701,0.0159,383,542,428,68.59,20345,79,0.447,0.186,0.0039,542,640,599,9.30,2016,8,0.044,0.019,0.0041,640,690,687,18.10,1479,6,0.033,0.014,0.0040
"Sweden","Kalmar","",0,245446,27029,217,11012.20,884.10,0.0080,5,132,199,161,5.01,400,23,0.015,0.106,0.0575,238,388,350,67.80,9492,140,0.351,0.645,0.0147,388,540,447,84.43,13996,44,0.518,0.201,0.0031,540,616,588,8.25,936,3,0.035,0.014,0.0032,616,690,686,24.26,2150,7,0.080,0.033,0.0033
"Sweden","Kronoberg","",0,201468,23385,253,11607.30,1255.78,0.0108,5,131,169,141,4.88,186,24,0.008,0.094,0.1282,169,413,350,83.20,13291,196,0.568,0.776,0.0148,413,548,469,75.90,8184,23,0.350,0.091,0.0028,548,643,594,12.91,1170,8,0.050,0.030,0.0065,643,690,686,12.39,606,4,0.026,0.014,0.0059
"Sweden","Norrbotten","",0,250093,28542,247,11412.55,987.63,0.0087,5,131,213,153,16.26,1174,40,0.041,0.161,0.0338,218,219,218,0.50,3,0,0.000,0.000,0.0079,235,364,308,54.01,7640,74,0.268,0.298,0.0096,364,581,447,70.29,17822,115,0.624,0.466,0.0065,581,690,649,11.08,1970,21,0.069,0.083,0.0105
