Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"Ukraine","Cherkasy Oblast","",0,1206350,142959,2792,11850.54,2314.42,0.0195,5,133,153,140,0.93,188,6,0.001,0.002,0.0295,164,388,306,56.89,46444,563,0.325,0.202,0.0121,388,545,442,53.70,35055,733,0.245,0.263,0.0209,545,708,645,53.30,46544,1283,0.326,0.459,0.0276,708,745,745,81.83,14984,216,0.105,0.077,0.0144
"Ukraine","Chernihiv Oblast","",0,1005745,108730,2613,10810.89,2598.07,0.0240,5,130,160,140,1.69,356,4,0.003,0.002,0.0124,160,385,308,50.63,33942,677,0.312,0.259,0.0199,385,539,443,42.88,23224,667,0.214,0.255,0.0287,539,704,654,64.12,36555,1032,0.336,0.395,0.0282,704,745,745,102.68,14840,246,0.136,0.094,0.0166
"Ukraine","Chernivtsi Oblast","",0,904373,136131,3021,15052.53,3340.44,0.0222,4,127,351,302,47.28,37712,658,0.277,0.218,0.0174,351,536,416,58.46,39075,996,0.287,0.330,0.0255,536,694,645,66.02,37887,1141,0.278,0.378,0.0301,694,745,739,109.31,21721,236,0.160,0.078,0.0109,,,,,,,,,
"Ukraine","Crimea Republic*","",0,1913731,136073,4754,7110.35,2484.15,0.0349,5,138,151,144,0.71,166,2,0.001,0.000,0.0130,158,422,333,18.37,36243,1010,0.266,0.212,0.0279,422,594,545,20.69,35986,1280,0.264,0.269,0.0356,594,710,665,44.53,54374,2085,0.400,0.439,0.0383,710,745,745,35.02,9606,413,0.071,0.087,0.0430
"Ukraine","Dnipropetrovsk Oblast","",0,3206477,264515,9177,8249.40,2862.02,0.0347,5,182,185,183,0.52,65,1,0.000,0.000,0.0164,195,381,309,38.16,67288,1828,0.254,0.199,0.0272,381,538,443,34.39,67382,2612,0.255,0.285,0.0388,538,706,654,58.66,105749,4318,0.400,0.471,0.0408,706,745,745,56.90,23961,433,0.091,0.047,0.0181
"Ukraine","Donetsk Oblast","",0,4165901,188777,5350,4531.48,1284.24,0.0283,5,159,167,163,0.64,220,1,0.001,0.000,0.0046,215,386,323,12.49,44076,985,0.233,0.184,0.0223,386,532,444,18.07,45610,1365,0.242,0.255,0.0299,532,707,641,24.68,76361,2718,0.405,0.508,0.0356,707,745,745,36.87,22069,281,0.117,0.053,0.0127
"Ukraine","Ivano-Frankivsk Oblast","",0,1373251,168559,3229,12274.45,2351.35,0.0192,5,130,239,218,12.49,10440,190,0.062,0.059,0.0182,239,348,309,42.03,31964,548,0.190,0.170,0.0172,348,515,402,51.30,43041,1275,0.255,0.395,0.0296,544,694,657,54.69,38198,901,0.227,0.279,0.0236,694,745,735,147.95,45201,313,0.268,0.097,0.0069
"Ukraine","Kharkiv Oblast","",0,2675598,274458,6583,10257.82,2460.38,0.0240,4,131,379,288,29.66,77502,1354,0.282,0.206,0.0175,379,535,441,43.79,70350,2163,0.256,0.329,0.0307,535,698,647,56.35,92395,2620,0.337,0.398,0.0284,698,745,745,69.61,34594,474,0.126,0.072,0.0137,,,,,,,,,
"Ukraine","Kherson Oblast","",0,1037640,89334,2781,8609.34,2680.12,0.0311,5,199,202,201,0.51,21,1,0.000,0.000,0.0404,211,393,320,27.66,21068,615,0.236,0.221,0.0292,393,532,443,25.88,14523,528,0.163,0.190,0.0364,532,701,643,102.47,42586,1507,0.477,0.542,0.0354,701,745,745,82.38,11117,135,0.124,0.049,0.0122
"Ukraine","Khmelnytskyi Oblast","",0,1264705,175922,3516,13910.12,2780.09,0.0200,5,132,138,135,0.59,49,2,0.000,0.000,0.0329,142,374,292,38.25,43279,771,0.246,0.219,0.0178,374,538,437,68.93,45330,1101,0.258,0.313,0.0243,538,701,646,76.03,56117,1372,0.319,0.390,0.0245,701,745,745,159.20,31442,284,0.179,0.081,0.0090
"Ukraine","Kiev","",0,2950800,375469,8499,12724.31,2880.24,0.0226,4,129,383,321,53.33,127404,2380,0.339,0.280,0.0187,383,547,443,44.86,87203,2785,0.232,0.328,0.0319,547,706,652,46.59,111852,2918,0.298,0.343,0.0261,706,745,745,84.42,50230,443,0.134,0.052,0.0088,,,,,,,,,
"Ukraine","Kiev Oblast","",0,1767940,204116,4823,11545.41,2728.03,0.0236,4,130,380,308,53.17,68447,1115,0.335,0.231,0.0163,380,547,440,53.52,58142,1617,0.285,0.335,0.0278,547,706,659,46.47,56659,1864,0.278,0.387,0.0329,706,745,745,74.20,21287,239,0.104,0.050,0.0112,,,,,,,,,
"Ukraine","Kirovohrad Oblast","",0,945549,36990,1635,3912.01,1729.15,0.0442,5,144,152,149,0.56,46,1,0.001,0.001,0.0213,216,383,317,15.99,9211,295,0.249,0.181,0.0321,383,522,457,18.91,10648,500,0.288,0.306,0.0470,553,710,669,19.27,12389,665,0.335,0.407,0.0537,710,745,745,33.38,4453,144,0.120,0.088,0.0322
"Ukraine","Luhansk Oblast","",0,2151833,68758,2291,3195.32,1064.67,0.0333,5,219,394,337,7.49,14397,440,0.209,0.192,0.0305,394,517,449,9.89,11872,496,0.173,0.216,0.0418,522,526,526,0.57,58,6,0.001,0.002,0.0981,526,702,638,24.90,32809,1228,0.477,0.536,0.0374,702,745,745,32.85,9452,124,0.137,0.054,0.0131
"Ukraine","Lviv Oblast","",0,2522021,274403,6223,10880.28,2467.47,0.0227,5,128,180,154,7.09,6419,155,0.023,0.025,0.0242,180,376,310,26.10,63319,1881,0.231,0.302,0.0297,376,539,439,46.76,66710,1590,0.243,0.255,0.0238,539,696,645,54.98,78953,2157,0.288,0.347,0.0273,696,745,745,129.76,59675,466,0.217,0.075,0.0078
"Ukraine","Mykolaiv Oblast","",0,2522021,126147,3407,5001.82,1350.90,0.0270,4,200,386,311,17.81,39282,713,0.311,0.209,0.0182,386,548,451,15.97,30380,1137,0.241,0.334,0.0374,548,709,660,35.54,45062,1414,0.357,0.415,0.0314,709,745,745,31.31,11219,145,0.089,0.042,0.0129,,,,,,,,,
"Ukraine","Odessa Oblast","",0,2380307,276087,5748,11598.80,2414.81,0.0208,4,134,383,314,42.97,81575,1334,0.295,0.232,0.0164,383,525,438,48.59,58244,1629,0.211,0.283,0.0280,525,702,649,74.54,97472,2518,0.353,0.438,0.0258,702,745,745,128.43,39126,280,0.142,0.049,0.0071,,,,,,,,,
