Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Alabama","Autauga",1001,55868,10562,157,18905.28,2810.20,0.0149
"US","Alabama","Baldwin",1003,223234,38217,589,17119.70,2638.49,0.0154
"US","Alabama","Barbour",1005,24685,3708,80,15021.27,3240.83,0.0216
"US","Alabama","Bibb",1007,22394,4363,95,19482.90,4242.21,0.0218
"US","Alabama","Blount",1009,57826,10791,193,18661.16,3337.60,0.0179
"US","Alabama","Bullock",1011,10101,1528,45,15127.22,4455.00,0.0295
"US","Alabama","Butler",1013,19448,3445,101,17713.90,5193.34,0.0293
"US","Alabama","Calhoun",1015,113605,22637,520,19926.06,4577.26,0.0230
"US","Alabama","Chambers",1017,33254,5808,142,17465.57,4270.16,0.0244
"US","Alabama","Cherokee",1019,26196,3206,64,12238.51,2443.12,0.0200
"US","Alabama","Chilton",1021,44428,7101,170,15983.16,3826.42,0.0239
"US","Alabama","Choctaw",1023,12589,946,28,7514.50,2224.16,0.0296
"US","Alabama","Clarke",1025,23622,4860,86,20574.04,3640.67,0.0177
"US","Alabama","Clay",1027,13235,2531,69,19123.54,5213.45,0.0273
"US","Alabama","Cleburne",1029,14910,2554,60,17129.44,4024.14,0.0235
"US","Alabama","Coffee",1031,52342,9440,192,18035.23,3668.18,0.0203
"US","Alabama","Colbert",1033,55240,9376,210,16973.21,3801.59,0.0224
"US","Alabama","Conecuh",1035,12067,1935,62,16035.47,5137.98,0.0320
"US","Alabama","Coosa",1037,10663,1860,48,17443.50,4501.55,0.0258
"US","Alabama","Covington",1039,37049,6974,197,18823.72,5317.28,0.0282
"US","Alabama","Crenshaw",1041,13772,2618,78,19009.58,5663.67,0.0298
"US","Alabama","Cullman",1043,83768,16173,306,19306.90,3652.95,0.0189
"US","Alabama","Dale",1045,49171,9049,192,18403.12,3904.74,0.0212
"US","Alabama","Dallas",1047,37196,5306,210,14264.97,5645.77,0.0396
"US","Alabama","DeKalb",1049,71513,13098,271,18315.55,3789.52,0.0207
"US","Alabama","Elmore",1051,81209,15952,295,19643.14,3632.60,0.0185
"US","Alabama","Escambia",1053,36633,6969,144,19023.83,3930.88,0.0207
"US","Alabama","Etowah",1055,102268,20076,520,19630.77,5084.68,0.0259
"US","Alabama","Fayette",1057,16302,3322,85,20377.87,5214.08,0.0256
"US","Alabama","Franklin",1059,31362,6369,108,20308.02,3443.66,0.0170
"US","Alabama","Geneva",1061,26271,4656,136,17722.96,5176.81,0.0292
"US","Alabama","Greene",1063,8111,1306,45,16101.59,5548.02,0.0345
"US","Alabama","Hale",1065,14650,3194,89,21802.05,6075.09,0.0279
"US","Alabama","Henry",1067,17205,3212,66,18668.99,3836.09,0.0205
"US","Alabama","Houston",1069,105882,17794,426,16805.50,4023.35,0.0239
"US","Alabama","Jackson",1071,51626,10222,196,19800.10,3796.54,0.0192
"US","Alabama","Jefferson",1073,658573,116465,2005,17684.45,3044.46,0.0172
"US","Alabama","Lamar",1075,13804,2536,55,18371.49,3984.35,0.0217
"US","Alabama","Lauderdale",1077,92729,15094,307,16277.54,3310.72,0.0203
"US","Alabama","Lawrence",1079,32924,4853,130,14740.01,3948.49,0.0268
"US","Alabama","Lee",1081,164542,25691,264,15613.64,1604.45,0.0103
"US","Alabama","Limestone",1083,98915,16207,220,16384.77,2224.13,0.0136
"US","Alabama","Lowndes",1085,9726,1784,68,18342.59,6991.57,0.0381
"US","Alabama","Macon",1087,18068,2463,67,13631.84,3708.21,0.0272
"US","Alabama","Madison",1089,372909,53560,738,14362.75,1979.04,0.0138
"US","Alabama","Marengo",1091,18863,3429,93,18178.44,4930.29,0.0271
"US","Alabama","Marion",1093,29709,5446,132,18331.15,4443.10,0.0242
"US","Alabama","Marshall",1095,96774,18864,318,19492.84,3286.01,0.0169
"US","Alabama","Mobile",1097,413209,74449,1384,18017.27,3349.39,0.0186
"US","Alabama","Monroe",1099,20733,3385,66,16326.63,3183.33,0.0195
"US","Alabama","Montgomery",1101,226486,34576,782,15266.29,3452.75,0.0226
"US","Alabama","Morgan",1103,119679,22549,411,18841.23,3434.19,0.0182
"US","Alabama","Out of AL",80001,-1,0,0,0.00,0.00,0.0000
"US","Alabama","Perry",1105,8922,1418,40,15893.30,4483.30,0.0282
"US","Alabama","Pickens",1107,19930,3351,90,16813.85,4515.81,0.0269
"US","Alabama","Pike",1109,33114,5134,109,15504.02,3291.66,0.0212
"US","Alabama","Randolph",1111,22721,3382,67,14884.91,2948.81,0.0198
"US","Alabama","Russell",1113,57961,7113,65,12272.04,1121.44,0.0091
"US","Alabama","Shelby",1117,217701,38455,371,17664.14,1704.17,0.0096
"US","Alabama","St. Clair",1115,89511,16970,359,18958.56,4010.68,0.0212
"US","Alabama","Sumter",1119,12427,1398,41,11249.70,3299.27,0.0293
"US","Alabama","Talladega",1121,79978,14268,302,17839.91,3776.04,0.0212
"US","Alabama","Tallapoosa",1123,40366,7289,202,18057.28,5004.21,0.0277
"US","Alabama","Tuscaloosa",1125,209355,36176,644,17279.74,3076.11,0.0178
"US","Alabama","Unassigned",90001,-1,0,0,0.00,0.00,0.0000
"US","Alabama","Walker",1127,63520,12184,380,19181.36,5982.37,0.0312
"US","Alabama","Washington",1129,16326,2568,52,15729.51,3185.10,0.0202
"US","Alabama","Wilcox",1131,10372,1785,38,17209.80,3663.71,0.0213
"US","Alabama","Winston",1133,23629,4802,110,20322.49,4655.30,0.0229
