Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Alaska","Aleutians East",2013,3337,526,3,15762.66,899.01,0.0057,5,269,320,308,49.15,36,0,0.069,0.000,0.0000,353,428,380,704.82,325,2,0.618,0.670,0.0062,537,585,565,46.15,32,0,0.062,0.000,0.0000,585,681,618,47.35,51,0,0.097,0.000,0.0000,698,725,723,228.05,74,0,0.141,0.000,0.0000
"US","Alaska","Aleutians West",2016,5634,1202,2,21334.75,354.99,0.0017,5,266,310,279,186.37,102,0,0.085,0.000,0.0000,310,485,393,212.99,594,1,0.494,0.505,0.0017,485,566,553,85.02,88,0,0.073,0.000,0.0000,566,675,611,80.05,157,1,0.131,0.505,0.0064,675,725,725,429.00,257,0,0.214,0.000,0.0000
"US","Alaska","Anchorage",2020,287999,76028,434,26398.70,1506.95,0.0057,5,125,219,189,24.80,2675,17,0.035,0.038,0.0062,219,396,299,121.01,23551,135,0.310,0.310,0.0057,396,501,436,27.31,4502,25,0.059,0.057,0.0055,501,680,612,144.88,30654,221,0.403,0.510,0.0072,680,725,722,332.25,14613,34,0.192,0.079,0.0024
"US","Alaska","Bethel",2050,18386,7313,32,39774.83,1740.45,0.0044,5,116,128,119,0.71,2,0,0.000,0.000,0.0000,140,336,309,245.24,2118,8,0.290,0.258,0.0039,336,505,345,318.07,1803,14,0.247,0.434,0.0077,505,697,622,186.07,2997,7,0.410,0.210,0.0022,697,725,724,189.44,413,4,0.056,0.115,0.0089
"US","Alaska","Bristol Bay",2060,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Alaska","Bristol Bay plus Lake and Peninsula",2164,2428,623,1,25658.98,411.86,0.0016,5,261,351,279,355.85,161,0,0.258,0.000,0.0000,351,371,361,31.71,9,0,0.015,0.000,0.0000,415,488,425,37.07,21,0,0.034,0.000,0.0000,539,687,612,312.60,353,1,0.567,1.010,0.0029,687,725,724,207.58,68,0,0.109,0.000,0.0000
"US","Alaska","Denali",2068,2097,310,1,14783.02,476.87,0.0032,5,239,339,278,62.47,58,0,0.187,0.000,0.0000,362,380,368,22.89,5,0,0.016,0.000,0.0000,386,509,429,44.83,44,0,0.142,0.000,0.0000,517,692,591,132.57,184,1,0.594,1.010,0.0055,692,725,724,51.50,14,0,0.045,0.000,0.0000
"US","Alaska","Dillingham",2070,4916,1072,10,21806.35,2034.17,0.0093,5,228,324,279,84.01,103,1,0.096,0.101,0.0098,324,415,351,51.87,100,0,0.094,0.000,0.0000,435,466,446,37.84,21,1,0.020,0.101,0.0482,536,685,640,259.15,739,7,0.689,0.698,0.0094,685,725,724,112.29,102,1,0.095,0.109,0.0107
"US","Alaska","Fairbanks North Star",2090,96849,19849,118,20494.79,1218.39,0.0059,5,56,84,73,4.53,77,1,0.004,0.009,0.0130,138,404,323,74.85,6179,26,0.311,0.218,0.0042,404,517,460,58.15,1829,17,0.092,0.142,0.0091,517,684,613,190.08,9194,64,0.463,0.542,0.0070,684,725,722,188.86,2594,10,0.131,0.086,0.0039
"US","Alaska","Haines",2100,2530,329,1,13003.95,395.26,0.0030,5,272,302,279,32.81,10,0,0.031,0.000,0.0000,317,366,326,12.65,7,0,0.022,0.000,0.0000,366,393,371,8.30,3,0,0.009,0.000,0.0000,556,669,572,275.10,208,1,0.632,1.010,0.0049,669,725,717,203.16,90,0,0.275,0.000,0.0000
"US","Alaska","Juneau",2110,31973,5683,15,17774.37,469.15,0.0026,5,59,94,70,3.38,26,0,0.005,0.000,0.0000,119,418,279,67.34,1247,5,0.219,0.333,0.0040,418,510,441,11.51,215,0,0.038,0.000,0.0000,510,674,609,120.63,2658,9,0.468,0.603,0.0034,674,725,721,260.56,1546,1,0.272,0.067,0.0007
