Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Arizona","Apache",4001,71887,15746,521,21903.82,7247.49,0.0331,5,57,228,129,60.90,3365,154,0.214,0.296,0.0458,228,341,323,115.65,3924,76,0.249,0.145,0.0193,341,497,369,112.86,4183,205,0.266,0.393,0.0490,497,604,590,49.31,1458,28,0.093,0.054,0.0193,604,680,640,96.08,2540,52,0.161,0.101,0.0206
"US","Arizona","Cochise",4003,125922,19104,423,15171.30,3359.22,0.0221,4,72,98,88,1.42,32,0,0.002,0.000,0.0000,113,237,168,28.13,1821,67,0.095,0.158,0.0367,237,517,334,116.38,10315,225,0.540,0.532,0.0218,517,690,682,72.23,6932,131,0.363,0.309,0.0189,,,,,,,,,
"US","Arizona","Coconino",4005,143476,26320,394,18344.53,2746.10,0.0150,5,55,210,162,33.92,3203,121,0.122,0.307,0.0377,210,436,354,119.43,13926,204,0.529,0.519,0.0147,436,481,445,17.10,772,6,0.029,0.015,0.0078,495,676,660,57.82,7413,53,0.282,0.136,0.0072,676,690,682,57.74,1103,12,0.042,0.029,0.0104
"US","Arizona","Gila",4007,54018,11676,285,21615.02,5276.02,0.0244,5,82,225,187,36.69,1117,48,0.096,0.170,0.0433,225,412,351,103.24,5311,169,0.455,0.592,0.0318,412,473,443,60.09,495,11,0.042,0.040,0.0229,482,618,579,71.33,2104,33,0.180,0.114,0.0155,618,690,665,93.10,2677,25,0.229,0.089,0.0095
"US","Arizona","Graham",4009,38837,8785,143,22620.18,3682.06,0.0163,5,119,234,186,39.06,751,24,0.086,0.167,0.0318,234,414,352,211.89,4555,53,0.519,0.369,0.0116,414,499,443,43.82,304,7,0.035,0.048,0.0226,521,620,588,91.41,1433,17,0.163,0.122,0.0122,620,690,667,84.94,1775,42,0.202,0.293,0.0236
"US","Arizona","Greenlee",4011,9498,1418,23,14929.46,2421.56,0.0162,5,114,199,187,17.27,55,1,0.039,0.044,0.0183,241,437,315,90.23,507,9,0.358,0.395,0.0179,437,484,439,3.90,9,0,0.007,0.000,0.0000,519,626,598,93.49,428,5,0.302,0.237,0.0127,626,690,656,116.34,418,8,0.295,0.338,0.0186
"US","Arizona","La Paz",4012,21108,3513,105,16642.98,4974.42,0.0299,5,60,218,136,61.49,497,15,0.142,0.139,0.0295,218,412,348,181.50,1925,58,0.548,0.556,0.0303,417,460,425,9.14,34,7,0.010,0.065,0.2023,514,646,603,63.63,708,19,0.201,0.183,0.0272,646,690,690,49.46,333,7,0.095,0.068,0.0215
"US","Arizona","Maricopa",4013,4485414,828547,13132,18472.03,2927.71,0.0158,5,59,235,164,58.09,137454,3161,0.166,0.241,0.0230,235,438,352,132.37,388517,6528,0.469,0.497,0.0168,438,506,463,11.66,28603,469,0.035,0.036,0.0164,506,628,584,47.47,157962,1599,0.191,0.122,0.0101,628,690,684,51.68,118261,1421,0.143,0.108,0.0120
"US","Arizona","Mohave",4015,212180,37196,1095,17530.40,5160.71,0.0294,4,68,249,173,31.96,3971,226,0.107,0.206,0.0568,249,478,346,129.96,18886,499,0.508,0.455,0.0264,478,636,585,49.45,9806,241,0.264,0.220,0.0245,636,690,681,46.57,4618,134,0.124,0.122,0.0289,,,,,,,,,
"US","Arizona","Navajo",4017,110923,25698,704,23167.42,6346.75,0.0274,5,54,232,156,59.74,5671,225,0.221,0.320,0.0397,232,410,323,110.81,10038,280,0.391,0.397,0.0279,494,597,583,46.46,2499,40,0.097,0.057,0.0161,597,673,661,102.90,5265,92,0.205,0.130,0.0174,673,690,690,85.92,1621,35,0.063,0.050,0.0218
