Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
US,Arkansas,Arkansas,5001,17486,3547,60,20284.80,3431.32,0.0169
US,Arkansas,Ashley,5003,19657,3241,51,16487.77,2594.50,0.0157
US,Arkansas,Baxter,5005,41932,6313,190,15055.33,4531.15,0.0301
US,Arkansas,Benton,5007,279141,44376,639,15897.34,2289.17,0.0144
US,Arkansas,Boone,5009,37432,6573,132,17559.84,3526.39,0.0201
US,Arkansas,Bradley,5011,10763,2034,41,18898.08,3809.35,0.0202
US,Arkansas,Calhoun,5013,5189,607,8,11697.82,1541.72,0.0132
US,Arkansas,Carroll,5015,28380,4446,78,15665.96,2748.41,0.0175
US,Arkansas,Chicot,5017,10118,2036,47,20122.55,4645.19,0.0231
US,Arkansas,Clark,5019,22320,3399,62,15228.49,2777.78,0.0182
US,Arkansas,Clay,5021,14550,2833,76,19470.79,5223.37,0.0268
US,Arkansas,Cleburne,5023,24919,4039,95,16208.52,3812.35,0.0235
US,Arkansas,Cleveland,5025,7956,1450,33,18225.24,4147.81,0.0228
US,Arkansas,Columbia,5027,23457,3424,75,14596.92,3197.34,0.0219
US,Arkansas,Conway,5029,20845,3303,46,15845.53,2206.76,0.0139
US,Arkansas,Craighead,5031,110332,22468,251,20363.99,2274.95,0.0112
US,Arkansas,Crawford,5033,63257,11130,180,17594.89,2845.53,0.0162
US,Arkansas,Crittenden,5035,47955,9044,184,18859.35,3836.93,0.0203
US,Arkansas,Cross,5037,16419,3059,69,18630.85,4202.45,0.0226
US,Arkansas,Dallas,5039,7008,1151,19,16424.09,2711.19,0.0165
US,Arkansas,Desha,5041,11361,1966,33,17304.81,2904.67,0.0168
US,Arkansas,Drew,5043,18219,2971,55,16307.15,3018.83,0.0185
US,Arkansas,Faulkner,5045,126007,20543,228,16303.06,1809.42,0.0111
US,Arkansas,Franklin,5047,17714,2827,55,15959.13,3104.89,0.0195
US,Arkansas,Fulton,5049,12477,1929,69,15460.45,5530.18,0.0358
US,Arkansas,Garland,5051,99386,16232,403,16332.28,4054.90,0.0248
US,Arkansas,Grant,5053,18264,2935,50,16069.86,2737.63,0.0170
US,Arkansas,Greene,5055,45325,10530,127,23232.21,2801.99,0.0121
US,Arkansas,Hempstead,5057,21532,3059,43,14206.76,1997.03,0.0141
US,Arkansas,Hot Spring,5059,33771,7804,111,23108.58,3286.84,0.0142
US,Arkansas,Howard,5061,13202,2557,39,19368.28,2954.10,0.0153
US,Arkansas,Independence,5063,37825,7018,161,18553.87,4256.44,0.0229
US,Arkansas,Izard,5065,13628,2750,55,20179.04,4035.81,0.0200
US,Arkansas,Jackson,5067,16719,4602,47,27525.57,2811.17,0.0102
US,Arkansas,Jefferson,5069,66824,12501,229,18707.35,3426.91,0.0183
US,Arkansas,Johnson,5071,26577,4729,59,17793.58,2219.96,0.0125
US,Arkansas,Lafayette,5073,6624,868,28,13103.86,4227.05,0.0323
US,Arkansas,Lawrence,5075,16406,3504,62,21358.04,3779.11,0.0177
US,Arkansas,Lee,5077,8857,2214,52,24997.18,5871.06,0.0235
US,Arkansas,Lincoln,5079,13023,3722,58,28580.20,4453.66,0.0156
US,Arkansas,Little River,5081,12258,2131,81,17384.57,6607.93,0.0380
US,Arkansas,Logan,5083,21466,3747,52,17455.51,2422.44,0.0139
US,Arkansas,Lonoke,5085,73308,12524,176,17084.08,2400.83,0.0141
US,Arkansas,Madison,5087,16575,2706,40,16325.79,2413.27,0.0148
US,Arkansas,Marion,5089,16694,2394,63,14340.48,3773.81,0.0263
US,Arkansas,Miller,5091,43257,6705,150,15500.38,3467.65,0.0224
US,Arkansas,Mississippi,5093,40651,8777,151,21591.10,3714.55,0.0172
US,Arkansas,Monroe,5095,6701,1207,25,18012.24,3730.79,0.0207
US,Arkansas,Montgomery,5097,8986,1162,47,12931.23,5230.36,0.0404
US,Arkansas,Nevada,5099,8252,1419,41,17195.83,4968.49,0.0289
US,Arkansas,Newton,5101,7753,1246,41,16071.20,5288.28,0.0329
US,Arkansas,Ouachita,5103,23382,3490,86,14926.01,3678.04,0.0246
US,Arkansas,Perry,5105,10455,1613,22,15428.02,2104.26,0.0136
US,Arkansas,Phillips,5107,17782,3258,78,18321.90,4386.46,0.0239
