Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","California","Alameda",6001,1671328,186653,1560,11167.95,933.39,0.0084,5,57,259,203,16.73,21962,390,0.118,0.250,0.0177,259,434,354,54.35,63484,826,0.340,0.529,0.0130,434,501,445,7.14,5408,53,0.029,0.034,0.0097,501,655,584,26.74,32090,189,0.172,0.121,0.0059,655,725,718,220.97,64020,111,0.343,0.071,0.0017
"US","California","Alpine",6003,1129,117,0,10363.15,0.00,0.0000,5,272,391,286,170.95,76,0,0.652,0.000,0.0000,391,441,407,31.89,9,0,0.076,0.000,0.0000,549,567,557,19.49,2,0,0.017,0.000,0.0000,573,648,598,46.94,14,0,0.120,0.000,0.0000,662,725,720,37.20,12,0,0.105,0.000,0.0000
"US","California","Amador",6005,39752,6579,72,16550.11,1811.23,0.0109,5,74,86,79,1.26,5,0,0.001,0.000,0.0000,146,251,201,22.46,283,16,0.043,0.223,0.0567,251,477,325,189.83,3403,30,0.517,0.417,0.0088,477,675,567,59.27,2066,20,0.314,0.279,0.0097,675,725,719,107.16,827,6,0.126,0.082,0.0072
"US","California","Butte",6007,219186,29877,348,13630.89,1587.69,0.0116,5,116,263,222,27.94,2974,52,0.100,0.151,0.0176,263,425,330,77.04,9951,135,0.333,0.388,0.0136,425,516,463,11.20,1662,10,0.056,0.028,0.0059,516,675,586,74.17,10878,115,0.364,0.330,0.0106,675,725,717,103.18,4450,39,0.149,0.112,0.0088
"US","California","Calaveras",6009,45905,5408,93,11780.85,2025.92,0.0172,5,139,247,203,11.70,241,11,0.045,0.116,0.0449,253,392,331,60.30,1619,11,0.299,0.113,0.0065,413,512,417,9.91,281,7,0.052,0.072,0.0239,512,678,579,58.90,2219,32,0.410,0.344,0.0144,678,725,719,113.54,997,6,0.184,0.069,0.0065
"US","California","Colusa",6011,21547,3628,21,16837.61,974.61,0.0058,5,148,265,179,59.82,536,6,0.148,0.288,0.0113,265,426,330,112.54,1622,7,0.447,0.350,0.0045,426,513,447,10.81,131,2,0.036,0.091,0.0145,524,674,566,73.00,955,4,0.263,0.200,0.0044,674,725,716,72.96,379,2,0.104,0.088,0.0049
"US","California","Contra Costa",6013,1153526,143907,1082,12475.40,937.99,0.0075,5,56,102,74,2.38,934,28,0.006,0.026,0.0296,102,260,203,23.44,16595,198,0.115,0.183,0.0119,260,499,355,59.74,53455,590,0.371,0.546,0.0110,499,660,585,46.58,31404,217,0.218,0.200,0.0069,660,725,717,201.31,41736,53,0.290,0.049,0.0013
"US","California","Del Norte",6015,27812,4157,43,14946.79,1546.10,0.0103,5,164,253,217,11.43,89,2,0.022,0.047,0.0225,253,377,323,57.57,733,0,0.176,0.000,0.0000,377,509,435,35.31,554,6,0.133,0.139,0.0108,509,650,576,186.29,2226,34,0.536,0.791,0.0153,650,725,720,71.77,512,1,0.123,0.023,0.0020
"US","California","El Dorado",6017,192843,22797,175,11821.53,907.47,0.0077,5,110,239,182,9.97,1001,4,0.044,0.021,0.0036,239,421,351,68.64,8837,101,0.388,0.577,0.0114,421,504,449,11.53,1192,9,0.052,0.050,0.0073,504,669,586,57.77,7065,48,0.310,0.275,0.0068,669,725,718,122.05,4689,15,0.206,0.084,0.0031
"US","California","Fresno",6019,999101,182314,2416,18247.80,2418.17,0.0133,5,63,257,206,44.78,29400,409,0.161,0.169,0.0139,257,513,331,171.29,82521,1316,0.453,0.545,0.0159,513,518,513,2.56,121,3,0.001,0.001,0.0249,530,677,586,59.53,45285,527,0.248,0.218,0.0116,677,725,719,148.73,25558,165,0.140,0.068,0.0065
