Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Colorado","Adams",8001,517420,125748,1174,24302.89,2268.95,0.0093,5,216,406,298,110.27,41560,421,0.330,0.358,0.0101,406,520,459,34.63,12106,101,0.096,0.086,0.0083,520,672,665,57.57,22363,195,0.178,0.166,0.0087,672,728,720,286.46,33164,191,0.264,0.163,0.0058,728,745,728,198.98,10769,81,0.086,0.069,0.0075
"US","Colorado","Alamosa",8003,16232,4199,58,25868.65,3573.19,0.0138,5,63,224,149,35.36,238,9,0.057,0.156,0.0380,224,426,322,89.14,1100,20,0.262,0.345,0.0182,426,523,476,59.88,387,8,0.092,0.140,0.0210,523,689,665,93.58,1278,14,0.304,0.235,0.0107,689,745,732,273.84,1204,8,0.287,0.132,0.0063
"US","Colorado","Arapahoe",8005,656589,143071,1086,21790.04,1654.00,0.0076,5,56,148,93,13.91,4878,338,0.034,0.311,0.0693,148,220,186,10.97,3175,28,0.022,0.026,0.0090,220,409,300,82.42,41174,292,0.288,0.269,0.0071,409,522,458,31.98,13629,102,0.095,0.094,0.0075,522,745,720,290.67,80416,328,0.562,0.302,0.0041
"US","Colorado","Archuleta",8007,14028,2772,9,19760.48,641.57,0.0032,5,237,388,319,100.94,576,1,0.208,0.112,0.0018,388,503,450,47.19,379,1,0.137,0.121,0.0029,503,590,567,33.50,265,0,0.096,0.007,0.0002,590,689,658,97.16,709,6,0.256,0.662,0.0084,689,745,722,216.57,805,1,0.291,0.104,0.0012
"US","Colorado","Baca",8009,3580,741,8,20698.32,2234.64,0.0108,5,58,88,71,24.58,10,0,0.014,0.000,0.0000,240,428,308,170.67,261,4,0.352,0.505,0.0155,448,526,476,49.44,46,0,0.062,0.000,0.0000,544,694,651,155.31,255,3,0.344,0.323,0.0101,694,745,744,182.68,162,2,0.218,0.196,0.0097
"US","Colorado","Bent",8011,5577,2253,46,40398.06,8248.16,0.0204,5,188,213,196,7.71,6,0,0.003,0.000,0.0000,260,424,324,670.97,1473,21,0.654,0.458,0.0143,435,507,460,62.22,61,1,0.027,0.020,0.0149,560,694,666,112.07,386,14,0.171,0.306,0.0365,694,745,745,241.35,320,10,0.142,0.228,0.0327
"US","Colorado","Boulder",8013,326196,58505,320,17935.54,981.01,0.0055,5,256,403,298,66.51,14277,144,0.244,0.451,0.0101,403,513,438,25.29,5115,11,0.087,0.035,0.0022,513,667,657,38.92,9654,37,0.165,0.115,0.0038,667,728,721,244.68,18431,36,0.315,0.114,0.0020,728,745,728,204.10,7331,13,0.125,0.041,0.0018
"US","Colorado","Broomfield",8014,70465,12508,104,17750.66,1475.91,0.0083,5,220,396,302,54.71,3128,41,0.250,0.395,0.0131,396,516,407,24.58,1328,4,0.106,0.036,0.0028,516,669,662,46.59,2424,7,0.194,0.065,0.0028,669,728,721,227.53,3869,17,0.309,0.164,0.0044,728,745,728,184.28,1401,3,0.112,0.033,0.0025
"US","Colorado","Chaffee",8015,20356,4112,40,20200.43,1965.02,0.0097,5,227,423,346,66.61,1167,5,0.284,0.126,0.0043,423,521,464,24.81,283,1,0.069,0.025,0.0036,521,681,658,77.96,952,11,0.232,0.282,0.0119,681,728,720,290.97,1012,3,0.246,0.066,0.0026,728,745,728,160.00,424,1,0.103,0.036,0.0034
"US","Colorado","Cheyenne",8017,1830,303,9,16557.38,4918.03,0.0297,5,267,344,302,156.83,75,5,0.248,0.518,0.0621,344,385,351,92.35,36,0,0.119,0.056,0.0139,538,585,568,48.63,16,1,0.053,0.112,0.0634,585,696,667,131.69,98,1,0.322,0.074,0.0069,696,745,718,94.54,60,1,0.198,0.162,0.0243
"US","Colorado","Clear Creek",8019,9700,1467,10,15123.71,1030.93,0.0068,5,237,391,296,47.63,319,1,0.217,0.101,0.0032,517,634,590,57.11,276,2,0.188,0.199,0.0072,634,675,665,52.06,137,1,0.094,0.107,0.0078,675,728,721,228.04,441,4,0.301,0.401,0.0091,728,745,728,177.53,161,0,0.110,0.006,0.0004
"US","Colorado","Conejos",8021,8205,1612,49,19646.56,5971.97,0.0304,5,125,220,148,8.78,30,0,0.019,0.000,0.0000,240,424,317,75.20,429,10,0.266,0.203,0.0232,431,552,477,94.45,300,15,0.186,0.306,0.0500,552,686,616,70.69,395,17,0.245,0.353,0.0439,686,745,732,211.94,462,7,0.287,0.141,0.0150
"US","Colorado","Costilla",8023,3887,621,14,15976.33,3601.75,0.0225,5,250,379,327,128.38,147,1,0.236,0.072,0.0069,390,442,398,27.78,29,0,0.047,0.000,0.0000,442,517,480,53.25,46,3,0.074,0.209,0.0634,528,684,606,70.49,183,8,0.295,0.576,0.0440,684,745,724,202.21,188,1,0.302,0.072,0.0054
"US","Colorado","Crowley",8025,6061,2955,28,48754.33,4619.70,0.0095,5,94,170,107,65.01,69,0,0.023,0.000,0.0000,246,366,298,989.11,1682,13,0.569,0.464,0.0077,366,458,404,180.50,409,1,0.139,0.035,0.0024,541,685,609,72.76,265,10,0.090,0.360,0.0380,685,745,734,305.07,475,1,0.161,0.038,0.0022
"US","Colorado","Custer",8027,5068,597,18,11779.79,3551.70,0.0302,5,247,397,323,72.61,147,1,0.246,0.056,0.0069,413,465,456,23.48,26,0,0.044,0.000,0.0000,465,546,504,20.72,46,1,0.077,0.056,0.0219,546,692,648,82.28,244,11,0.409,0.611,0.0450,692,745,733,88.79,118,5,0.197,0.289,0.0442
"US","Colorado","Delta",8029,31161,5600,124,17971.18,3979.33,0.0221,5,251,415,324,116.24,2305,57,0.412,0.460,0.0247,415,470,446,17.97,194,1,0.035,0.008,0.0052,470,569,538,32.99,488,14,0.087,0.111,0.0281,569,694,630,81.13,1548,38,0.276,0.309,0.0248,694,745,728,105.04,893,12,0.160,0.097,0.0135
"US","Colorado","Denver",8031,727211,160358,1198,22051.10,1647.39,0.0075,5,54,147,94,15.76,6458,364,0.040,0.304,0.0563,147,217,184,14.94,4615,62,0.029,0.051,0.0133,217,398,302,93.70,47845,338,0.298,0.282,0.0071,398,519,447,31.71,15496,80,0.097,0.067,0.0052,519,745,720,278.64,86199,358,0.538,0.299,0.0042
"US","Colorado","Dolores",8033,2055,337,7,16399.03,3406.33,0.0208,5,170,182,177,10.22,2,0,0.005,0.000,0.0000,293,409,317,91.48,66,0,0.195,0.000,0.0000,440,534,482,91.00,63,1,0.187,0.144,0.0160,543,667,623,153.77,122,4,0.362,0.557,0.0319,667,745,730,133.33,86,2,0.256,0.304,0.0247
"US","Colorado","Douglas",8035,351154,73265,377,20864.07,1073.60,0.0051,5,211,404,302,74.29,19551,162,0.267,0.430,0.0083,404,526,448,41.86,9208,26,0.126,0.069,0.0028,526,671,666,50.60,14177,70,0.193,0.185,0.0049,671,728,720,269.56,21916,45,0.299,0.120,0.0021,728,745,728,210.97,7558,18,0.103,0.047,0.0023
"US","Colorado","Eagle",8037,55127,15245,34,27654.33,616.76,0.0022,5,230,341,323,70.64,2072,6,0.136,0.164,0.0027,341,505,359,72.60,3094,9,0.203,0.258,0.0028,505,622,589,59.54,1637,8,0.107,0.236,0.0049,622,662,656,62.00,942,1,0.062,0.029,0.0011,662,745,708,328.48,6380,2,0.419,0.061,0.0003
"US","Colorado","El Paso",8041,720403,172658,1520,23966.86,2109.93,0.0088,5,56,229,183,10.99,6211,156,0.036,0.102,0.0251,229,398,315,90.08,45047,587,0.261,0.386,0.0130,398,526,464,37.11,22350,134,0.129,0.088,0.0060,526,677,657,58.37,40826,376,0.236,0.247,0.0092,677,745,721,273.88,58780,274,0.340,0.180,0.0047
"US","Colorado","Elbert",8039,26729,4506,33,16858.09,1234.61,0.0073,5,219,404,318,62.52,1166,10,0.259,0.305,0.0086,404,530,459,35.62,610,2,0.135,0.061,0.0033,530,672,637,44.97,1073,12,0.238,0.366,0.0113,672,728,721,178.64,1137,6,0.252,0.172,0.0050,728,745,728,149.50,454,2,0.101,0.047,0.0034
"US","Colorado","Fremont",8043,47839,13515,173,28251.01,3616.30,0.0128,5,140,227,177,7.99,135,0,0.010,0.001,0.0012,227,421,305,188.82,5406,52,0.400,0.302,0.0097,421,528,465,47.35,993,11,0.074,0.063,0.0109,528,691,656,108.22,3806,84,0.282,0.484,0.0220,691,745,734,254.52,3175,27,0.235,0.158,0.0086
"US","Colorado","Garfield",8045,60060,13650,83,22727.27,1381.95,0.0061,5,104,229,175,25.54,771,2,0.056,0.027,0.0030,229,406,326,111.67,4253,34,0.312,0.410,0.0080,556,662,626,46.32,1916,14,0.140,0.166,0.0072,662,728,721,298.82,4125,14,0.302,0.169,0.0034,728,745,728,206.63,1295,3,0.095,0.038,0.0024
"US","Colorado","Gilpin",8047,6243,899,4,14400.13,640.72,0.0044,5,246,403,295,39.56,150,3,0.167,0.757,0.0202,403,533,487,27.55,118,0,0.131,0.000,0.0000,540,619,602,52.54,116,0,0.129,0.000,0.0000,619,676,652,56.54,130,0,0.145,0.003,0.0001,676,728,721,203.27,288,1,0.320,0.255,0.0035
"US","Colorado","Grand",8049,15734,3345,23,21259.69,1461.80,0.0069,5,219,340,308,97.05,567,3,0.169,0.129,0.0052,340,427,379,102.58,696,2,0.208,0.087,0.0029,427,519,443,29.43,188,1,0.056,0.044,0.0054,519,655,609,99.78,689,9,0.206,0.391,0.0131,655,745,720,246.41,1156,7,0.346,0.307,0.0061
"US","Colorado","Gunnison",8051,17462,3123,13,17884.55,744.47,0.0042,5,51,116,63,40.77,179,6,0.057,0.463,0.0336,266,423,361,93.80,929,-1,0.297,-0.076,-0.0011,533,638,601,44.04,411,5,0.132,0.408,0.0129,638,728,720,296.13,1058,2,0.339,0.148,0.0018,728,745,728,173.52,284,0,0.091,0.000,0.0000
"US","Colorado","Hinsdale",8053,820,117,0,14268.29,0.00,0.0000,5,275,333,306,37.80,9,0,0.077,0.000,0.0000,515,619,581,106.10,35,0,0.297,0.000,0.0000,619,666,642,51.22,11,0,0.094,0.000,0.0000,678,728,721,364.63,40,0,0.338,0.000,0.0000,728,745,728,184.15,15,0,0.126,0.000,0.0000
"US","Colorado","Huerfano",8055,6897,1321,28,19153.26,4059.74,0.0212,5,168,203,196,3.19,4,0,0.003,0.001,0.0076,214,374,312,99.90,283,16,0.215,0.572,0.0565,374,512,465,49.88,141,0,0.107,0.000,0.0000,512,686,650,90.76,428,6,0.324,0.202,0.0132,686,745,731,210.82,466,6,0.352,0.198,0.0119
"US","Colorado","Jackson",8057,1392,150,0,10775.86,0.00,0.0000,5,147,181,170,45.98,8,0,0.053,0.000,0.0000,284,404,349,72.56,42,0,0.280,0.000,0.0000,432,518,483,32.33,15,0,0.101,0.000,0.0000,579,692,614,86.93,57,0,0.379,0.000,0.0000,698,745,745,91.24,25,0,0.167,0.000,0.0000
"US","Colorado","Jefferson",8059,582881,114439,1229,19633.34,2108.49,0.0107,5,219,398,301,75.87,32006,475,0.280,0.386,0.0148,398,520,459,29.55,12174,90,0.106,0.074,0.0074,520,673,665,56.84,22911,181,0.200,0.148,0.0079,673,728,720,236.54,32427,176,0.283,0.143,0.0054,728,745,728,175.37,11624,79,0.102,0.065,0.0068
