Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Georgia","Appling",13001,18386,4522,113,24594.80,6145.98,0.0250,5,65,291,204,90.07,1199,38,0.265,0.337,0.0318,291,478,345,89.74,1034,33,0.229,0.293,0.0320,483,496,489,3.05,5,1,0.001,0.007,0.1450,509,673,585,138.80,1219,35,0.270,0.308,0.0285,673,745,729,245.08,1077,6,0.238,0.057,0.0060
"US","Georgia","Atkinson",13003,8165,1945,39,23821.19,4776.48,0.0201,5,69,257,158,71.65,449,3,0.231,0.089,0.0077,257,412,351,99.69,479,15,0.246,0.395,0.0322,418,475,435,22.54,45,3,0.023,0.086,0.0750,521,672,577,142.93,539,14,0.277,0.361,0.0261,672,745,730,183.47,416,2,0.214,0.052,0.0049
"US","Georgia","Bacon",13005,11164,3303,64,29586.17,5732.71,0.0194,5,62,278,162,59.39,635,16,0.192,0.247,0.0249,278,393,351,132.03,635,15,0.192,0.238,0.0240,393,468,428,223.84,298,4,0.090,0.055,0.0119,506,680,581,158.19,994,24,0.301,0.371,0.0239,680,745,728,231.28,733,3,0.222,0.044,0.0039
"US","Georgia","Baker",13007,3037,511,14,16825.81,4609.81,0.0274,5,54,114,79,35.89,33,2,0.064,0.141,0.0603,149,213,190,35.23,36,-0,0.071,-0.008,-0.0030,251,447,363,61.57,129,5,0.252,0.361,0.0393,520,638,584,90.22,137,4,0.269,0.288,0.0293,692,745,727,174.84,152,0,0.297,0.000,0.0000
"US","Georgia","Baldwin",13009,44890,9176,208,20441.08,4633.55,0.0227,5,60,127,90,20.98,339,25,0.037,0.121,0.0743,127,275,216,92.67,1944,39,0.212,0.187,0.0200,275,515,351,64.02,2216,70,0.242,0.338,0.0317,518,668,584,123.44,2159,61,0.235,0.292,0.0282,668,745,720,188.08,2529,14,0.276,0.067,0.0055
"US","Georgia","Banks",13011,19234,3718,75,19330.35,3899.34,0.0202,5,63,139,121,21.26,97,1,0.026,0.013,0.0103,139,262,216,29.01,424,7,0.114,0.093,0.0165,262,443,330,88.44,1233,25,0.332,0.337,0.0205,507,656,595,99.62,904,24,0.243,0.324,0.0269,656,745,720,165.02,991,13,0.266,0.174,0.0132
"US","Georgia","Barrow",13013,83239,21206,225,25476.04,2703.06,0.0106,5,128,261,190,31.54,2039,34,0.096,0.152,0.0168,261,514,356,120.38,7707,97,0.363,0.429,0.0125,514,663,582,92.89,4671,55,0.220,0.244,0.0118,663,728,720,265.90,4778,13,0.225,0.059,0.0028,728,745,728,173.78,1871,14,0.088,0.064,0.0077
"US","Georgia","Bartow",13015,107738,27600,413,25617.70,3833.37,0.0150,5,112,242,194,35.41,2427,49,0.088,0.117,0.0200,242,507,352,119.93,11756,150,0.426,0.364,0.0128,507,659,585,94.87,5701,117,0.207,0.284,0.0206,659,728,720,189.81,5498,41,0.199,0.099,0.0074,728,745,728,142.30,2034,26,0.074,0.064,0.0129
"US","Georgia","Ben Hill",13017,16700,4086,111,24467.07,6646.71,0.0272,4,59,281,201,87.13,877,34,0.215,0.302,0.0382,281,502,352,133.41,1184,45,0.290,0.403,0.0377,509,674,577,179.28,1130,25,0.277,0.225,0.0221,674,745,728,173.29,898,8,0.220,0.073,0.0090,,,,,,,,,
"US","Georgia","Berrien",13019,19397,4728,62,24374.90,3196.37,0.0131,5,64,262,202,31.35,468,12,0.099,0.194,0.0257,262,446,343,91.82,1244,20,0.263,0.326,0.0163,446,498,477,11.50,70,4,0.015,0.066,0.0586,498,667,575,213.07,1626,24,0.344,0.389,0.0148,667,745,730,300.61,1324,2,0.280,0.033,0.0015
