Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Idaho","Ada",16001,481587,94439,889,19609.96,1845.98,0.0094,5,128,233,176,47.04,11005,115,0.117,0.129,0.0104,233,409,323,93.37,35479,302,0.376,0.340,0.0085,409,511,441,18.86,6151,42,0.065,0.047,0.0068,511,680,616,92.03,32406,359,0.343,0.403,0.0111,680,725,724,84.65,8872,53,0.094,0.060,0.0060
"US","Idaho","Adams",16003,4294,587,14,13670.24,3260.36,0.0239,5,136,169,146,14.90,9,0,0.015,0.000,0.0000,169,221,204,8.62,13,0,0.023,0.000,0.0000,235,431,335,161.62,307,3,0.523,0.226,0.0103,518,685,630,68.23,211,10,0.359,0.714,0.0474,685,725,725,49.60,35,0,0.059,0.000,0.0000
"US","Idaho","Bannock",16005,87808,16102,217,18337.74,2471.30,0.0135,3,117,511,317,97.16,8854,110,0.550,0.508,0.0124,511,683,604,80.63,5463,95,0.339,0.439,0.0174,683,725,722,139.67,1789,12,0.111,0.056,0.0068,,,,,,,,,,,,,,,,,,
"US","Idaho","Bear Lake",16007,6125,785,15,12816.33,2448.98,0.0191,5,172,229,198,18.94,29,0,0.037,0.000,0.0000,234,455,291,74.61,345,2,0.440,0.135,0.0059,476,501,484,11.59,9,0,0.012,0.000,0.0000,501,686,603,81.47,348,13,0.444,0.853,0.0367,686,725,722,46.69,47,0,0.060,0.023,0.0073
"US","Idaho","Benewah",16009,9298,1799,31,19348.25,3334.05,0.0172,5,158,253,203,24.41,129,3,0.072,0.097,0.0234,253,381,332,70.12,388,4,0.216,0.129,0.0103,381,441,399,50.33,115,2,0.064,0.068,0.0184,538,615,598,76.90,264,6,0.147,0.184,0.0216,615,725,677,152.08,767,15,0.426,0.498,0.0201
"US","Idaho","Bingham",16011,46811,8024,139,17141.27,2969.39,0.0173,5,128,385,301,94.25,4113,60,0.513,0.433,0.0146,385,500,414,34.80,739,16,0.092,0.116,0.0218,514,523,517,1.00,4,0,0.000,0.000,0.0027,533,683,613,69.58,2379,53,0.296,0.383,0.0224,683,725,722,111.58,797,10,0.099,0.075,0.0131
"US","Idaho","Blaine",16013,23021,4356,27,18921.85,1172.84,0.0062,5,52,128,71,145.69,511,5,0.117,0.184,0.0097,200,338,301,68.20,964,6,0.221,0.221,0.0062,338,421,365,80.36,676,5,0.155,0.193,0.0077,506,668,632,49.52,749,9,0.172,0.335,0.0121,668,725,715,268.02,1224,0,0.281,0.000,0.0000
"US","Idaho","Boise",16015,7831,889,11,11352.32,1404.67,0.0124,5,149,244,181,22.60,67,1,0.075,0.106,0.0175,244,410,323,70.23,245,1,0.275,0.083,0.0037,410,496,459,15.71,55,0,0.062,0.000,0.0000,496,684,620,87.73,458,9,0.515,0.826,0.0199,684,725,722,56.44,68,0,0.076,0.000,0.0000
"US","Idaho","Bonner",16017,45739,7080,155,15479.13,3388.79,0.0219,5,73,78,75,0.57,1,0,0.000,0.000,0.0000,142,211,186,10.63,188,0,0.027,0.000,0.0000,211,521,333,75.60,3186,43,0.450,0.281,0.0136,521,700,638,98.80,3309,98,0.467,0.632,0.0296,700,725,721,51.01,399,15,0.056,0.095,0.0371
"US","Idaho","Bonneville",16019,119062,25427,255,21356.10,2141.74,0.0100,5,124,218,199,35.97,1619,9,0.064,0.034,0.0053,218,379,320,106.73,9929,130,0.390,0.510,0.0131,379,510,415,65.83,3488,38,0.137,0.148,0.0108,510,682,611,71.93,6693,60,0.263,0.236,0.0090,682,725,723,215.24,3751,21,0.148,0.081,0.0055
