Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Kentucky","Adair",21001,19202,3789,85,19732.32,4426.62,0.0224,5,68,128,84,25.73,96,19,0.025,0.222,0.1952,128,222,206,15.68,166,0,0.044,0.003,0.0015,222,394,326,136.60,1258,30,0.332,0.354,0.0239,394,469,431,59.73,340,5,0.090,0.057,0.0143,515,690,644,106.08,1837,31,0.485,0.366,0.0169
"US","Kentucky","Allen",21003,21315,4116,77,19310.34,3612.48,0.0187,5,198,283,274,38.33,340,3,0.083,0.039,0.0088,283,418,381,84.54,1293,16,0.314,0.210,0.0125,418,511,435,28.10,269,16,0.065,0.207,0.0592,511,654,581,144.59,1721,27,0.418,0.357,0.0160,654,690,683,62.82,284,7,0.069,0.093,0.0253
"US","Kentucky","Anderson",21005,22747,3932,54,17285.80,2373.94,0.0137,5,159,222,189,14.55,90,0,0.023,0.000,0.0000,222,445,349,88.58,1578,18,0.401,0.339,0.0116,445,496,464,9.28,69,4,0.018,0.071,0.0555,496,670,608,108.89,1948,28,0.495,0.526,0.0146,670,690,681,58.91,234,3,0.059,0.056,0.0129
"US","Kentucky","Ballard",21007,7887,783,25,9927.73,3169.77,0.0319,5,160,211,174,11.79,24,0,0.031,0.000,0.0000,211,468,316,52.75,357,8,0.456,0.323,0.0226,468,523,479,11.92,25,1,0.032,0.040,0.0397,542,658,596,49.83,287,10,0.367,0.403,0.0350,658,690,686,48.18,75,5,0.096,0.210,0.0698
"US","Kentucky","Barren",21009,44249,8853,170,20007.23,3841.89,0.0192,5,77,215,184,26.17,472,6,0.053,0.037,0.0132,215,328,280,67.66,1846,29,0.209,0.169,0.0156,328,502,364,76.59,2185,65,0.247,0.383,0.0298,502,645,605,154.33,3457,44,0.391,0.256,0.0126,645,690,682,67.55,923,28,0.104,0.167,0.0307
"US","Kentucky","Bath",21011,12500,1899,33,15192.00,2640.00,0.0174,5,139,242,220,13.04,71,0,0.037,0.000,0.0000,242,414,353,84.80,714,17,0.376,0.514,0.0237,414,522,449,43.20,259,6,0.136,0.195,0.0248,522,640,581,73.52,522,6,0.275,0.180,0.0114,640,690,683,87.12,330,3,0.174,0.095,0.0095
"US","Kentucky","Bell",21013,26032,6064,115,23294.41,4417.64,0.0190,4,133,232,170,38.80,437,10,0.072,0.087,0.0229,232,514,351,100.57,2727,48,0.450,0.422,0.0178,514,664,584,235.48,2739,41,0.452,0.355,0.0149,664,690,684,37.80,167,17,0.028,0.149,0.1026,,,,,,,,,
"US","Kentucky","Boone",21015,133580,22781,218,17054.20,1631.98,0.0096,5,219,337,317,82.65,5834,11,0.256,0.049,0.0018,337,444,355,93.69,6301,75,0.277,0.343,0.0119,444,518,463,17.46,1093,38,0.048,0.172,0.0344,518,649,612,61.93,6088,47,0.267,0.215,0.0077,649,690,681,57.22,2333,25,0.102,0.116,0.0108
"US","Kentucky","Bourbon",21017,19788,3633,41,18359.61,2071.96,0.0113,5,118,450,348,97.38,1641,13,0.452,0.317,0.0079,450,471,465,11.42,40,1,0.011,0.033,0.0333,471,516,484,14.30,79,5,0.022,0.122,0.0638,524,644,595,131.39,1397,15,0.384,0.355,0.0104,644,690,665,75.80,477,7,0.131,0.169,0.0145
"US","Kentucky","Boyd",21019,46718,9361,123,20037.24,2632.82,0.0131,5,131,190,174,9.18,120,0,0.013,0.000,0.0000,190,438,322,135.34,4639,67,0.496,0.543,0.0144,438,510,469,14.47,308,6,0.033,0.048,0.0193,510,651,599,116.83,3392,29,0.362,0.240,0.0087,651,690,681,65.37,891,19,0.095,0.154,0.0213
