Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Maine","Androscoggin",23001,108276,16549,179,15284.09,1653.18,0.0108,4,60,194,120,11.79,548,7,0.033,0.039,0.0127,194,405,358,60.84,4284,49,0.259,0.275,0.0115,405,532,451,74.09,3611,30,0.218,0.169,0.0084,532,725,687,90.50,8122,93,0.491,0.521,0.0115,,,,,,,,,
"US","Maine","Aroostook",23003,67055,7851,111,11708.30,1655.36,0.0141,5,146,159,152,1.86,12,0,0.002,0.000,0.0000,251,407,345,41.62,1243,42,0.158,0.380,0.0339,407,521,448,15.88,615,5,0.078,0.045,0.0080,532,628,589,52.88,1632,30,0.208,0.273,0.0186,628,725,688,132.62,4335,33,0.552,0.296,0.0076
"US","Maine","Cumberland",23005,295003,31909,281,10816.50,952.53,0.0088,4,54,227,121,8.54,2210,70,0.069,0.249,0.0317,227,407,357,55.74,10499,110,0.329,0.390,0.0104,407,520,449,30.04,4578,21,0.143,0.073,0.0045,520,725,723,99.73,14675,81,0.460,0.289,0.0055,,,,,,,,,
"US","Maine","Franklin",23007,30199,4143,46,13719.00,1523.23,0.0111,5,62,124,92,5.70,35,1,0.009,0.022,0.0286,202,226,219,1.76,7,0,0.002,0.000,0.0000,234,412,368,51.89,869,12,0.210,0.253,0.0134,412,536,450,39.67,477,3,0.115,0.056,0.0054,536,725,725,139.41,2746,31,0.663,0.673,0.0113
"US","Maine","Hancock",23009,54987,4814,68,8754.80,1236.66,0.0141,5,185,216,191,2.86,25,0,0.005,0.000,0.0000,221,234,225,1.00,6,0,0.001,0.000,0.0000,268,403,327,22.37,849,33,0.176,0.480,0.0384,403,522,446,15.46,475,5,0.099,0.069,0.0098,532,725,618,56.36,3437,30,0.714,0.443,0.0088
"US","Maine","Kennebec",23011,122302,15668,169,12810.91,1381.83,0.0108,5,59,96,82,6.14,100,5,0.006,0.032,0.0543,237,403,358,43.78,3436,40,0.219,0.235,0.0116,403,527,450,45.46,2987,24,0.191,0.139,0.0079,527,708,689,81.99,7726,72,0.493,0.427,0.0093,708,725,715,70.01,1407,24,0.090,0.142,0.0171
"US","Maine","Knox",23013,39772,3691,20,9280.40,502.87,0.0054,5,61,87,69,1.84,11,0,0.003,0.000,0.0000,238,393,360,25.37,584,4,0.158,0.201,0.0069,393,513,467,20.84,530,1,0.143,0.051,0.0019,522,662,645,47.75,1097,7,0.297,0.367,0.0067,662,725,722,104.67,1460,7,0.396,0.339,0.0046
"US","Maine","Lincoln",23015,34633,3342,16,9649.76,461.99,0.0048,5,232,259,253,2.60,13,0,0.004,0.000,0.0000,264,410,334,19.69,543,1,0.162,0.063,0.0019,410,524,469,29.94,489,1,0.146,0.063,0.0021,524,644,615,42.30,725,3,0.217,0.186,0.0041,644,725,719,94.82,1545,10,0.462,0.641,0.0066
"US","Maine","Out of ME",80023,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Maine","Oxford",23017,57975,8215,112,14169.90,1931.87,0.0136,5,118,132,126,2.55,14,0,0.002,0.000,0.0000,217,264,241,8.64,97,2,0.012,0.017,0.0193,274,405,332,57.49,2069,50,0.252,0.445,0.0241,405,530,451,51.19,1431,17,0.174,0.149,0.0117,530,725,689,96.01,4566,44,0.556,0.397,0.0097
"US","Maine","Penobscot",23019,152148,18764,241,12332.73,1583.98,0.0128,5,159,232,208,3.65,143,4,0.008,0.017,0.0281,267,401,347,33.15,3605,77,0.192,0.318,0.0212,401,528,480,19.01,2497,17,0.133,0.070,0.0068,528,651,606,75.05,6112,90,0.326,0.373,0.0147,651,725,693,92.99,6345,54,0.338,0.223,0.0085
"US","Maine","Piscataquis",23021,16785,2121,23,12636.28,1370.27,0.0108,5,281,367,362,18.41,171,1,0.080,0.044,0.0059,367,440,405,41.17,215,3,0.101,0.131,0.0140,440,528,479,28.30,199,3,0.094,0.131,0.0151,528,648,616,98.18,747,5,0.352,0.212,0.0065,648,725,689,115.22,789,11,0.372,0.491,0.0143
"US","Maine","Sagadahoc",23023,35855,3274,23,9131.22,641.47,0.0070,5,56,82,70,2.37,15,1,0.004,0.022,0.0351,177,209,191,3.24,24,0,0.007,0.000,0.0000,238,406,355,43.40,827,5,0.253,0.215,0.0060,406,512,446,32.94,585,6,0.179,0.267,0.0105,539,725,689,63.90,1797,13,0.549,0.562,0.0072
"US","Maine","Somerset",23025,50484,6928,78,13723.16,1545.04,0.0113,5,202,242,234,4.64,51,7,0.007,0.083,0.1271,251,405,358,26.82,1163,19,0.168,0.244,0.0164,405,531,451,42.96,1043,5,0.150,0.066,0.0049,531,670,615,86.42,2893,26,0.418,0.336,0.0090,670,725,690,85.29,1767,20,0.255,0.262,0.0116
"US","Maine","Unassigned",90023,-1,11,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Maine","Waldo",23027,39715,4078,47,10268.16,1183.43,0.0115,5,249,347,330,16.87,311,3,0.076,0.065,0.0098,347,400,369,17.10,198,2,0.048,0.042,0.0099,400,516,478,21.65,470,2,0.115,0.045,0.0045,520,654,599,58.44,1534,13,0.376,0.276,0.0084,654,725,716,83.87,1508,13,0.370,0.278,0.0087
"US","Maine","Washington",23029,31379,2943,42,9378.88,1338.47,0.0143,5,185,209,194,1.82,8,0,0.003,0.000,0.0000,267,417,331,33.88,718,14,0.244,0.335,0.0196,417,463,437,9.31,93,1,0.032,0.024,0.0109,463,531,492,10.99,117,3,0.040,0.068,0.0243,535,725,616,72.92,1998,25,0.679,0.603,0.0127
"US","Maine","York",23031,207640,26737,199,12876.61,958.39,0.0074,5,180,259,244,6.81,657,5,0.025,0.026,0.0080,259,406,346,66.93,8359,102,0.313,0.510,0.0121,406,521,447,37.69,3940,16,0.147,0.082,0.0041,521,646,620,35.01,4520,23,0.169,0.118,0.0052,646,725,724,106.01,8763,43,0.328,0.216,0.0049
