Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Maryland","Allegany",24001,70416,15888,333,22563.05,4729.04,0.0210,5,232,412,316,174.14,6015,178,0.379,0.536,0.0297,412,525,450,16.33,633,12,0.040,0.036,0.0190,525,669,605,72.06,3229,50,0.203,0.151,0.0156,696,728,718,234.66,3743,36,0.236,0.107,0.0095,728,745,728,160.77,1533,27,0.096,0.081,0.0175
"US","Maryland","Anne Arundel",24003,579234,85084,993,14689.05,1714.33,0.0117,5,58,157,130,12.23,5033,205,0.059,0.206,0.0407,215,406,354,59.88,27998,310,0.329,0.312,0.0111,406,517,445,23.12,8068,121,0.095,0.122,0.0151,517,667,588,19.31,10598,124,0.125,0.124,0.0117,696,745,708,216.67,28982,199,0.341,0.200,0.0069
"US","Maryland","Baltimore",24005,827370,125681,2321,15190.42,2805.27,0.0185,5,149,248,187,21.68,10416,187,0.083,0.081,0.0180,248,400,303,42.90,32791,645,0.261,0.278,0.0197,400,520,445,34.43,15525,414,0.124,0.178,0.0267,520,646,617,16.66,10790,164,0.086,0.071,0.0152,696,745,709,249.64,44559,416,0.355,0.179,0.0093
"US","Maryland","Baltimore City",24510,593490,105786,1669,17824.39,2812.18,0.0158,5,151,241,190,27.66,8237,167,0.078,0.100,0.0202,241,397,303,45.49,24702,393,0.234,0.235,0.0159,397,521,445,42.44,13268,379,0.125,0.227,0.0286,521,649,618,20.23,8651,101,0.082,0.061,0.0117,696,745,708,344.03,40816,286,0.386,0.171,0.0070
"US","Maryland","Calvert",24009,92525,10555,131,11407.73,1415.83,0.0124,5,152,224,193,13.60,404,5,0.038,0.035,0.0112,224,411,354,54.54,2915,44,0.276,0.339,0.0152,411,516,427,11.18,537,13,0.051,0.102,0.0248,531,668,620,25.95,1662,15,0.157,0.115,0.0091,696,745,709,197.24,4469,29,0.423,0.223,0.0065
"US","Maryland","Caroline",24011,33406,5768,68,17266.36,2035.56,0.0118,5,61,151,110,28.95,293,2,0.051,0.034,0.0080,263,415,354,62.80,1387,14,0.241,0.199,0.0098,415,512,449,17.06,286,9,0.050,0.136,0.0323,531,652,611,46.52,904,21,0.157,0.310,0.0233,696,745,708,240.35,2155,14,0.374,0.203,0.0064
"US","Maryland","Carroll",24013,168446,20215,375,12000.88,2226.23,0.0186,5,58,155,118,10.00,1081,110,0.053,0.293,0.1016,243,404,352,43.76,5646,89,0.279,0.239,0.0158,404,518,436,20.47,1988,41,0.098,0.108,0.0204,532,640,612,23.15,2121,33,0.105,0.088,0.0156,696,745,708,168.72,7211,78,0.357,0.209,0.0109
"US","Maryland","Cecil",24015,102855,14534,247,14130.57,2401.44,0.0170,5,59,153,111,10.03,462,29,0.032,0.118,0.0630,153,403,323,55.45,4551,91,0.313,0.369,0.0200,403,514,451,25.88,1319,32,0.091,0.131,0.0246,514,670,617,36.01,2963,36,0.204,0.144,0.0120,696,745,716,152.81,4884,53,0.336,0.214,0.0108
"US","Maryland","Charles",24017,163257,26521,326,16244.94,1996.85,0.0123,5,153,250,193,12.96,1452,15,0.055,0.046,0.0103,250,414,356,42.68,6406,61,0.242,0.188,0.0096,414,520,436,18.54,1813,54,0.068,0.166,0.0299,520,667,586,32.76,3829,51,0.144,0.156,0.0133,696,745,709,314.38,11454,58,0.432,0.178,0.0051
"US","Maryland","Dorchester",24019,31929,7295,102,22847.57,3194.59,0.0140,5,142,217,182,27.40,278,2,0.038,0.015,0.0055,217,420,357,93.18,1977,41,0.271,0.400,0.0206,420,520,454,26.65,444,19,0.061,0.189,0.0434,520,668,599,60.26,1474,20,0.202,0.197,0.0136,696,745,720,288.45,2789,16,0.382,0.154,0.0056
"US","Maryland","Frederick",24021,259547,43189,488,16640.15,1880.20,0.0113,5,60,168,121,14.01,2561,120,0.059,0.246,0.0468,168,412,356,70.78,14705,164,0.340,0.337,0.0112,412,516,444,19.92,2599,58,0.060,0.120,0.0224,522,638,577,22.59,4106,32,0.095,0.065,0.0078,696,745,710,260.13,16942,92,0.392,0.188,0.0054
"US","Maryland","Garrett",24023,29013,5247,110,18085.00,3791.40,0.0210,5,230,406,309,115.43,1780,61,0.339,0.553,0.0342,406,516,451,11.93,200,4,0.038,0.037,0.0201,523,682,645,76.62,1825,21,0.348,0.192,0.0116,682,691,682,50.05,55,0,0.010,0.000,0.0000,696,745,707,151.97,1339,24,0.255,0.219,0.0180
"US","Maryland","Harford",24025,255440,36324,540,14220.17,2114.00,0.0149,5,250,334,302,42.75,4799,60,0.132,0.110,0.0124,334,401,353,39.58,4685,102,0.129,0.189,0.0218,401,518,437,33.59,4239,64,0.117,0.119,0.0152,518,645,626,21.18,4070,55,0.112,0.102,0.0135,696,745,708,215.80,13650,168,0.376,0.312,0.0123
"US","Maryland","Howard",24027,325690,41172,342,12641.47,1050.08,0.0083,5,153,244,179,11.84,2543,41,0.062,0.119,0.0160,244,404,353,44.08,10875,99,0.264,0.289,0.0091,404,515,436,19.12,3515,35,0.085,0.101,0.0098,515,645,585,14.94,3338,23,0.081,0.068,0.0069,696,745,708,233.83,17368,55,0.422,0.161,0.0032
"US","Maryland","Kent",24029,19422,2912,64,14993.31,3295.23,0.0220,5,59,162,91,30.38,200,23,0.069,0.360,0.1152,255,405,353,60.65,819,19,0.281,0.291,0.0227,405,517,420,38.15,229,9,0.079,0.135,0.0377,539,646,625,31.46,365,5,0.125,0.078,0.0138,696,745,707,188.65,989,7,0.340,0.112,0.0072
"US","Maryland","Montgomery",24031,1050688,158838,1938,15117.52,1844.51,0.0122,5,56,170,117,22.63,15549,756,0.098,0.390,0.0486,170,220,188,9.84,4410,64,0.028,0.033,0.0146,220,514,354,46.68,51283,802,0.323,0.414,0.0156,514,645,585,14.55,11189,90,0.070,0.046,0.0081,696,745,713,284.15,72827,201,0.459,0.104,0.0028
"US","Maryland","Prince George's",24033,909327,162613,2028,17882.79,2230.22,0.0125,5,57,162,101,36.05,18747,685,0.115,0.338,0.0365,246,416,354,55.94,46336,530,0.285,0.262,0.0114,416,517,444,20.25,10426,243,0.064,0.120,0.0233,517,666,584,20.35,15705,150,0.097,0.074,0.0095,696,745,708,329.43,59961,270,0.369,0.133,0.0045
