Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Massachusetts","Barnstable",25001,212989,29470,578,13836.40,2713.76,0.0196,5,55,163,70,13.09,1548,147,0.053,0.255,0.0952,219,400,356,59.12,8353,233,0.283,0.403,0.0279,400,507,430,43.63,4002,73,0.136,0.127,0.0183,516,628,595,25.61,3211,42,0.109,0.072,0.0130,628,725,717,165.82,12368,69,0.420,0.119,0.0055
"US","Massachusetts","Berkshire",25003,124943,17146,352,13723.06,2817.28,0.0205,5,54,161,67,14.27,596,44,0.035,0.126,0.0743,216,400,352,55.91,4193,209,0.245,0.594,0.0499,400,496,430,29.09,1696,33,0.099,0.093,0.0192,514,608,585,23.59,1365,24,0.080,0.067,0.0173,608,725,719,217.86,9264,42,0.540,0.119,0.0045
"US","Massachusetts","Bristol",25005,565217,128606,2153,22753.38,3809.16,0.0167,5,57,168,95,31.61,8375,594,0.065,0.276,0.0709,217,413,353,115.88,47695,903,0.371,0.419,0.0189,413,517,432,33.07,10275,194,0.080,0.090,0.0189,517,638,606,34.52,13406,118,0.104,0.055,0.0088,638,725,718,288.32,48457,292,0.377,0.136,0.0060
"US","Massachusetts","Dukes and Nantucket",0,28731,5757,8,20037.59,278.44,0.0014,5,216,401,351,104.97,1925,1,0.334,0.134,0.0006,401,506,437,70.59,920,3,0.160,0.373,0.0032,524,628,573,70.48,784,2,0.136,0.253,0.0026,628,641,636,18.93,65,0,0.011,0.000,0.0000,641,725,717,285.16,1983,1,0.344,0.120,0.0005
"US","Massachusetts","Essex",25009,789033,182051,2834,23072.67,3591.74,0.0156,5,55,169,94,42.79,16374,1130,0.090,0.399,0.0690,215,412,352,107.89,67297,991,0.370,0.350,0.0147,412,519,442,31.21,13061,200,0.072,0.071,0.0153,519,626,601,25.80,12024,78,0.066,0.027,0.0065,626,725,716,310.09,72277,357,0.397,0.126,0.0049
"US","Massachusetts","Franklin",25011,70180,7478,139,10655.46,1980.62,0.0186,5,55,200,70,11.61,410,61,0.055,0.439,0.1489,235,405,325,40.18,1591,35,0.213,0.248,0.0217,405,507,430,14.85,595,12,0.080,0.088,0.0205,541,635,600,25.21,785,9,0.105,0.065,0.0115,635,725,718,200.38,4114,17,0.550,0.126,0.0042
"US","Massachusetts","Hampden",25013,466371,110632,1823,23721.89,3908.91,0.0165,5,57,204,93,29.05,7618,709,0.069,0.389,0.0930,215,412,353,92.61,35257,642,0.319,0.352,0.0182,412,518,445,38.41,9710,166,0.088,0.091,0.0171,518,640,602,47.19,12725,118,0.115,0.065,0.0093,640,725,717,368.30,45593,170,0.412,0.093,0.0037
"US","Massachusetts","Hampshire",25015,160830,20360,362,12659.33,2250.82,0.0178,5,58,155,95,13.08,950,109,0.047,0.300,0.1144,155,203,182,4.16,229,22,0.011,0.059,0.0942,216,507,381,51.21,8017,164,0.394,0.454,0.0205,532,639,601,45.92,2366,18,0.116,0.050,0.0076,639,725,719,209.40,8829,44,0.434,0.123,0.0050
"US","Massachusetts","Middlesex",25017,1611699,272475,4232,16906.07,2625.80,0.0155,5,55,168,92,33.31,24284,1896,0.089,0.448,0.0781,217,407,352,69.35,87701,1415,0.322,0.334,0.0161,407,515,442,26.13,22822,314,0.084,0.074,0.0137,515,625,601,18.67,19025,113,0.070,0.027,0.0060,625,725,717,274.04,118403,348,0.435,0.082,0.0029
"US","Massachusetts","Norfolk",25021,706775,111119,2005,15721.98,2836.83,0.0180,5,55,161,93,28.61,9187,931,0.083,0.464,0.1013,219,418,353,70.33,37931,662,0.341,0.330,0.0175,418,515,432,23.74,7727,130,0.070,0.065,0.0168,515,629,587,16.78,8056,52,0.072,0.026,0.0064,629,725,717,252.36,48197,155,0.434,0.077,0.0032
