Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Minnesota","Aitkin",27001,15886,2783,59,17518.57,3713.96,0.0212,5,104,142,131,3.34,12,0,0.004,0.000,0.0000,157,409,299,146.61,1178,33,0.423,0.560,0.0280,409,522,442,29.08,199,4,0.071,0.068,0.0201,540,705,681,79.44,1025,16,0.368,0.278,0.0160,705,745,736,101.16,372,6,0.134,0.099,0.0158
"US","Minnesota","Anoka",27003,356921,94462,745,26465.80,2087.30,0.0079,4,64,150,120,12.76,1852,98,0.020,0.131,0.0528,150,393,297,141.03,30898,285,0.327,0.382,0.0092,393,521,444,49.83,10128,80,0.107,0.107,0.0079,521,745,734,236.93,51652,286,0.547,0.384,0.0055,,,,,,,,,
"US","Minnesota","Becker",27005,34423,8112,86,23565.64,2498.33,0.0106,5,142,213,188,13.92,128,1,0.016,0.015,0.0097,213,400,304,160.79,2911,40,0.359,0.465,0.0137,400,523,444,48.19,793,15,0.098,0.173,0.0187,523,694,617,104.90,2622,22,0.323,0.253,0.0083,694,745,737,187.32,1632,9,0.201,0.103,0.0054
"US","Minnesota","Beltrami",27007,47188,10781,115,22846.91,2437.06,0.0107,5,111,218,184,15.39,302,1,0.028,0.009,0.0034,218,403,309,103.86,3064,50,0.284,0.433,0.0163,403,524,443,22.04,716,12,0.066,0.102,0.0164,524,695,621,109.10,4472,43,0.415,0.372,0.0096,695,745,736,188.33,2248,10,0.209,0.091,0.0046
"US","Minnesota","Benton",27009,40889,13159,162,32182.25,3961.95,0.0123,5,83,150,106,18.22,198,3,0.015,0.019,0.0153,150,385,300,184.33,4156,86,0.316,0.534,0.0208,385,514,438,58.82,1480,9,0.112,0.055,0.0060,528,693,683,125.78,3829,36,0.291,0.221,0.0093,693,745,737,299.71,3532,29,0.268,0.179,0.0082
"US","Minnesota","Big Stone",27011,4990,1300,8,26052.10,1603.21,0.0062,5,169,374,312,133.87,456,3,0.351,0.379,0.0066,374,420,384,38.68,59,1,0.045,0.126,0.0171,420,492,454,49.90,74,0,0.057,0.001,0.0001,532,688,650,116.83,368,2,0.283,0.244,0.0053,688,745,738,239.08,330,2,0.254,0.281,0.0068
"US","Minnesota","Blue Earth",27013,67653,16652,88,24613.84,1300.76,0.0053,5,190,254,222,41.57,980,3,0.059,0.033,0.0030,254,379,299,132.97,3827,27,0.230,0.308,0.0071,379,518,446,38.76,2049,10,0.123,0.118,0.0051,518,690,684,83.14,4437,29,0.266,0.332,0.0066,690,745,735,245.71,4636,16,0.278,0.176,0.0033
"US","Minnesota","Brown",27015,25008,6268,71,25063.98,2839.09,0.0113,5,117,198,171,8.20,77,0,0.012,0.002,0.0021,198,371,303,180.58,2113,32,0.337,0.456,0.0153,371,507,432,53.02,886,6,0.141,0.082,0.0065,546,691,650,79.05,1790,23,0.286,0.327,0.0130,691,745,735,220.09,1404,8,0.224,0.115,0.0058
"US","Minnesota","Carlton",27017,35871,8072,85,22502.86,2369.60,0.0105,5,65,139,94,5.97,78,0,0.010,0.000,0.0000,157,402,306,145.02,2913,47,0.361,0.553,0.0161,402,525,446,27.35,548,10,0.068,0.123,0.0190,525,697,680,91.19,2376,23,0.294,0.272,0.0097,697,745,740,274.09,2177,5,0.270,0.062,0.0024
"US","Minnesota","Carver",27019,105089,25239,102,24016.79,970.61,0.0040,5,135,232,187,14.13,991,4,0.039,0.043,0.0045,232,377,300,122.11,5969,33,0.236,0.325,0.0056,377,521,442,58.85,3514,9,0.139,0.088,0.0026,521,686,665,93.68,6613,26,0.262,0.254,0.0039,686,745,732,238.59,8037,29,0.318,0.284,0.0036
