Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Mississippi","Adams",28001,30693,4804,125,15651.78,4072.59,0.0260,5,128,253,184,39.55,764,23,0.159,0.184,0.0301,253,336,303,47.11,775,18,0.161,0.142,0.0230,336,427,354,55.88,691,25,0.144,0.203,0.0366,427,512,474,82.76,661,6,0.137,0.044,0.0083,512,660,568,83.11,1606,39,0.334,0.313,0.0244
"US","Mississippi","Alcorn",28003,36952,6031,108,16321.17,2922.71,0.0179,5,110,249,185,43.62,807,10,0.134,0.093,0.0124,249,419,352,78.02,2130,52,0.353,0.482,0.0244,419,487,460,19.59,214,8,0.035,0.073,0.0370,487,653,574,123.00,2587,32,0.429,0.299,0.0125,653,690,685,36.72,298,5,0.049,0.048,0.0173
"US","Mississippi","Amite",28005,12296,2114,57,17192.58,4635.65,0.0270,5,133,226,184,41.48,218,6,0.103,0.113,0.0296,226,276,265,41.31,143,6,0.068,0.100,0.0398,276,408,321,113.78,700,22,0.331,0.382,0.0311,408,470,417,26.92,109,7,0.051,0.131,0.0687,497,690,585,125.08,863,15,0.408,0.264,0.0174
"US","Mississippi","Attala",28007,18174,3436,90,18906.13,4952.13,0.0262,5,55,150,105,51.23,336,23,0.098,0.256,0.0686,150,227,185,35.55,262,2,0.076,0.023,0.0077,227,466,315,103.55,1547,48,0.450,0.534,0.0310,493,656,570,170.68,1210,17,0.352,0.190,0.0141,656,690,683,24.05,80,0,0.023,0.000,0.0000
"US","Mississippi","Benton",28009,8259,1541,39,18658.43,4722.12,0.0253,5,133,230,190,50.49,189,1,0.122,0.026,0.0054,230,306,276,70.59,281,16,0.182,0.412,0.0573,306,446,351,117.69,493,8,0.320,0.208,0.0165,446,513,481,25.31,51,0,0.033,0.000,0.0000,513,680,570,100.01,508,14,0.330,0.359,0.0276
"US","Mississippi","Bolivar",28011,30628,6514,151,21268.12,4930.13,0.0232,5,55,111,73,13.94,121,9,0.019,0.060,0.0753,111,264,187,94.62,1829,66,0.281,0.437,0.0361,264,475,352,129.78,2857,58,0.439,0.381,0.0201,475,671,587,85.31,1635,19,0.251,0.126,0.0117,676,690,686,18.74,70,0,0.011,0.000,0.0000
"US","Mississippi","Calhoun",28013,14360,2907,51,20243.73,3551.53,0.0175,5,118,233,181,100.14,438,8,0.151,0.151,0.0176,233,429,337,113.86,1122,18,0.386,0.360,0.0164,429,513,450,23.47,124,2,0.043,0.044,0.0181,513,658,574,160.45,1084,17,0.373,0.334,0.0157,658,690,684,33.84,84,2,0.029,0.041,0.0250
"US","Mississippi","Carroll",28015,9947,1772,41,17814.42,4121.85,0.0231,5,62,136,101,79.52,119,11,0.067,0.270,0.0927,136,227,177,44.23,177,1,0.100,0.024,0.0056,227,493,267,136.83,928,18,0.523,0.442,0.0195,522,659,573,99.53,490,10,0.277,0.249,0.0208,659,690,671,23.73,60,1,0.034,0.023,0.0160
"US","Mississippi","Chickasaw",28017,17103,3249,68,18996.67,3975.91,0.0209,5,54,119,112,17.66,119,12,0.037,0.174,0.0997,119,230,157,41.40,494,11,0.152,0.162,0.0223,230,431,331,117.41,1425,33,0.439,0.484,0.0231,502,648,585,93.49,935,8,0.288,0.118,0.0086,648,690,686,47.83,217,1,0.067,0.014,0.0044
"US","Mississippi","Choctaw",28019,8210,1385,27,16869.67,3288.67,0.0195,5,98,151,129,23.51,56,2,0.041,0.057,0.0276,155,252,188,32.76,118,3,0.085,0.109,0.0249,252,429,313,83.07,536,10,0.387,0.373,0.0188,429,516,489,23.14,70,2,0.050,0.075,0.0290,516,663,588,155.30,567,9,0.409,0.337,0.0160
"US","Mississippi","Claiborne",28021,8988,1351,39,15031.15,4339.12,0.0289,5,63,224,156,88.67,440,16,0.326,0.411,0.0364,224,292,259,58.97,114,0,0.084,0.001,0.0003,292,506,353,122.16,478,14,0.353,0.361,0.0295,506,677,571,81.55,315,9,0.233,0.218,0.0271,677,690,680,7.90,8,1,0.006,0.017,0.0833
"US","Mississippi","Clarke",28023,15541,3025,95,19464.64,6112.86,0.0314,5,62,144,118,22.59,166,21,0.055,0.221,0.1266,144,230,221,41.63,328,12,0.108,0.129,0.0373,230,285,245,50.32,304,20,0.101,0.215,0.0672,285,459,368,86.22,992,25,0.328,0.268,0.0257,516,690,574,207.97,1236,15,0.409,0.159,0.0122
