Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Nebraska","Adams",31001,31363,4550,46,14507.54,1466.70,0.0101
"US","Nebraska","Antelope",31003,6297,798,7,12672.70,1111.64,0.0088
"US","Nebraska","Arthur",31005,462,25,1,5411.26,2164.50,0.0400
"US","Nebraska","Banner",31007,745,70,0,9395.97,0.00,0.0000
"US","Nebraska","Blaine",31009,465,45,0,9677.42,0.00,0.0000
"US","Nebraska","Boone",31011,5192,821,4,15812.79,770.42,0.0049
"US","Nebraska","Box Butte",31013,10783,1679,8,15570.81,741.91,0.0048
"US","Nebraska","Boyd",31015,1919,289,3,15059.93,1563.31,0.0104
"US","Nebraska","Brown",31017,2955,403,2,13637.90,676.82,0.0050
"US","Nebraska","Buffalo",31019,49659,8632,57,17382.55,1147.83,0.0066
"US","Nebraska","Burt",31021,6459,917,12,14197.24,1857.87,0.0131
"US","Nebraska","Butler",31023,8016,1302,11,16242.51,1372.26,0.0084
"US","Nebraska","Cass",31025,26248,3976,16,15147.82,609.57,0.0040
"US","Nebraska","Cedar",31027,8402,1063,11,12651.75,1309.21,0.0103
"US","Nebraska","Chase",31029,3924,633,5,16131.50,1274.21,0.0079
"US","Nebraska","Cherry",31031,5689,435,6,7646.34,1054.67,0.0138
"US","Nebraska","Cheyenne",31033,8910,1449,16,16262.63,1795.74,0.0110
"US","Nebraska","Clay",31035,6202,1077,11,17365.37,1773.62,0.0102
"US","Nebraska","Colfax",31037,10709,1955,21,18255.67,1960.97,0.0107
"US","Nebraska","Cuming",31039,8846,1402,15,15848.97,1695.68,0.0107
"US","Nebraska","Custer",31041,10777,1543,19,14317.53,1763.01,0.0123
"US","Nebraska","Dakota",31043,20026,4991,65,24922.60,3245.78,0.0130
"US","Nebraska","Dawes",31045,8589,1132,12,13179.65,1397.14,0.0106
"US","Nebraska","Dawson",31047,23595,4143,31,17558.80,1313.84,0.0075
"US","Nebraska","Deuel",31049,1794,238,1,13266.44,557.41,0.0042
"US","Nebraska","Dixon",31051,5636,852,9,15117.10,1596.88,0.0106
"US","Nebraska","Dodge",31053,36565,6904,62,18881.44,1695.61,0.0090
"US","Nebraska","Douglas",31055,571327,95228,718,16667.86,1256.72,0.0075
"US","Nebraska","Dundy",31057,1693,266,4,15711.75,2362.67,0.0150
"US","Nebraska","Fillmore",31059,5461,757,8,13861.93,1464.93,0.0106
"US","Nebraska","Franklin",31061,2978,344,4,11551.38,1343.18,0.0116
"US","Nebraska","Frontier",31063,2627,425,1,16178.15,380.66,0.0024
"US","Nebraska","Furnas",31065,4676,796,5,17023.10,1069.29,0.0063
"US","Nebraska","Gage",31067,21512,2716,19,12625.51,883.23,0.0070
"US","Nebraska","Garden",31069,1837,253,1,13772.46,544.37,0.0040
"US","Nebraska","Garfield",31071,1969,304,1,15439.31,507.87,0.0033
"US","Nebraska","Gosper",31073,1989,272,5,13675.21,2513.83,0.0184
"US","Nebraska","Grant",31075,623,84,4,13483.15,6420.55,0.0476
"US","Nebraska","Greeley",31077,2356,308,1,13073.01,424.45,0.0032
"US","Nebraska","Hall",31079,61352,10905,117,17774.48,1907.03,0.0107
"US","Nebraska","Hamilton",31081,9324,1489,17,15969.54,1823.25,0.0114
"US","Nebraska","Harlan",31083,3380,323,0,9556.21,0.00,0.0000
"US","Nebraska","Hayes",31085,922,89,0,9652.93,0.00,0.0000
"US","Nebraska","Hitchcock",31087,2761,429,5,15537.85,1810.94,0.0117
"US","Nebraska","Holt",31089,10067,1484,16,14741.23,1589.35,0.0108
"US","Nebraska","Hooker",31091,682,94,2,13782.99,2932.55,0.0213
"US","Nebraska","Howard",31093,6445,809,10,12552.37,1551.59,0.0124
"US","Nebraska","Jefferson",31095,7046,959,1,13610.56,141.92,0.0010
"US","Nebraska","Johnson",31097,5071,748,9,14750.54,1774.80,0.0120
"US","Nebraska","Kearney",31099,6494,931,5,14336.31,769.94,0.0054
"US","Nebraska","Keith",31101,8034,1103,10,13729.15,1244.71,0.0091
"US","Nebraska","Keya Paha",31103,805,99,0,12298.14,0.00,0.0000
"US","Nebraska","Kimball",31105,3632,599,1,16492.29,275.33,0.0017
"US","Nebraska","Knox",31107,8332,1232,12,14786.37,1440.23,0.0097
"US","Nebraska","Lancaster",31109,319090,47104,170,14761.98,532.77,0.0036
"US","Nebraska","Lincoln",31111,34914,6070,60,17385.58,1718.51,0.0099
"US","Nebraska","Logan",31113,748,112,0,14973.26,0.00,0.0000
"US","Nebraska","Loup",31115,664,69,0,10391.57,0.00,0.0000
"US","Nebraska","Madison",31119,35098,6729,44,19172.03,1253.63,0.0065
"US","Nebraska","McPherson",31117,494,56,1,11336.03,2024.29,0.0179
"US","Nebraska","Merrick",31121,7755,1226,15,15809.16,1934.24,0.0122
"US","Nebraska","Morrill",31123,4642,939,7,20228.35,1507.97,0.0075
"US","Nebraska","Nance",31125,3519,592,10,16822.96,2841.72,0.0169
"US","Nebraska","Nemaha",31127,6972,1046,15,15002.87,2151.46,0.0143
"US","Nebraska","Nuckolls",31129,4148,703,11,16947.93,2651.88,0.0156
"US","Nebraska","Otoe",31131,16012,2271,10,14183.11,624.53,0.0044
"US","Nebraska","Pawnee",31133,2613,307,1,11748.95,382.70,0.0033
"US","Nebraska","Perkins",31135,2891,408,10,14112.76,3459.01,0.0245
"US","Nebraska","Phelps",31137,9034,1626,10,17998.67,1106.93,0.0062
"US","Nebraska","Pierce",31139,7148,952,20,13318.41,2797.99,0.0210
"US","Nebraska","Platte",31141,33470,6008,50,17950.40,1493.88,0.0083
"US","Nebraska","Polk",31143,5213,851,9,16324.57,1726.45,0.0106
"US","Nebraska","Red Willow",31145,10724,1866,15,17400.22,1398.73,0.0080
"US","Nebraska","Richardson",31147,7865,1120,19,14240.31,2415.77,0.0170
"US","Nebraska","Rock",31149,1356,158,2,11651.92,1474.93,0.0127
"US","Nebraska","Saline",31151,14224,2706,2,19024.18,140.61,0.0007
"US","Nebraska","Sarpy",31153,187195,31632,131,16897.89,699.81,0.0041
"US","Nebraska","Saunders",31155,21577,3576,16,16573.20,741.53,0.0045
"US","Nebraska","Scotts Bluff",31157,35618,6498,48,18243.58,1347.63,0.0074
