Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","New Hampshire","Belknap",33001,61302,8078,135,13177.38,2202.21,0.0167,5,100,155,135,1.81,43,1,0.005,0.007,0.0233,155,209,194,2.02,42,3,0.005,0.022,0.0716,228,409,330,71.89,3033,89,0.375,0.657,0.0292,409,520,448,38.07,1012,8,0.125,0.057,0.0076,520,685,679,93.63,3915,36,0.485,0.264,0.0091
"US","New Hampshire","Carroll",33003,48909,5280,23,10795.56,470.26,0.0044,5,55,87,77,2.70,29,0,0.006,0.000,0.0000,147,224,185,2.58,57,1,0.011,0.044,0.0178,241,406,362,45.98,1617,4,0.306,0.177,0.0025,406,520,440,28.73,758,7,0.143,0.309,0.0094,520,685,680,91.54,2797,10,0.530,0.440,0.0036
"US","New Hampshire","Cheshire",33005,76085,7562,60,9938.88,788.59,0.0079,5,65,100,83,2.00,38,1,0.005,0.022,0.0348,142,178,159,0.99,20,0,0.003,0.000,0.0000,184,235,216,2.54,60,1,0.008,0.017,0.0168,244,523,356,58.01,3755,32,0.497,0.535,0.0085,523,685,685,108.16,3665,25,0.485,0.416,0.0068
"US","New Hampshire","Coos",33007,31563,4274,75,13541.17,2376.20,0.0175,5,160,187,180,1.36,9,0,0.002,0.000,0.0000,218,227,222,0.86,2,0,0.001,0.000,0.0000,260,409,363,66.15,1331,36,0.312,0.481,0.0271,409,522,456,78.13,710,6,0.166,0.087,0.0091,522,685,630,111.17,2217,33,0.519,0.441,0.0149
"US","New Hampshire","Grafton",33009,89885,8141,39,9057.13,433.89,0.0048,5,54,79,62,2.99,42,0,0.005,0.000,0.0000,103,131,120,1.13,23,1,0.003,0.022,0.0371,214,422,365,37.63,2816,18,0.346,0.465,0.0064,422,508,445,30.39,1155,7,0.142,0.179,0.0060,521,685,679,83.99,4068,12,0.500,0.303,0.0029
"US","New Hampshire","Hillsborough",33011,417025,56722,726,13601.58,1740.90,0.0128,4,58,216,129,11.75,3987,284,0.070,0.391,0.0713,216,408,323,73.52,24862,299,0.438,0.412,0.0120,408,522,438,32.17,7606,65,0.134,0.089,0.0085,522,685,685,95.38,20339,80,0.359,0.110,0.0039,,,,,,,,,
"US","New Hampshire","Merrimack",33013,151391,17657,152,11663.18,1004.02,0.0086,4,60,189,99,5.71,451,21,0.026,0.138,0.0464,189,407,326,74.36,7071,85,0.400,0.557,0.0120,407,520,439,26.06,2175,11,0.123,0.072,0.0051,520,685,685,101.39,7981,37,0.452,0.240,0.0046,,,,,,,,,
"US","New Hampshire","Rockingham",33015,309768,38065,347,12288.23,1120.19,0.0091,4,56,165,100,9.89,1490,91,0.039,0.261,0.0609,165,407,324,72.18,17183,119,0.451,0.344,0.0069,407,519,441,34.65,5748,57,0.151,0.164,0.0099,519,685,685,86.02,13706,82,0.360,0.237,0.0060,,,,,,,,,
"US","New Hampshire","Strafford",33017,130633,16752,144,12823.71,1102.32,0.0086,5,59,136,88,4.67,274,13,0.016,0.090,0.0474,148,157,153,0.76,9,0,0.001,0.000,0.0000,166,414,348,60.68,7007,63,0.418,0.437,0.0090,414,529,444,44.34,2821,22,0.168,0.151,0.0077,529,685,685,102.18,6655,47,0.397,0.326,0.0071
"US","New Hampshire","Sullivan",33019,43146,5218,40,12093.82,927.08,0.0077,5,124,144,140,1.27,7,0,0.001,0.000,0.0000,151,166,157,2.11,10,0,0.002,0.000,0.0000,238,417,357,57.90,1326,21,0.254,0.525,0.0158,417,534,449,18.36,517,4,0.099,0.108,0.0084,534,685,685,150.00,3329,14,0.638,0.351,0.0042
"US","New Hampshire","Unassigned",90033,-1,2016,11,0.00,0.00,0.0055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","New Hampshire","Nashua",0,-1,0,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
