Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","New Jersey","Atlantic",34001,263670,66860,932,25357.45,3534.72,0.0139,5,60,218,98,21.90,3863,251,0.058,0.270,0.0651,218,408,358,91.05,21411,326,0.320,0.350,0.0152,408,510,428,48.94,6417,113,0.096,0.121,0.0176,510,649,602,45.78,8081,87,0.121,0.093,0.0108,649,745,716,316.84,27238,158,0.407,0.170,0.0058
"US","New Jersey","Bergen",34003,932201,214577,3341,23018.32,3583.99,0.0156,5,53,172,74,62.25,20043,2025,0.093,0.606,0.1010,225,394,357,57.12,52034,543,0.242,0.163,0.0104,394,512,431,54.81,30880,306,0.144,0.092,0.0099,512,641,599,19.55,14692,108,0.068,0.032,0.0074,641,745,714,336.01,95363,356,0.444,0.106,0.0037
"US","New Jersey","Burlington",34005,445348,98532,1113,22124.72,2499.17,0.0113,5,56,162,95,23.29,5228,428,0.053,0.384,0.0818,209,404,355,66.34,29224,269,0.297,0.241,0.0092,404,475,434,41.92,8684,96,0.088,0.087,0.0111,501,637,583,28.96,9817,83,0.100,0.074,0.0084,637,745,716,299.89,44611,174,0.453,0.156,0.0039
"US","New Jersey","Camden",34007,506470,122067,1704,24101.53,3364.46,0.0140,5,56,162,102,26.58,7421,503,0.061,0.295,0.0678,222,404,318,78.27,34997,565,0.287,0.331,0.0161,404,517,436,38.93,11699,178,0.096,0.105,0.0152,517,643,605,33.34,12025,111,0.099,0.065,0.0093,643,745,716,354.15,54304,268,0.445,0.157,0.0049
"US","New Jersey","Cape May",34009,92039,21339,279,23184.74,3031.32,0.0131,5,59,147,107,15.73,728,61,0.034,0.218,0.0835,242,338,302,60.53,2961,36,0.139,0.129,0.0121,338,519,360,61.84,4973,78,0.233,0.280,0.0157,519,650,582,52.10,3424,32,0.160,0.116,0.0094,650,745,710,244.23,8665,39,0.406,0.138,0.0045
"US","New Jersey","Cumberland",34011,149527,37412,564,25020.23,3771.89,0.0151,5,61,179,107,38.49,3106,153,0.083,0.272,0.0494,238,434,366,82.01,11598,245,0.310,0.435,0.0212,524,648,605,36.84,3822,39,0.102,0.069,0.0102,648,728,719,311.42,12849,67,0.343,0.119,0.0052,728,745,728,254.21,3923,19,0.105,0.034,0.0048
"US","New Jersey","Essex",34013,798974,206337,3489,25825.25,4366.85,0.0169,5,54,173,77,58.50,19143,2074,0.093,0.594,0.1084,220,337,319,61.52,28028,240,0.136,0.069,0.0086,337,399,357,62.77,24346,311,0.118,0.089,0.0128,399,457,433,57.11,21346,212,0.103,0.061,0.0099,639,745,710,458.89,100543,346,0.487,0.099,0.0034
"US","New Jersey","Gloucester",34015,291635,67744,891,23229.04,3055.19,0.0132,5,57,155,97,17.17,2527,177,0.037,0.198,0.0699,155,405,352,73.30,21780,370,0.321,0.416,0.0170,405,516,447,39.34,6430,100,0.095,0.112,0.0155,516,642,604,38.46,7499,81,0.111,0.091,0.0109,642,745,716,298.64,29663,168,0.438,0.188,0.0057
"US","New Jersey","Hudson",34017,672391,165192,2644,24567.85,3932.24,0.0160,5,54,124,77,72.49,18855,1142,0.114,0.432,0.0606,222,397,356,74.33,46989,470,0.284,0.178,0.0100,397,514,429,56.96,21115,324,0.128,0.123,0.0153,514,640,598,17.44,8859,89,0.054,0.034,0.0100,640,745,717,355.40,68124,260,0.412,0.098,0.0038
"US","New Jersey","Hunterdon",34019,124370,23632,255,19001.37,2050.33,0.0108,5,55,169,117,16.45,1095,125,0.046,0.489,0.1139,169,397,356,57.62,5618,32,0.238,0.127,0.0058,397,513,433,50.93,3162,20,0.134,0.077,0.0062,513,635,629,21.03,1998,14,0.085,0.057,0.0072,635,745,716,302.07,11821,65,0.500,0.255,0.0055
"US","New Jersey","Mercer",34021,367430,73141,1200,19906.10,3265.93,0.0164,5,55,220,100,41.62,8340,627,0.114,0.522,0.0752,220,408,303,57.75,19901,258,0.272,0.215,0.0129,408,519,431,31.39,6017,76,0.082,0.063,0.0126,519,635,605,18.73,4849,44,0.066,0.037,0.0091,635,745,716,300.18,34188,199,0.467,0.166,0.0058
"US","New Jersey","Middlesex",34023,825062,185047,2783,22428.25,3373.08,0.0150,5,54,166,77,46.33,16980,1341,0.092,0.482,0.0790,207,403,355,71.80,54401,684,0.294,0.246,0.0126,403,459,430,48.62,18555,191,0.100,0.069,0.0103,515,641,599,23.78,13339,95,0.072,0.034,0.0072,641,745,714,313.26,79258,324,0.428,0.116,0.0041
"US","New Jersey","Monmouth",34025,618795,158907,2051,25680.07,3314.51,0.0129,5,53,166,75,36.41,9362,822,0.059,0.401,0.0878,206,396,354,83.85,44320,519,0.279,0.253,0.0117,396,504,428,62.15,20957,254,0.132,0.124,0.0121,504,636,597,31.88,15668,103,0.099,0.050,0.0066,636,745,715,333.37,67763,325,0.426,0.158,0.0048
"US","New Jersey","Morris",34027,491845,114191,1469,23216.87,2986.71,0.0129,5,53,160,75,39.70,6782,790,0.059,0.538,0.1165,212,398,371,60.81,29151,284,0.255,0.193,0.0097,398,513,418,53.86,13754,127,0.120,0.087,0.0092,513,635,589,19.92,7135,60,0.062,0.041,0.0084,635,745,715,375.11,56850,171,0.498,0.117,0.0030
"US","New Jersey","Ocean",34029,607186,157357,2784,25915.78,4585.09,0.0177,5,54,166,74,35.50,9774,977,0.062,0.351,0.1000,166,406,357,82.12,49749,902,0.316,0.324,0.0181,406,505,429,56.88,16738,292,0.106,0.105,0.0174,505,645,607,40.21,19305,192,0.123,0.069,0.0099,645,745,715,300.98,62292,435,0.396,0.156,0.0070
"US","New Jersey","Passaic",34031,501825,140502,2255,27998.21,4493.60,0.0160,5,54,167,93,79.20,17052,1203,0.121,0.534,0.0706,225,397,316,88.70,37220,420,0.265,0.186,0.0113,397,519,433,59.74,17690,270,0.126,0.120,0.0153,519,640,604,22.18,8011,76,0.057,0.034,0.0095,640,745,714,421.85,59240,248,0.422,0.110,0.0042
"US","New Jersey","Salem",34033,62385,13929,235,22327.48,3766.93,0.0169,5,61,179,103,27.06,833,80,0.060,0.340,0.0958,221,401,351,85.74,3674,75,0.264,0.319,0.0204,401,505,451,39.90,1446,22,0.104,0.094,0.0153,514,645,630,39.45,1748,19,0.125,0.083,0.0111,645,745,719,251.36,6111,30,0.439,0.129,0.0050
"US","New Jersey","Somerset",34035,328934,65210,948,19824.65,2882.04,0.0145,5,54,160,78,36.13,4919,523,0.075,0.552,0.1063,199,396,357,52.63,16746,216,0.257,0.228,0.0129,396,510,431,44.61,8098,70,0.124,0.074,0.0087,510,640,602,18.63,4615,30,0.071,0.032,0.0065,640,745,713,314.33,30512,73,0.468,0.077,0.0024
"US","New Jersey","Sussex",34037,140488,32842,438,23377.09,3117.70,0.0133,5,55,151,77,20.91,1211,187,0.037,0.427,0.1543,212,394,356,76.66,7357,71,0.224,0.162,0.0096,394,520,432,77.91,5400,39,0.164,0.088,0.0072,520,635,624,32.45,2831,21,0.086,0.048,0.0074,635,745,714,329.79,15958,111,0.486,0.254,0.0070
"US","New Jersey","Unassigned",90034,-1,3475,0,0.00,0.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","New Jersey","Union",34039,556341,138355,2243,24868.74,4031.70,0.0162,5,54,145,85,77.19,16370,1124,0.118,0.501,0.0687,186,397,356,68.28,38940,398,0.281,0.177,0.0102,397,513,433,49.90,16299,233,0.118,0.104,0.0143,513,638,602,19.79,7748,69,0.056,0.031,0.0090,638,745,712,383.18,58994,203,0.426,0.091,0.0034
"US","New Jersey","Warren",34041,105267,23126,321,21968.90,3049.39,0.0139,5,55,158,90,27.65,1235,155,0.053,0.483,0.1255,220,395,355,62.64,5366,41,0.232,0.129,0.0077,395,521,423,49.23,3281,26,0.142,0.080,0.0078,521,633,597,28.82,1854,16,0.080,0.050,0.0086,633,745,715,303.08,11276,68,0.488,0.211,0.0060
