Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","New Mexico","Bernalillo",35001,679121,114434,1417,16850.31,2086.52,0.0124,5,125,224,177,14.42,4503,91,0.039,0.064,0.0201,224,437,304,107.32,49085,747,0.429,0.527,0.0152,437,513,465,11.67,4024,56,0.035,0.039,0.0139,513,609,581,29.11,10908,90,0.095,0.064,0.0083,609,725,720,171.27,44833,372,0.392,0.262,0.0083
"US","New Mexico","Catron",35003,3526,324,11,9188.88,3119.68,0.0340,5,272,403,302,58.14,74,4,0.228,0.364,0.0540,422,502,447,10.49,13,0,0.040,0.000,0.0000,539,593,588,32.05,34,1,0.106,0.113,0.0360,593,686,630,153.43,138,2,0.427,0.169,0.0134,686,725,722,75.44,56,3,0.172,0.275,0.0543
"US","New Mexico","Chaves",35005,64615,17504,252,27089.69,3900.02,0.0144,5,101,135,124,1.98,27,1,0.002,0.004,0.0370,137,428,303,172.64,8667,161,0.495,0.640,0.0186,428,515,461,11.65,348,7,0.020,0.026,0.0189,515,639,587,93.04,3505,30,0.200,0.119,0.0085,639,725,722,307.41,4964,54,0.284,0.215,0.0109
"US","New Mexico","Cibola",35006,26674,5102,162,19127.24,6073.33,0.0318,5,61,149,101,14.13,191,10,0.038,0.065,0.0547,149,228,191,20.96,209,10,0.041,0.062,0.0480,228,498,304,202.67,2497,105,0.489,0.645,0.0419,508,679,629,71.31,1227,24,0.240,0.146,0.0193,679,725,721,202.37,995,14,0.195,0.085,0.0138
"US","New Mexico","Colfax",35007,11941,1959,55,16405.66,4605.98,0.0281,5,254,427,321,111.21,682,45,0.348,0.819,0.0661,427,517,451,12.14,81,-1,0.041,-0.013,-0.0089,530,617,587,62.31,352,0,0.180,0.000,0.0000,617,687,658,101.00,498,6,0.254,0.109,0.0121,687,725,722,150.07,320,3,0.163,0.055,0.0095
"US","New Mexico","Curry",35009,48954,9975,146,20376.27,2982.39,0.0146,5,92,223,189,27.35,669,4,0.067,0.029,0.0063,223,439,303,141.19,4371,69,0.438,0.469,0.0157,439,508,473,14.46,227,12,0.023,0.080,0.0518,508,637,584,83.96,2007,31,0.201,0.215,0.0156,637,725,721,147.71,2710,31,0.272,0.215,0.0116
"US","New Mexico","De Baca",35011,1748,464,3,26544.62,1716.25,0.0065,5,274,415,318,155.61,132,1,0.283,0.283,0.0065,415,524,479,86.96,46,1,0.098,0.417,0.0274,549,605,565,84.67,39,1,0.084,0.337,0.0258,605,689,686,228.83,149,0,0.321,0.000,0.0000,689,725,722,269.45,102,0,0.219,0.000,0.0000
"US","New Mexico","Dona Ana",35013,218195,47197,636,21630.65,2914.82,0.0135,5,59,222,172,19.18,2842,43,0.060,0.067,0.0151,222,508,302,133.04,22162,446,0.470,0.702,0.0201,508,610,587,29.36,3293,29,0.070,0.046,0.0088,610,686,680,107.34,9798,47,0.208,0.074,0.0048,686,725,721,234.25,9356,73,0.198,0.114,0.0078
"US","New Mexico","Eddy",35015,58460,13670,238,23383.51,4071.16,0.0174,5,63,68,65,0.70,2,0,0.000,0.002,0.2203,78,94,89,0.79,6,0,0.000,0.000,0.0000,122,501,304,103.61,6875,139,0.503,0.584,0.0202,501,646,573,108.28,4045,63,0.296,0.264,0.0155,646,725,721,136.06,2757,36,0.202,0.152,0.0131
"US","New Mexico","Grant",35017,26998,5081,70,18819.91,2592.78,0.0138,5,69,92,80,3.26,13,0,0.003,0.000,0.0000,151,208,175,8.48,56,2,0.011,0.029,0.0359,208,520,351,68.52,1677,39,0.330,0.558,0.0233,520,686,658,151.09,2139,15,0.421,0.216,0.0071,686,725,716,180.53,1209,14,0.238,0.204,0.0118
