Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Oklahoma","Adair",40001,22194,5022,62,22627.74,2793.55,0.0123,5,59,128,89,11.90,85,3,0.017,0.050,0.0363,128,232,186,41.72,430,7,0.086,0.112,0.0162,232,449,354,196.67,2649,28,0.527,0.452,0.0106,449,481,464,4.46,23,3,0.005,0.051,0.1368,481,685,582,125.57,1841,21,0.367,0.339,0.0114
"US","Oklahoma","Alfalfa",40003,5702,1378,8,24166.96,1403.02,0.0058,5,180,192,187,4.91,2,0,0.002,0.000,0.0000,199,454,327,539.64,1153,7,0.837,0.875,0.0061,551,618,575,40.86,107,0,0.078,0.000,0.0000,618,668,664,49.81,91,2,0.066,0.247,0.0217,668,685,668,44.55,28,0,0.020,0.000,0.0000
"US","Oklahoma","Atoka",40005,13758,2819,35,20489.90,2543.97,0.0124,5,122,258,236,68.11,335,1,0.119,0.029,0.0030,258,476,301,152.28,1541,24,0.546,0.687,0.0156,479,487,482,0.80,1,0,0.000,0.007,0.2892,490,508,497,3.34,5,1,0.002,0.023,0.1636,512,685,588,137.67,941,8,0.334,0.242,0.0090
"US","Oklahoma","Beaver",40007,5311,612,9,11523.25,1694.60,0.0147,5,87,126,100,25.23,23,0,0.038,0.000,0.0000,129,149,139,10.54,6,0,0.010,0.000,0.0000,175,468,311,106.95,442,6,0.722,0.667,0.0136,559,654,636,37.28,99,3,0.161,0.336,0.0306,654,685,666,34.27,38,0,0.063,0.000,0.0000
"US","Oklahoma","Beckham",40009,21858,3834,75,17540.49,3431.24,0.0196,5,83,104,94,1.56,4,0,0.001,0.000,0.0000,163,283,248,129.47,928,12,0.242,0.154,0.0125,283,481,355,111.68,1967,44,0.513,0.592,0.0226,533,637,631,49.46,515,11,0.134,0.148,0.0216,637,685,663,52.89,426,7,0.111,0.095,0.0168
"US","Oklahoma","Blaine",40011,9429,1617,30,17149.22,3181.67,0.0186,5,98,433,314,110.62,1014,9,0.627,0.288,0.0085,433,493,448,16.97,32,11,0.020,0.383,0.3582,506,644,601,102.03,452,8,0.279,0.253,0.0168,644,684,662,54.41,119,3,0.074,0.086,0.0215,684,685,684,13.36,2,0,0.001,0.000,0.0000
"US","Oklahoma","Bryan",40013,47994,9212,108,19194.07,2250.28,0.0117,5,94,207,186,25.82,500,1,0.054,0.010,0.0021,207,311,295,105.45,2273,17,0.247,0.160,0.0076,311,484,350,117.22,3372,54,0.366,0.498,0.0160,484,499,484,2.44,11,6,0.001,0.054,0.5052,503,685,602,69.01,3086,30,0.335,0.278,0.0097
"US","Oklahoma","Caddo",40015,28762,5345,132,18583.55,4589.39,0.0247,5,65,148,84,16.41,178,10,0.033,0.076,0.0562,148,217,188,39.71,349,10,0.065,0.076,0.0288,217,474,314,140.92,3449,68,0.645,0.516,0.0197,491,673,574,60.74,1317,39,0.246,0.297,0.0298,673,685,678,19.68,58,0,0.011,0.000,0.0000
"US","Oklahoma","Canadian",40017,148305,24144,295,16279.96,1989.14,0.0122,5,60,114,77,2.06,114,3,0.005,0.010,0.0262,114,212,188,21.61,1272,6,0.053,0.022,0.0050,212,436,349,108.69,15046,102,0.623,0.344,0.0068,436,514,448,25.77,1009,77,0.042,0.262,0.0767,514,685,594,53.66,6733,110,0.279,0.372,0.0163
"US","Oklahoma","Carter",40019,48111,9334,193,19400.97,4011.56,0.0207,3,99,217,167,14.82,395,5,0.042,0.027,0.0133,217,482,353,249.61,5742,105,0.615,0.543,0.0183,482,685,588,89.13,3199,83,0.343,0.429,0.0259,,,,,,,,,,,,,,,,,,
