Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Pennsylvania","Adams",42001,103009,24018,337,23316.41,3271.56,0.0140,5,58,150,93,5.00,311,11,0.013,0.032,0.0352,150,405,333,87.87,7024,140,0.292,0.416,0.0200,405,521,433,38.18,2408,38,0.100,0.113,0.0157,521,650,601,53.18,3843,39,0.160,0.115,0.0100,650,745,721,208.33,10497,111,0.437,0.330,0.0106
"US","Pennsylvania","Allegheny",42003,1216045,254809,3056,20953.91,2513.06,0.0120,5,57,122,73,3.83,1710,154,0.007,0.050,0.0902,122,229,173,15.95,9127,174,0.036,0.057,0.0190,229,399,325,79.80,64993,1376,0.255,0.450,0.0212,399,520,447,41.23,26993,315,0.106,0.103,0.0117,520,745,717,272.48,152330,1046,0.598,0.342,0.0069
"US","Pennsylvania","Armstrong",42005,64735,14745,308,22777.48,4757.86,0.0209,5,231,406,333,88.31,4562,104,0.309,0.338,0.0228,406,518,450,32.89,1126,32,0.076,0.104,0.0285,538,641,623,82.74,2712,47,0.184,0.154,0.0174,641,728,722,172.27,5031,98,0.341,0.317,0.0194,728,745,728,138.87,1076,17,0.073,0.056,0.0161
"US","Pennsylvania","Beaver",42007,163929,38500,685,23485.78,4178.64,0.0178,5,134,245,182,13.40,1264,45,0.033,0.066,0.0359,245,413,326,108.56,10721,234,0.278,0.341,0.0218,413,522,446,37.11,3095,37,0.080,0.054,0.0119,522,635,609,62.13,5881,69,0.153,0.101,0.0117,635,745,723,197.21,17077,230,0.444,0.335,0.0135
"US","Pennsylvania","Bedford",42009,47888,10553,256,22036.84,5345.81,0.0243,5,112,192,184,4.61,99,3,0.009,0.012,0.0299,192,410,323,137.53,3731,125,0.354,0.489,0.0335,410,532,453,35.79,920,13,0.087,0.051,0.0142,532,649,606,85.49,2176,30,0.206,0.119,0.0140,649,745,725,128.22,3631,84,0.344,0.328,0.0231
"US","Pennsylvania","Berks",42011,421164,99993,1517,23742.06,3601.92,0.0152,4,58,155,82,27.66,4446,347,0.044,0.229,0.0781,155,405,322,78.23,31485,555,0.315,0.366,0.0176,405,528,447,50.12,13047,142,0.130,0.093,0.0109,528,745,718,253.41,51130,476,0.511,0.314,0.0093,,,,,,,,,
"US","Pennsylvania","Blair",42013,121829,28352,575,23271.96,4719.73,0.0203,5,148,212,207,7.67,331,7,0.012,0.013,0.0221,212,409,324,124.69,10437,295,0.368,0.513,0.0283,409,519,453,44.46,2830,39,0.100,0.067,0.0136,538,690,666,88.20,8213,115,0.290,0.200,0.0140,690,745,724,155.00,6592,119,0.233,0.207,0.0181
"US","Pennsylvania","Bradford",42015,60323,14336,188,23765.40,3116.56,0.0131,5,62,126,77,1.76,44,3,0.003,0.016,0.0682,149,208,182,2.32,45,0,0.003,0.000,0.0000,208,406,327,71.78,4342,75,0.303,0.398,0.0172,406,525,445,57.82,1752,18,0.122,0.097,0.0104,532,745,723,208.94,8159,92,0.569,0.491,0.0113
"US","Pennsylvania","Bucks",42017,628270,119921,1767,19087.49,2812.49,0.0147,5,56,150,99,17.31,5428,551,0.045,0.312,0.1016,215,403,320,77.99,37335,548,0.311,0.310,0.0147,403,519,436,44.94,16298,195,0.136,0.110,0.0119,519,639,623,27.49,12012,91,0.100,0.052,0.0076,639,745,717,211.17,47097,353,0.393,0.200,0.0075
"US","Pennsylvania","Butler",42019,187853,43136,679,22962.64,3614.53,0.0157,5,210,404,327,93.26,13301,352,0.308,0.518,0.0265,404,525,441,31.13,3781,50,0.088,0.074,0.0132,525,641,618,68.03,7217,77,0.167,0.114,0.0107,641,728,720,210.47,14784,155,0.343,0.228,0.0105,728,745,728,164.75,3750,32,0.087,0.047,0.0085
