Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","South Carolina","Abbeville",45001,24526,4035,53,16451.93,2160.97,0.0131,5,122,213,180,42.00,347,9,0.086,0.176,0.0269,213,281,256,37.47,399,7,0.099,0.141,0.0187,281,501,365,109.92,1829,25,0.453,0.468,0.0136,539,662,600,108.13,1289,9,0.320,0.171,0.0070,662,690,685,28.42,151,3,0.037,0.058,0.0204
"US","South Carolina","Aiken",45003,170872,27779,356,16257.20,2083.43,0.0128,5,63,210,190,25.97,2161,50,0.078,0.141,0.0232,210,280,244,100.65,2878,38,0.104,0.107,0.0132,280,497,370,81.25,12516,141,0.451,0.396,0.0113,510,670,587,97.38,9858,129,0.355,0.363,0.0131,670,687,677,13.51,388,2,0.014,0.005,0.0046
"US","South Carolina","Allendale",45005,8688,1377,21,15849.45,2417.13,0.0153,5,65,131,106,17.73,36,3,0.026,0.144,0.0829,131,272,191,61.69,391,3,0.284,0.143,0.0077,291,444,359,92.77,469,7,0.341,0.354,0.0159,444,508,472,17.50,48,0,0.035,0.000,0.0000,531,653,586,132.02,404,6,0.293,0.287,0.0149
"US","South Carolina","Anderson",45007,202558,38222,801,18869.66,3954.42,0.0210,5,57,106,72,2.64,176,8,0.005,0.010,0.0454,106,212,191,24.89,2620,80,0.069,0.100,0.0306,212,515,360,102.54,20521,447,0.537,0.558,0.0218,515,665,588,126.18,13881,247,0.363,0.308,0.0178,665,690,684,27.19,1098,24,0.029,0.030,0.0218
"US","South Carolina","Bamberg",45009,14066,2188,64,15555.24,4549.98,0.0293,5,63,83,70,4.12,7,0,0.003,0.000,0.0000,91,281,178,102.45,688,34,0.314,0.539,0.0501,281,442,361,73.16,828,17,0.379,0.258,0.0199,442,516,466,13.29,78,1,0.036,0.018,0.0149,529,690,593,95.69,590,11,0.270,0.174,0.0188
"US","South Carolina","Barnwell",45011,20866,3965,88,19002.20,4217.39,0.0222,5,125,225,181,51.47,501,13,0.126,0.146,0.0257,225,287,245,60.00,351,11,0.088,0.129,0.0323,287,440,349,123.93,1596,29,0.403,0.330,0.0182,440,510,451,14.19,124,3,0.031,0.036,0.0253,510,677,585,130.02,1339,29,0.338,0.325,0.0214
"US","South Carolina","Beaufort",45013,192121,27856,319,14499.20,1660.41,0.0115,5,56,103,70,6.55,267,11,0.010,0.036,0.0427,103,268,188,46.54,5676,78,0.204,0.245,0.0137,268,510,364,72.85,11175,120,0.401,0.377,0.0108,516,682,577,94.77,10620,108,0.381,0.339,0.0102,682,690,683,9.74,149,2,0.005,0.005,0.0114
"US","South Carolina","Berkeley",45015,227907,31873,357,13985.09,1566.43,0.0112,5,62,107,84,3.06,187,14,0.006,0.039,0.0742,107,253,174,44.36,5335,75,0.167,0.211,0.0141,253,510,359,53.65,12429,116,0.390,0.324,0.0093,510,671,587,116.15,13550,149,0.425,0.417,0.0110,671,690,686,11.89,397,5,0.012,0.013,0.0116
"US","South Carolina","Calhoun",45017,14553,1787,53,12279.26,3641.86,0.0297,5,121,233,194,64.80,421,15,0.236,0.290,0.0365,233,284,257,21.71,87,2,0.049,0.035,0.0214,284,451,349,78.68,773,18,0.433,0.341,0.0234,451,514,466,12.71,51,1,0.029,0.019,0.0196,527,666,581,77.99,424,16,0.237,0.303,0.0378
"US","South Carolina","Charleston",45019,411406,67441,747,16392.81,1815.72,0.0111,5,56,103,70,5.17,458,8,0.007,0.010,0.0171,103,258,163,73.55,15627,260,0.232,0.348,0.0166,258,507,354,72.60,27835,244,0.413,0.327,0.0088,516,664,584,96.83,22125,217,0.328,0.290,0.0098,664,690,684,16.88,1470,21,0.022,0.027,0.0140
