Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","South Dakota","Aurora",46003,2750,669,16,24327.27,5818.18,0.0239,5,102,156,121,77.82,33,0,0.049,0.000,0.0000,232,379,297,263.27,409,15,0.611,0.967,0.0379,406,495,449,23.64,22,0,0.032,0.000,0.0000,558,662,614,74.91,95,2,0.142,0.126,0.0213,669,725,721,170.18,104,0,0.155,0.000,0.0000
"US","South Dakota","Beadle",46005,18453,4076,50,22088.55,2709.59,0.0123,5,53,75,61,9.38,21,1,0.005,0.030,0.0720,107,195,129,101.99,566,7,0.139,0.141,0.0124,195,369,294,208.37,2009,30,0.493,0.598,0.0149,369,504,407,44.22,372,1,0.091,0.025,0.0034,559,725,721,134.18,1108,10,0.272,0.194,0.0088
"US","South Dakota","Bennett",46007,3365,619,9,18395.25,2674.59,0.0145,5,138,160,153,8.62,4,0,0.007,0.000,0.0000,206,406,281,229.42,376,9,0.608,1.006,0.0241,414,474,420,9.51,9,0,0.014,0.000,0.0000,532,676,659,46.66,113,0,0.182,0.000,0.0000,676,725,716,177.12,116,0,0.187,0.000,0.0000
"US","South Dakota","Bon Homme",46009,6901,2101,33,30444.86,4781.92,0.0157,5,114,130,122,6.09,4,0,0.002,0.000,0.0000,197,362,278,956.38,1488,23,0.708,0.698,0.0155,372,388,374,8.26,5,1,0.002,0.021,0.1405,388,498,447,21.16,53,3,0.025,0.098,0.0610,555,725,723,292.57,546,4,0.260,0.134,0.0081
"US","South Dakota","Brookings",46011,35077,6892,41,19648.20,1168.86,0.0059,5,124,177,165,7.58,85,0,0.012,0.000,0.0000,177,399,295,111.58,3473,36,0.504,0.889,0.0105,399,510,445,48.66,667,1,0.097,0.019,0.0012,522,645,602,51.54,885,1,0.128,0.036,0.0016,645,725,721,256.89,1779,3,0.258,0.066,0.0015
"US","South Dakota","Brown",46013,38839,8558,110,22034.55,2832.20,0.0129,5,60,162,113,25.85,343,2,0.040,0.018,0.0058,162,412,304,138.31,4837,87,0.565,0.791,0.0180,412,505,443,20.78,460,6,0.054,0.055,0.0132,540,681,665,53.86,1670,10,0.195,0.088,0.0058,681,725,722,185.23,1261,6,0.147,0.053,0.0046
"US","South Dakota","Brule",46015,5296,1241,18,23432.78,3398.79,0.0145,5,126,186,161,23.79,38,0,0.031,0.000,0.0000,186,432,295,199.40,662,9,0.534,0.502,0.0136,442,482,461,15.86,17,1,0.014,0.054,0.0568,547,676,656,135.01,222,2,0.179,0.117,0.0095,676,725,721,240.37,301,6,0.243,0.336,0.0201
"US","South Dakota","Buffalo",46017,1962,569,17,29001.02,8664.63,0.0299,5,109,204,143,167.18,108,3,0.190,0.177,0.0279,212,379,282,277.27,310,10,0.546,0.592,0.0324,559,631,597,40.77,20,0,0.034,0.000,0.0000,631,674,660,34.15,17,1,0.030,0.060,0.0606,696,725,715,363.91,103,1,0.181,0.056,0.0093
"US","South Dakota","Butte",46019,10429,2277,41,21833.35,3931.35,0.0180,5,163,395,281,150.54,971,20,0.426,0.489,0.0206,395,430,422,17.64,37,0,0.016,0.000,0.0000,430,506,457,22.05,77,0,0.034,0.000,0.0000,521,693,589,182.57,1031,15,0.453,0.377,0.0150,693,725,722,100.11,161,6,0.071,0.138,0.0353
"US","South Dakota","Campbell",46021,1376,230,6,16715.12,4360.47,0.0261,5,229,346,248,168.60,110,4,0.480,0.673,0.0366,346,395,370,57.41,15,0,0.064,0.000,0.0000,573,622,586,74.13,21,0,0.093,0.000,0.0000,642,702,680,167.15,44,2,0.189,0.333,0.0459,714,725,724,124.27,16,0,0.072,0.000,0.0000
"US","South Dakota","Charles Mix",46023,9292,2424,32,26086.96,3443.82,0.0132,5,68,86,79,2.58,3,0,0.001,0.000,0.0000,106,195,158,40.03,95,0,0.039,0.000,0.0000,195,494,303,192.32,1282,22,0.529,0.689,0.0172,505,637,617,78.45,327,4,0.135,0.126,0.0123,637,725,721,252.26,716,6,0.295,0.188,0.0084
