Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Tennessee","Anderson",47001,76978,19490,292,25318.92,3793.29,0.0150,5,78,105,91,1.26,19,0,0.001,0.002,0.0239,131,222,187,31.48,839,7,0.043,0.024,0.0082,222,506,328,148.73,7972,165,0.409,0.564,0.0207,523,659,598,104.33,4390,49,0.225,0.168,0.0112,659,745,745,308.11,6302,68,0.323,0.234,0.0109
"US","Tennessee","Bedford",47003,49713,13700,211,27558.18,4244.36,0.0154,5,122,227,188,27.92,892,10,0.065,0.048,0.0113,227,397,327,154.83,4598,103,0.336,0.489,0.0225,397,479,426,38.08,787,11,0.057,0.054,0.0145,526,666,597,92.15,2681,27,0.196,0.127,0.0100,666,745,745,354.86,4313,53,0.315,0.251,0.0123
"US","Tennessee","Benton",47005,16160,3959,84,24498.76,5198.02,0.0212,5,149,250,196,49.50,331,8,0.084,0.090,0.0228,250,423,296,105.20,1203,30,0.304,0.361,0.0252,423,488,440,25.68,143,1,0.036,0.015,0.0087,514,657,599,146.72,1165,13,0.294,0.155,0.0112,657,745,745,238.06,1115,30,0.282,0.357,0.0269
"US","Tennessee","Bledsoe",47007,15064,4324,43,28704.20,2854.49,0.0099,5,61,137,92,426.71,612,1,0.142,0.023,0.0016,150,237,202,40.03,218,3,0.050,0.070,0.0139,281,442,329,97.92,1051,7,0.243,0.164,0.0067,516,666,585,199.75,1315,7,0.304,0.171,0.0056,666,745,729,209.24,799,25,0.185,0.579,0.0312
"US","Tennessee","Blount",47009,133087,35668,358,26800.51,2689.97,0.0100,5,136,243,187,31.70,2350,20,0.066,0.055,0.0085,243,434,330,120.33,12264,171,0.344,0.477,0.0139,434,495,453,27.49,943,3,0.026,0.009,0.0033,516,656,599,120.46,8040,73,0.225,0.204,0.0091,656,745,745,324.79,11761,89,0.330,0.250,0.0076
"US","Tennessee","Bradley",47011,108110,31278,359,28931.64,3320.69,0.0115,4,61,240,167,35.38,2799,16,0.089,0.045,0.0058,240,515,329,142.83,12509,136,0.400,0.379,0.0109,515,660,595,148.69,7067,52,0.226,0.145,0.0073,660,745,745,300.22,8935,155,0.286,0.433,0.0174,,,,,,,,,
"US","Tennessee","Campbell",47013,39842,10623,138,26662.82,3463.68,0.0130,5,137,221,190,22.41,308,1,0.029,0.010,0.0043,221,289,262,60.94,877,13,0.083,0.091,0.0143,289,499,330,115.56,3016,49,0.284,0.353,0.0161,527,670,601,150.32,3285,26,0.309,0.188,0.0079,670,745,745,341.05,3148,50,0.296,0.362,0.0159
"US","Tennessee","Cannon",47015,14678,3735,52,25446.25,3542.72,0.0139,5,115,137,131,11.04,19,0,0.005,0.000,0.0000,156,215,196,27.59,159,0,0.043,0.000,0.0000,215,509,326,194.17,1760,32,0.471,0.618,0.0183,524,655,598,165.69,867,11,0.232,0.212,0.0127,655,745,745,282.26,929,9,0.249,0.174,0.0098
"US","Tennessee","Carroll",47017,27766,8240,137,29676.58,4934.09,0.0166,5,153,260,217,61.01,977,22,0.119,0.158,0.0221,260,431,324,132.21,2528,59,0.307,0.433,0.0235,431,472,457,8.86,88,2,0.011,0.012,0.0190,522,667,584,134.19,2136,24,0.259,0.179,0.0115,667,745,745,343.30,2397,30,0.291,0.218,0.0125
"US","Tennessee","Carter",47019,56391,14503,294,25718.64,5213.60,0.0203,5,142,244,224,37.01,1113,27,0.077,0.090,0.0238,244,421,328,111.12,4948,128,0.341,0.434,0.0258,421,510,445,28.13,667,3,0.046,0.012,0.0052,510,653,585,128.00,3858,61,0.266,0.208,0.0159,653,745,745,283.18,3925,76,0.271,0.257,0.0193
