Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Vermont","Addison",50001,36777,3787,13,10297.20,353.48,0.0034,5,55,92,73,8.24,60,2,0.016,0.151,0.0324,248,393,352,47.50,603,6,0.159,0.466,0.0101,393,500,407,20.69,381,0,0.101,0.000,0.0000,522,614,573,17.62,287,0,0.076,0.000,0.0000,614,745,726,124.29,2439,5,0.644,0.388,0.0021
"US","Vermont","Bennington",50003,35470,8178,57,23056.10,1606.99,0.0070,5,55,114,63,4.51,59,1,0.007,0.018,0.0170,241,430,368,64.65,1544,9,0.189,0.155,0.0057,430,520,448,30.14,406,5,0.050,0.094,0.0132,520,728,720,279.05,5170,36,0.632,0.635,0.0070,728,745,728,233.86,1041,6,0.127,0.114,0.0062
"US","Vermont","Caledonia",50005,29993,4342,22,14476.71,733.50,0.0051,5,60,99,73,1.90,13,0,0.003,0.000,0.0000,265,366,316,17.44,275,4,0.063,0.184,0.0147,366,527,433,52.95,774,3,0.178,0.138,0.0039,552,692,681,115.16,1818,14,0.419,0.639,0.0077,692,745,731,150.30,1459,1,0.336,0.046,0.0007
"US","Vermont","Chittenden",50007,163773,24693,151,15077.58,922.01,0.0061,5,232,392,355,33.59,3715,44,0.150,0.292,0.0119,392,510,435,40.13,3028,21,0.123,0.142,0.0071,510,614,603,29.87,2490,15,0.101,0.098,0.0059,614,728,723,190.10,11810,22,0.478,0.149,0.0019,728,745,728,180.10,3214,11,0.130,0.070,0.0033
"US","Vermont","Essex",50009,6163,1069,3,17345.45,486.78,0.0028,5,273,342,315,50.14,74,0,0.070,0.000,0.0000,342,385,351,34.89,60,0,0.056,0.020,0.0010,397,512,447,42.35,136,1,0.127,0.357,0.0079,541,702,654,132.40,562,0,0.525,0.020,0.0001,702,745,732,130.78,214,1,0.200,0.327,0.0046
"US","Vermont","Franklin",50011,49402,8038,59,16270.60,1194.28,0.0073,5,58,91,79,12.77,90,4,0.011,0.070,0.0459,271,347,315,22.17,436,21,0.054,0.348,0.0471,347,491,386,38.03,1468,12,0.183,0.207,0.0083,524,728,723,200.05,4958,18,0.617,0.307,0.0037,728,745,731,182.30,1139,2,0.142,0.032,0.0017
"US","Vermont","Grand Isle",50013,7235,843,4,11651.69,552.87,0.0047,5,271,331,293,21.42,39,0,0.047,0.000,0.0000,331,367,356,15.20,27,0,0.032,0.000,0.0000,367,497,423,37.32,136,2,0.161,0.500,0.0147,548,624,586,36.35,100,0,0.118,0.000,0.0000,624,745,733,142.64,527,2,0.625,0.505,0.0038
"US","Vermont","Lamoille",50015,25362,3130,13,12341.30,512.58,0.0042,5,57,97,66,5.28,25,2,0.008,0.151,0.0769,285,334,299,20.46,156,0,0.050,0.000,0.0000,334,512,427,35.84,672,2,0.215,0.155,0.0030,548,728,723,149.48,1916,9,0.612,0.692,0.0047,728,745,728,122.23,354,1,0.113,0.085,0.0031
"US","Vermont","Orange",50017,28892,3091,11,10698.46,380.73,0.0036,5,261,346,301,33.47,295,1,0.096,0.092,0.0034,346,410,352,17.96,202,2,0.065,0.184,0.0100,410,511,445,29.90,303,0,0.098,0.000,0.0000,528,672,653,51.33,854,3,0.276,0.285,0.0037,672,745,732,128.55,1423,5,0.460,0.459,0.0035
"US","Vermont","Orleans",50019,27037,4831,31,17868.11,1146.58,0.0064,5,57,75,64,2.11,8,0,0.002,0.000,0.0000,262,362,320,28.44,304,5,0.063,0.164,0.0167,362,508,407,68.57,969,6,0.201,0.195,0.0062,527,692,633,117.58,2383,16,0.493,0.526,0.0068,692,745,733,146.47,1168,4,0.242,0.124,0.0033
"US","Vermont","Rutland",50021,58190,10704,56,18394.91,962.36,0.0052,5,168,234,221,3.21,53,0,0.005,0.000,0.0000,277,407,378,42.19,1208,11,0.113,0.193,0.0089,407,517,432,43.63,955,8,0.089,0.149,0.0087,535,728,723,251.09,7217,26,0.674,0.459,0.0036,728,745,728,213.97,1323,11,0.124,0.200,0.0085
"US","Vermont","Unassigned",90050,-1,13790,9,0.00,0.00,0.0007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Vermont","Washington",50023,58409,8035,44,13756.44,753.31,0.0055,5,257,340,299,50.10,789,6,0.098,0.132,0.0074,340,417,370,26.61,654,7,0.081,0.149,0.0100,531,619,588,47.42,1071,3,0.133,0.068,0.0028,619,728,724,173.89,4060,21,0.505,0.488,0.0053,728,745,728,162.63,1117,5,0.139,0.108,0.0042
"US","Vermont","Windham",50025,42222,5328,33,12619.01,781.58,0.0062,5,55,125,75,7.58,80,3,0.015,0.092,0.0381,198,224,214,3.17,21,0,0.004,0.000,0.0000,251,407,351,35.98,848,10,0.159,0.301,0.0117,407,521,444,18.64,429,1,0.081,0.032,0.0024,521,745,722,137.72,3933,19,0.738,0.579,0.0049
"US","Vermont","Windsor",50027,55062,6987,47,12689.33,853.58,0.0067,5,54,109,61,3.47,45,2,0.006,0.043,0.0444,243,420,356,36.90,1030,9,0.147,0.193,0.0088,420,528,434,12.02,412,2,0.059,0.044,0.0051,528,728,724,131.29,4692,34,0.672,0.716,0.0072,728,745,728,127.02,844,1,0.121,0.013,0.0007
