Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Virginia","Accomack",51001,32316,5663,85,17523.83,2630.28,0.0150,5,59,164,99,88.16,1042,14,0.184,0.165,0.0135,172,244,202,10.64,125,5,0.022,0.059,0.0401,244,508,353,96.67,1699,26,0.300,0.301,0.0150,515,665,580,56.60,1286,35,0.227,0.412,0.0272,665,725,720,274.20,1515,5,0.268,0.059,0.0033
"US","Virginia","Albemarle",51003,109330,11715,120,10715.27,1097.59,0.0102,5,59,219,169,11.69,1003,17,0.086,0.145,0.0174,219,280,252,13.00,586,7,0.050,0.057,0.0117,280,504,394,47.61,4238,59,0.362,0.496,0.0140,510,656,603,36.27,2376,21,0.203,0.171,0.0086,656,725,720,127.17,3541,16,0.302,0.134,0.0045
"US","Virginia","Alexandria",51510,159427,25229,164,15824.80,1028.68,0.0065,5,58,160,102,26.79,2320,56,0.092,0.343,0.0242,160,251,209,13.74,1525,13,0.060,0.082,0.0088,251,417,354,54.25,6754,59,0.268,0.359,0.0087,509,652,600,20.49,2521,13,0.100,0.078,0.0050,652,725,717,298.31,10874,15,0.431,0.089,0.0013
"US","Virginia","Alleghany",51005,14860,2781,90,18714.67,6056.53,0.0324,5,236,385,336,108.28,1079,29,0.388,0.326,0.0272,391,436,400,73.28,120,11,0.043,0.121,0.0906,436,512,460,19.18,98,1,0.035,0.010,0.0096,512,656,603,97.17,792,30,0.285,0.333,0.0378,656,725,720,153.57,623,12,0.224,0.128,0.0185
"US","Virginia","Amelia",51007,13145,2056,44,15640.93,3347.28,0.0214,5,110,260,231,14.68,111,4,0.054,0.092,0.0364,260,435,351,90.60,694,24,0.338,0.541,0.0343,435,514,476,18.49,106,7,0.051,0.162,0.0674,528,669,605,63.37,606,6,0.295,0.135,0.0098,669,725,721,178.09,528,2,0.257,0.049,0.0040
"US","Virginia","Amherst",51009,31605,5551,64,17563.68,2025.00,0.0115,5,95,128,113,3.16,17,-1,0.003,-0.010,-0.0366,145,235,199,24.27,316,2,0.057,0.030,0.0060,235,516,362,117.04,2642,38,0.476,0.601,0.0146,516,661,595,98.75,1456,20,0.262,0.314,0.0138,661,725,720,155.36,1121,4,0.202,0.064,0.0037
"US","Virginia","Appomattox",51011,15911,2983,38,18748.04,2388.28,0.0127,5,135,247,215,28.22,180,3,0.060,0.078,0.0164,247,423,356,131.04,1246,20,0.418,0.529,0.0162,423,505,447,48.27,167,3,0.056,0.080,0.0181,520,655,598,99.55,802,10,0.269,0.264,0.0125,655,725,718,115.64,562,2,0.188,0.053,0.0036
"US","Virginia","Arlington",51013,236842,33693,284,14225.94,1199.11,0.0084,5,55,162,100,17.32,2496,132,0.074,0.463,0.0527,162,238,208,9.66,1288,14,0.038,0.050,0.0109,238,487,353,46.99,11523,111,0.342,0.390,0.0096,524,646,597,18.59,3302,13,0.098,0.047,0.0041,646,725,719,238.53,15111,14,0.448,0.048,0.0009
"US","Virginia","Augusta",51015,75558,14581,152,19297.76,2011.70,0.0104,5,68,166,147,4.04,195,2,0.013,0.013,0.0104,166,419,325,130.43,5100,67,0.350,0.440,0.0131,419,527,442,26.10,701,10,0.048,0.064,0.0138,542,654,598,122.40,4289,52,0.294,0.340,0.0120,654,725,720,246.22,4325,22,0.297,0.144,0.0051
"US","Virginia","Bath",51017,4147,673,15,16228.60,3617.07,0.0223,5,232,386,346,152.40,241,8,0.358,0.534,0.0333,400,490,443,19.29,31,1,0.046,0.060,0.0293,537,558,548,7.72,4,0,0.006,0.000,0.0000,565,667,602,134.56,222,4,0.330,0.266,0.0179,667,725,720,185.68,174,0,0.259,0.000,0.0000
"US","Virginia","Bedford",51019,78997,12911,179,16343.66,2265.91,0.0139,5,122,223,212,12.47,516,7,0.040,0.039,0.0137,223,453,357,109.84,5637,89,0.437,0.496,0.0157,453,522,492,18.68,482,12,0.037,0.066,0.0243,522,659,597,84.88,3457,51,0.268,0.285,0.0147,659,725,720,137.41,2805,20,0.217,0.112,0.0072
"US","Virginia","Bland",51021,6279,1302,18,20735.79,2866.70,0.0138,5,165,243,202,36.31,62,4,0.048,0.219,0.0633,270,405,322,242.87,558,4,0.428,0.233,0.0075,405,505,433,19.91,61,1,0.047,0.051,0.0150,518,676,596,144.77,437,7,0.336,0.391,0.0161,676,725,721,146.36,179,1,0.138,0.056,0.0056
"US","Virginia","Botetourt",51023,33419,5615,67,16801.82,2004.85,0.0119,5,126,207,160,21.75,188,3,0.034,0.047,0.0166,207,229,218,7.75,44,3,0.008,0.044,0.0671,229,495,354,67.39,2291,28,0.408,0.421,0.0123,495,659,623,53.35,1439,15,0.256,0.225,0.0105,659,725,720,183.01,1633,14,0.291,0.211,0.0087
"US","Virginia","Bristol",51520,16762,3072,59,18327.17,3519.87,0.0192,5,160,223,190,18.37,118,2,0.038,0.034,0.0172,241,401,334,89.79,1043,25,0.340,0.431,0.0244,401,521,448,38.78,370,9,0.121,0.154,0.0245,529,645,601,73.44,678,10,0.221,0.171,0.0148,645,725,720,170.33,813,12,0.265,0.204,0.0148
"US","Virginia","Brunswick",51025,16231,2267,37,13967.10,2279.59,0.0163,5,67,96,83,6.41,14,0,0.006,0.000,0.0000,96,284,148,31.36,413,5,0.182,0.137,0.0123,284,511,363,121.19,911,19,0.402,0.516,0.0209,519,672,586,51.08,509,10,0.225,0.265,0.0193,672,725,720,176.08,423,3,0.187,0.081,0.0071
"US","Virginia","Buchanan",51027,21003,3464,90,16492.88,4285.10,0.0260,5,208,434,342,105.32,1269,35,0.366,0.390,0.0277,434,528,492,13.14,185,9,0.054,0.100,0.0488,528,617,602,76.99,605,5,0.175,0.050,0.0075,617,685,653,75.08,760,32,0.220,0.354,0.0419,685,725,720,144.93,580,10,0.168,0.107,0.0166
"US","Virginia","Buckingham",51029,17148,3106,41,18112.90,2390.95,0.0132,5,64,182,111,117.91,587,6,0.189,0.147,0.0103,182,241,210,13.12,89,3,0.029,0.069,0.0318,241,426,321,118.44,1383,19,0.445,0.473,0.0140,540,667,583,52.25,581,7,0.187,0.161,0.0114,667,725,721,103.45,387,3,0.125,0.074,0.0078
"US","Virginia","Buena Vista",51530,6478,1653,34,25517.13,5248.53,0.0206,5,228,337,320,175.67,385,3,0.233,0.088,0.0078,337,435,369,125.50,413,15,0.250,0.443,0.0365,435,534,464,30.72,72,3,0.043,0.089,0.0422,554,680,620,108.37,492,6,0.297,0.181,0.0125,680,725,721,173.05,229,6,0.138,0.176,0.0263
"US","Virginia","Campbell",51031,54885,9225,163,16807.87,2969.85,0.0177,5,123,228,198,13.56,336,2,0.036,0.012,0.0060,228,437,359,121.47,3878,79,0.420,0.482,0.0203,485,546,520,79.86,527,15,0.057,0.091,0.0281,546,657,598,80.53,2290,38,0.248,0.235,0.0167,657,725,720,114.17,1915,22,0.208,0.137,0.0117
"US","Virginia","Caroline",51033,30725,5703,59,18561.43,1920.26,0.0103,5,162,259,241,15.85,245,1,0.043,0.017,0.0041,259,410,360,66.17,1485,23,0.260,0.396,0.0157,410,519,454,100.15,838,11,0.147,0.194,0.0136,519,648,601,54.84,1261,12,0.221,0.208,0.0097,648,725,720,194.27,1764,8,0.309,0.136,0.0045
"US","Virginia","Carroll",51035,29790,5191,113,17425.31,3793.22,0.0218,5,92,188,137,19.13,297,11,0.057,0.100,0.0379,247,402,350,78.35,1613,37,0.311,0.323,0.0227,402,514,443,46.06,621,19,0.120,0.172,0.0313,525,659,608,63.34,1379,20,0.266,0.181,0.0148,659,725,722,119.03,1105,14,0.213,0.126,0.0129
"US","Virginia","Charles City",51036,6963,961,22,13801.52,3159.56,0.0229,5,172,249,213,17.09,43,2,0.044,0.090,0.0466,252,417,355,96.08,337,9,0.351,0.394,0.0257,417,479,449,31.74,81,3,0.085,0.119,0.0321,512,639,582,49.98,169,3,0.176,0.147,0.0192,639,725,718,136.15,286,3,0.298,0.130,0.0100
"US","Virginia","Charlotte",51037,11880,1836,32,15454.55,2693.60,0.0174,5,156,300,258,48.23,228,3,0.124,0.100,0.0140,300,439,362,100.42,545,14,0.297,0.440,0.0258,454,496,472,17.51,50,3,0.027,0.097,0.0614,520,657,587,57.41,441,6,0.240,0.190,0.0138,657,725,720,181.65,528,5,0.288,0.159,0.0096
"US","Virginia","Charlottesville",51540,47266,7605,65,16089.79,1375.20,0.0085,5,56,291,241,47.07,1673,31,0.220,0.479,0.0186,291,468,393,114.44,2344,25,0.308,0.378,0.0105,474,478,476,0.99,2,1,0.000,0.008,0.2680,494,654,592,55.47,1360,2,0.179,0.023,0.0011,654,725,719,211.04,2238,7,0.294,0.101,0.0029
"US","Virginia","Chesapeake",51550,244835,41430,383,16921.60,1564.32,0.0092,4,62,251,185,27.32,4331,72,0.105,0.188,0.0166,251,511,362,133.09,16864,233,0.407,0.609,0.0138,511,658,582,44.61,7937,60,0.192,0.155,0.0075,658,725,719,239.42,12345,20,0.298,0.052,0.0016,,,,,,,,,
"US","Virginia","Chesterfield",51041,352802,58542,611,16593.44,1731.85,0.0104,5,62,170,149,14.88,3138,60,0.054,0.098,0.0191,170,237,195,13.47,2475,29,0.042,0.047,0.0116,237,516,362,72.66,22689,362,0.388,0.592,0.0159,516,656,601,48.71,11914,107,0.204,0.176,0.0090,656,725,718,204.12,18444,56,0.315,0.092,0.0030
"US","Virginia","Clarke",51043,14618,2170,33,14844.71,2257.49,0.0152,5,67,199,148,6.64,70,0,0.032,0.000,0.0000,199,405,366,89.07,696,18,0.321,0.543,0.0257,405,500,417,43.03,229,3,0.105,0.080,0.0116,548,641,609,52.26,348,3,0.160,0.087,0.0083,641,725,714,167.33,832,9,0.383,0.284,0.0113
"US","Virginia","Colonial Heights",51570,17370,3791,72,21824.99,4145.08,0.0190,5,72,123,89,16.23,83,9,0.022,0.131,0.1135,123,180,150,13.76,83,11,0.022,0.157,0.1354,233,500,362,112.49,1482,38,0.391,0.529,0.0257,522,659,601,84.17,911,5,0.240,0.069,0.0055,659,725,719,277.61,1168,5,0.308,0.073,0.0045
"US","Virginia","Covington",51580,5538,855,20,15438.79,3611.41,0.0234,5,171,248,215,13.72,26,0,0.031,0.000,0.0000,265,392,324,180.39,587,5,0.687,0.241,0.0082,408,461,423,26.00,37,2,0.043,0.117,0.0631,527,661,610,73.85,155,3,0.181,0.135,0.0174,661,725,721,58.50,90,4,0.105,0.177,0.0393
"US","Virginia","Craig",51045,5131,864,11,16838.82,2143.83,0.0127,5,153,216,187,9.55,15,0,0.018,0.000,0.0000,221,405,361,68.41,220,5,0.255,0.439,0.0219,405,505,426,32.35,82,1,0.095,0.123,0.0164,516,637,627,74.64,211,0,0.245,0.005,0.0003,637,725,720,160.98,332,5,0.385,0.453,0.0150
"US","Virginia","Culpeper",51047,52605,9646,97,18336.66,1843.93,0.0101,5,65,162,119,51.90,812,11,0.084,0.109,0.0130,238,417,307,77.14,2999,41,0.311,0.420,0.0136,417,514,442,21.50,546,11,0.057,0.116,0.0206,514,650,606,57.66,1834,19,0.190,0.196,0.0104,650,725,720,208.52,3124,11,0.324,0.115,0.0036
"US","Virginia","Cumberland",51049,9932,985,19,9917.44,1913.01,0.0193,5,66,168,127,12.59,58,0,0.059,0.000,0.0000,246,426,363,59.10,309,7,0.314,0.388,0.0238,426,523,456,24.67,105,1,0.107,0.053,0.0096,534,653,604,35.44,206,8,0.209,0.422,0.0389,653,725,720,91.52,264,1,0.268,0.053,0.0038
"US","Virginia","Danville",51590,40044,8527,213,21294.08,5319.15,0.0250,5,112,221,193,27.20,558,13,0.065,0.062,0.0238,221,411,352,118.82,3783,101,0.444,0.472,0.0266,426,514,459,17.48,348,19,0.041,0.089,0.0547,536,659,599,80.01,1826,54,0.214,0.252,0.0294,659,725,720,280.54,2206,18,0.259,0.086,0.0083
"US","Virginia","Dickenson",51051,14318,2459,40,17174.19,2793.69,0.0163,5,143,232,196,15.71,75,1,0.030,0.025,0.0135,232,452,321,125.58,839,14,0.341,0.351,0.0167,548,636,601,81.30,573,8,0.233,0.198,0.0138,636,686,668,102.25,454,4,0.185,0.106,0.0094,686,725,721,138.92,436,10,0.177,0.249,0.0229
"US","Virginia","Dinwiddie",51053,28544,4297,63,15053.95,2207.12,0.0147,5,73,166,128,13.17,150,2,0.035,0.027,0.0112,166,503,360,80.02,1991,44,0.463,0.693,0.0219,518,643,607,46.59,980,7,0.228,0.105,0.0067,643,677,657,70.98,350,7,0.081,0.114,0.0204,677,725,720,141.29,834,4,0.194,0.065,0.0049
"US","Virginia","Emporia",51595,5346,963,46,18013.47,8604.56,0.0478,5,66,136,103,53.87,88,6,0.091,0.130,0.0680,177,252,211,53.68,110,11,0.115,0.240,0.0999,283,471,362,137.86,371,14,0.386,0.306,0.0379,536,646,579,82.30,190,1,0.197,0.024,0.0057,666,725,721,117.10,124,1,0.129,0.021,0.0079
"US","Virginia","Essex",51057,10953,1871,22,17082.08,2008.58,0.0118,5,154,267,224,26.48,133,2,0.071,0.092,0.0152,267,417,352,78.52,472,6,0.252,0.255,0.0119,417,506,425,28.21,125,3,0.067,0.117,0.0206,539,664,607,96.59,501,9,0.268,0.410,0.0180,664,725,718,236.74,585,2,0.312,0.094,0.0035
"US","Virginia","Fairfax",51059,1147532,148651,1217,12953.97,1060.54,0.0082,5,58,170,125,23.03,14355,498,0.097,0.409,0.0347,170,244,221,8.57,6055,84,0.041,0.069,0.0139,244,498,359,54.09,56722,522,0.382,0.429,0.0092,516,651,601,16.55,15216,69,0.102,0.057,0.0045,651,725,718,197.91,56467,38,0.380,0.032,0.0007
"US","Virginia","Fairfax City",51600,24019,1759,36,7323.37,1498.81,0.0205,5,79,138,89,11.24,68,6,0.038,0.154,0.0819,181,251,220,7.04,64,1,0.036,0.025,0.0143,251,499,359,21.07,430,12,0.245,0.323,0.0270,611,681,661,101.21,480,16,0.273,0.444,0.0333,681,725,714,134.89,656,1,0.373,0.028,0.0015
"US","Virginia","Falls Church",51610,14617,1511,14,10337.28,957.79,0.0093,5,77,138,89,18.75,56,8,0.037,0.566,0.1423,277,486,363,34.14,359,2,0.237,0.143,0.0056,552,617,591,17.45,87,0,0.058,0.000,0.0000,617,669,662,60.27,184,6,0.122,0.430,0.0327,669,725,719,261.27,815,0,0.539,0.000,0.0000
"US","Virginia","Fauquier",51061,71222,10881,96,15277.58,1347.90,0.0088,5,156,258,214,13.52,561,19,0.052,0.198,0.0338,258,419,349,60.29,3145,35,0.289,0.368,0.0112,419,506,443,22.68,653,10,0.060,0.101,0.0148,514,650,585,49.97,2276,17,0.209,0.177,0.0074,650,725,718,177.23,3861,10,0.355,0.106,0.0026
"US","Virginia","Floyd",51063,15748,2016,33,12801.63,2095.50,0.0164,5,94,104,99,1.40,2,0,0.001,0.000,0.0000,120,265,202,42.10,222,16,0.110,0.477,0.0708,265,518,360,43.31,660,7,0.328,0.214,0.0107,530,652,609,61.21,569,8,0.282,0.231,0.0134,652,725,721,108.46,565,4,0.280,0.109,0.0064
"US","Virginia","Fluvanna",51065,27270,3721,33,13645.03,1210.12,0.0089,5,278,396,352,52.81,849,4,0.228,0.124,0.0048,396,430,419,57.87,286,4,0.077,0.120,0.0138,452,509,463,99.71,287,3,0.077,0.092,0.0106,525,632,599,43.12,615,1,0.165,0.045,0.0024,632,725,720,105.72,1187,12,0.319,0.350,0.0097
"US","Virginia","Franklin",51067,56042,8476,134,15124.37,2391.06,0.0158,5,119,196,159,7.96,133,0,0.016,0.000,0.0002,196,313,306,50.23,1467,16,0.173,0.119,0.0108,313,515,354,69.70,2494,63,0.294,0.472,0.0254,515,650,609,52.37,1967,26,0.232,0.192,0.0131,650,725,721,153.85,2418,29,0.285,0.216,0.0120
"US","Virginia","Franklin City",51620,7967,2103,43,26396.39,5397.26,0.0204,5,63,134,119,13.81,42,2,0.020,0.046,0.0474,134,293,213,85.23,479,12,0.228,0.289,0.0259,293,468,364,98.03,611,18,0.291,0.416,0.0293,536,668,612,124.64,525,11,0.250,0.257,0.0210,668,725,719,292.33,440,-1,0.209,-0.024,-0.0023
"US","Virginia","Frederick",51069,89313,17419,188,19503.32,2104.96,0.0108,5,61,169,127,12.90,534,6,0.031,0.032,0.0114,214,417,369,101.98,6210,84,0.356,0.447,0.0135,417,505,445,25.53,1159,9,0.067,0.047,0.0075,513,651,620,58.04,3593,48,0.206,0.257,0.0134,651,725,718,229.28,5758,38,0.331,0.203,0.0066
"US","Virginia","Fredericksburg",51630,29036,4508,28,15525.55,964.32,0.0062,5,159,264,195,20.22,323,5,0.072,0.179,0.0155,264,419,364,68.64,1258,17,0.279,0.607,0.0135,419,512,446,24.28,329,3,0.073,0.108,0.0092,512,659,600,51.56,965,1,0.214,0.036,0.0010,659,725,713,192.86,1398,2,0.310,0.070,0.0014
"US","Virginia","Galax",51640,6347,2005,70,31589.73,11028.83,0.0349,5,88,246,143,107.14,412,30,0.205,0.429,0.0728,246,400,332,140.07,579,15,0.289,0.212,0.0257,400,498,435,76.41,186,9,0.093,0.123,0.0464,543,644,589,126.04,344,9,0.171,0.129,0.0262,644,725,721,309.28,495,8,0.247,0.116,0.0164
"US","Virginia","Giles",51071,16720,2882,38,17236.84,2272.73,0.0132,5,181,248,224,12.86,70,0,0.024,0.000,0.0000,248,433,350,92.76,1068,18,0.371,0.471,0.0168,433,526,457,21.17,181,4,0.063,0.112,0.0236,543,665,606,130.68,1015,10,0.352,0.263,0.0099,665,725,721,129.90,536,6,0.186,0.160,0.0113
