Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Washington","Adams",53001,19982,3384,34,16935.24,1701.53,0.0100,5,57,104,71,10.91,48,0,0.014,0.000,0.0000,117,262,225,53.75,840,11,0.248,0.325,0.0132,262,417,300,109.85,1057,11,0.312,0.324,0.0104,417,531,429,19.07,328,2,0.097,0.062,0.0065,531,690,603,89.78,1114,10,0.329,0.295,0.0090
"US","Washington","Asotin",53003,22582,3085,51,13661.32,2258.44,0.0165,4,69,101,86,4.30,18,2,0.006,0.039,0.1132,180,408,294,79.75,1268,26,0.411,0.512,0.0206,408,513,467,18.51,207,1,0.067,0.020,0.0049,513,690,601,84.80,1591,22,0.516,0.433,0.0139,,,,,,,,,
"US","Washington","Benton",53005,204389,32658,393,15978.35,1922.80,0.0120,4,57,232,174,32.38,4300,122,0.132,0.310,0.0283,232,418,321,70.89,11053,87,0.338,0.220,0.0078,418,496,453,17.15,1962,13,0.060,0.032,0.0065,496,690,571,85.08,15395,172,0.471,0.438,0.0112,,,,,,,,,
"US","Washington","Chelan",53007,77200,12360,123,16010.36,1593.26,0.0100,5,57,128,122,8.11,240,6,0.019,0.049,0.0250,128,250,191,41.19,1831,11,0.148,0.091,0.0061,250,411,320,82.20,4035,45,0.326,0.365,0.0111,411,514,433,15.47,800,7,0.065,0.059,0.0090,514,690,584,79.02,5476,54,0.443,0.442,0.0099
"US","Washington","Clallam",53009,77331,5438,77,7032.11,995.72,0.0142,5,58,69,61,0.71,6,0,0.001,0.000,0.0000,153,251,202,7.35,200,1,0.037,0.013,0.0050,251,408,305,15.00,754,7,0.139,0.091,0.0093,408,499,467,8.51,353,4,0.065,0.047,0.0102,499,690,595,78.80,4103,66,0.754,0.856,0.0161
"US","Washington","Clark",53011,488241,46280,570,9478.93,1167.46,0.0123,5,58,103,66,2.37,329,22,0.007,0.039,0.0677,103,209,192,7.78,1659,32,0.036,0.057,0.0195,209,410,349,38.34,17195,178,0.372,0.313,0.0104,410,524,464,20.58,6815,56,0.147,0.098,0.0082,524,690,587,44.25,20353,283,0.440,0.496,0.0139
"US","Washington","Columbia",53013,3984,398,9,9989.96,2259.04,0.0226,5,273,365,314,60.74,79,3,0.199,0.336,0.0382,365,436,376,47.19,24,1,0.060,0.112,0.0420,478,526,486,13.05,13,1,0.033,0.162,0.1095,533,670,586,109.19,250,3,0.627,0.333,0.0120,670,690,678,28.87,17,0,0.042,0.007,0.0036
"US","Washington","Cowlitz",53015,110593,14610,268,13210.60,2423.30,0.0183,5,59,109,101,2.13,63,0,0.004,0.000,0.0000,130,218,173,9.69,462,6,0.032,0.023,0.0131,218,411,357,45.21,3940,62,0.270,0.230,0.0157,411,522,450,26.46,2184,24,0.150,0.090,0.0110,522,690,578,81.68,7979,177,0.546,0.662,0.0222
"US","Washington","Douglas",53017,43429,6722,51,15478.14,1174.33,0.0076,5,59,127,91,10.13,162,3,0.024,0.060,0.0188,127,254,190,51.74,1151,5,0.171,0.098,0.0044,254,402,321,75.02,1860,15,0.277,0.292,0.0080,402,493,434,19.07,442,0,0.066,0.002,0.0002,493,690,597,85.08,3119,29,0.464,0.559,0.0091
"US","Washington","Ferry",53019,7627,884,18,11590.40,2360.04,0.0204,5,162,234,192,15.21,28,0,0.032,0.000,0.0000,241,251,245,1.44,1,0,0.001,0.000,0.0000,263,389,315,78.41,172,4,0.195,0.224,0.0235,389,525,455,80.11,199,4,0.225,0.222,0.0201,525,690,631,119.84,485,10,0.548,0.558,0.0207
"US","Washington","Franklin",53021,95222,20855,184,21901.45,1932.33,0.0088,4,58,237,165,68.06,4176,61,0.200,0.331,0.0146,237,424,321,102.80,7282,43,0.349,0.232,0.0059,424,501,456,26.73,1186,13,0.057,0.069,0.0108,501,690,596,104.37,8244,68,0.395,0.371,0.0083,,,,,,,,,
"US","Washington","Garfield",53023,2224,269,7,12095.32,3147.48,0.0260,5,244,325,287,102.52,60,1,0.223,0.144,0.0168,325,407,340,75.54,46,3,0.172,0.433,0.0656,458,539,511,17.54,16,1,0.060,0.096,0.0414,539,667,629,117.36,119,1,0.444,0.209,0.0122,667,690,685,51.26,15,0,0.054,0.000,0.0000
"US","Washington","Grant",53025,97733,17218,175,17617.39,1790.59,0.0102,5,54,110,66,5.33,182,3,0.011,0.017,0.0165,110,266,205,43.46,3024,21,0.176,0.121,0.0070,266,421,322,63.10,4705,45,0.273,0.257,0.0096,421,503,455,29.27,1304,11,0.076,0.062,0.0083,503,690,599,85.93,8042,96,0.467,0.547,0.0119
"US","Washington","Grays Harbor",53027,75061,9763,149,13006.75,1985.05,0.0153,5,158,264,235,14.95,601,11,0.062,0.075,0.0187,264,429,337,63.32,2906,46,0.298,0.307,0.0157,429,525,478,31.48,1070,19,0.110,0.129,0.0179,525,669,614,88.58,4639,68,0.475,0.458,0.0147,669,690,681,44.14,560,6,0.057,0.039,0.0105
"US","Washington","Island",53029,85141,4600,52,5402.80,610.75,0.0113,5,54,87,65,11.33,163,8,0.035,0.144,0.0460,209,397,351,14.22,1025,16,0.223,0.307,0.0156,397,430,410,10.83,186,2,0.041,0.044,0.0122,430,506,461,10.05,355,1,0.077,0.026,0.0038,506,690,577,32.72,2787,23,0.606,0.437,0.0081
"US","Washington","Jefferson",53031,32220,1296,20,4022.35,620.73,0.0154,5,250,336,300,11.61,138,1,0.106,0.051,0.0073,336,407,350,10.92,130,1,0.100,0.051,0.0078,491,650,595,38.05,698,14,0.539,0.675,0.0193,650,675,667,17.78,117,1,0.090,0.064,0.0109,675,690,680,16.05,76,2,0.059,0.098,0.0256
"US","Washington","King",53033,2252782,176395,2112,7830.10,937.51,0.0120,5,53,126,62,8.64,7882,558,0.045,0.264,0.0709,126,235,180,8.03,13201,183,0.075,0.087,0.0138,235,405,320,34.46,63406,663,0.359,0.314,0.0105,405,518,462,17.90,27761,236,0.157,0.112,0.0085,518,690,569,27.72,64525,483,0.366,0.229,0.0075
"US","Washington","Kitsap",53035,271472,18657,255,6872.53,939.32,0.0137,5,57,84,69,2.71,129,1,0.007,0.004,0.0086,140,241,184,7.08,968,11,0.052,0.042,0.0112,241,406,352,20.19,4687,73,0.251,0.285,0.0155,406,520,452,15.88,2970,32,0.159,0.125,0.0107,520,690,596,43.01,9895,139,0.530,0.543,0.0140
"US","Washington","Kittitas",53037,47935,5399,55,11263.17,1147.39,0.0102,5,131,215,175,26.54,369,21,0.068,0.382,0.0570,224,389,314,69.78,1688,9,0.313,0.164,0.0053,389,532,472,33.73,1232,6,0.228,0.117,0.0052,532,667,616,49.75,1793,19,0.332,0.341,0.0104,667,690,679,31.04,247,0,0.046,0.000,0.0000
"US","Washington","Klickitat",53039,22425,2307,30,10287.63,1337.79,0.0130,5,54,89,62,3.34,16,2,0.007,0.062,0.1190,125,254,207,23.32,188,0,0.081,0.000,0.0000,254,424,346,32.73,464,7,0.201,0.234,0.0151,424,530,489,19.40,217,1,0.094,0.049,0.0067,530,690,622,72.37,1416,20,0.614,0.657,0.0139
"US","Washington","Lewis",53041,80707,11290,180,13988.87,2230.29,0.0159,5,60,79,67,1.18,15,2,0.001,0.010,0.1202,142,260,251,13.73,614,5,0.054,0.029,0.0084,260,420,319,53.89,3198,42,0.283,0.235,0.0132,420,527,490,27.67,1504,27,0.133,0.147,0.0177,527,690,596,91.81,5956,104,0.528,0.579,0.0175
"US","Washington","Lincoln",53043,10939,1513,25,13831.25,2285.40,0.0165,5,152,163,157,1.92,2,0,0.001,0.000,0.0000,171,211,196,14.44,27,1,0.018,0.031,0.0286,220,401,300,44.06,306,4,0.202,0.162,0.0132,401,532,486,51.92,343,7,0.227,0.282,0.0206,532,690,599,120.76,835,13,0.552,0.521,0.0156
"US","Washington","Mason",53045,66768,6626,85,9923.92,1273.06,0.0128,5,63,87,72,2.11,20,0,0.003,0.000,0.0015,142,234,196,11.97,315,2,0.048,0.024,0.0064,234,422,316,49.72,2040,23,0.308,0.272,0.0113,422,524,455,11.70,552,8,0.083,0.097,0.0149,524,690,628,59.01,3688,51,0.557,0.603,0.0139
"US","Washington","Okanogan",53047,42243,5681,102,13448.38,2414.60,0.0180,5,104,255,179,78.17,1067,10,0.188,0.101,0.0096,255,395,322,38.07,1009,24,0.178,0.233,0.0236,395,432,402,15.81,185,0,0.033,0.002,0.0013,432,535,476,18.11,545,7,0.096,0.068,0.0127,535,690,588,92.13,2865,59,0.504,0.580,0.0206
"US","Washington","Pacific",53049,22471,1939,38,8628.90,1691.07,0.0196,5,173,223,197,6.68,45,1,0.023,0.027,0.0224,223,418,326,101.73,707,8,0.365,0.211,0.0113,418,518,451,24.52,231,4,0.119,0.105,0.0173,518,672,600,56.43,884,20,0.456,0.533,0.0229,674,690,683,16.91,55,4,0.028,0.103,0.0715
"US","Washington","Pend Oreille",53051,13724,1697,24,12365.20,1748.76,0.0141,5,120,126,122,0.80,1,0,0.000,0.000,0.0000,154,220,177,11.59,53,0,0.031,0.000,0.0000,220,436,316,60.26,622,7,0.366,0.295,0.0114,436,524,473,21.57,151,2,0.089,0.084,0.0133,524,690,597,82.05,871,15,0.513,0.627,0.0173
"US","Washington","Pierce",53053,904980,101276,987,11190.97,1090.63,0.0097,5,55,120,72,5.67,1716,75,0.017,0.076,0.0438,120,231,184,11.17,5527,102,0.055,0.104,0.0185,231,408,322,39.11,31679,387,0.313,0.392,0.0122,408,522,457,27.81,18095,83,0.179,0.084,0.0046,522,690,595,48.27,44462,346,0.439,0.350,0.0078
"US","Washington","San Juan",53055,17582,448,0,2548.06,0.00,0.0000,5,271,329,296,8.47,42,0,0.093,0.000,0.0000,335,398,381,11.20,49,0,0.110,0.000,0.0000,416,500,442,12.06,65,0,0.144,0.000,0.0000,538,606,569,13.88,95,0,0.211,0.000,0.0000,606,673,665,25.42,133,0,0.297,0.000,0.0000
"US","Washington","Skagit",53057,129205,13171,144,10193.88,1114.51,0.0109,5,54,119,65,8.03,424,14,0.032,0.097,0.0328,132,240,176,9.05,669,8,0.051,0.056,0.0120,240,414,321,32.37,3472,39,0.264,0.273,0.0113,414,521,461,21.16,1465,15,0.111,0.104,0.0102,521,690,640,53.78,7143,68,0.542,0.475,0.0096
"US","Washington","Skamania",53059,12083,874,7,7233.30,579.33,0.0080,5,63,83,75,1.32,3,0,0.003,0.000,0.0000,151,207,170,17.30,56,1,0.064,0.144,0.0181,235,408,321,30.79,195,0,0.223,0.000,0.0000,417,532,467,31.78,135,-0,0.155,-0.000,-0.0000,532,690,616,46.43,483,6,0.553,0.860,0.0125
"US","Washington","Snohomish",53061,822082,74227,813,9029.15,988.95,0.0110,5,52,128,63,11.67,2944,147,0.040,0.181,0.0500,128,229,177,6.70,3562,54,0.048,0.067,0.0153,229,411,321,36.02,24176,339,0.326,0.417,0.0140,411,513,453,16.70,9145,55,0.123,0.068,0.0060,513,690,580,38.22,34521,221,0.465,0.272,0.0064
"US","Washington","Spokane",53063,522797,78579,1122,15030.50,2146.15,0.0143,5,57,98,67,2.92,350,21,0.004,0.019,0.0613,113,220,187,16.84,4890,99,0.062,0.088,0.0202,220,418,320,70.37,32086,455,0.408,0.406,0.0142,418,525,490,30.54,9589,96,0.122,0.086,0.0100,525,690,596,66.19,31753,445,0.404,0.397,0.0140
"US","Washington","Stevens",53065,45723,5471,107,11965.53,2340.18,0.0196,5,128,142,131,0.63,4,0,0.001,0.000,0.0000,156,219,189,7.72,108,0,0.020,0.000,0.0000,219,409,316,49.27,1529,23,0.279,0.211,0.0147,409,525,458,22.88,743,8,0.136,0.076,0.0109,525,690,598,95.88,3082,76,0.563,0.710,0.0247
"US","Washington","Thurston",53067,290536,23583,262,8117.07,901.78,0.0111,5,124,226,186,4.78,856,14,0.036,0.054,0.0165,226,331,321,19.95,3179,34,0.135,0.131,0.0108,331,416,351,22.42,3333,30,0.141,0.114,0.0089,416,523,490,20.07,3588,33,0.152,0.127,0.0093,523,690,614,38.11,12587,151,0.534,0.576,0.0120
"US","Washington","Unassigned",90053,-1,1542,4,0.00,0.00,0.0026,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US","Washington","Wahkiakum",53069,4488,309,5,6885.03,1114.08,0.0162,5,248,274,265,6.46,4,0,0.013,0.000,0.0000,277,345,309,43.23,39,0,0.125,0.000,0.0000,345,419,399,33.65,53,0,0.171,0.000,0.0000,441,532,505,39.44,54,1,0.176,0.202,0.0185,532,690,602,40.33,153,4,0.495,0.806,0.0263
"US","Washington","Walla Walla",53071,60759,9354,113,15395.25,1859.81,0.0121,5,61,116,99,7.54,105,2,0.011,0.018,0.0193,127,241,194,23.17,752,1,0.080,0.010,0.0016,241,429,333,93.22,3952,61,0.422,0.539,0.0154,429,475,458,12.54,248,1,0.027,0.008,0.0036,475,690,601,70.77,4307,48,0.460,0.428,0.0112
"US","Washington","Whatcom",53073,229247,18987,182,8282.33,793.90,0.0096,5,55,111,71,5.87,337,31,0.018,0.173,0.0934,111,213,153,6.29,718,3,0.038,0.014,0.0036,252,429,354,38.46,6047,48,0.318,0.265,0.0080,429,526,471,17.52,2528,16,0.133,0.090,0.0065,526,690,585,39.12,9077,79,0.478,0.435,0.0087
"US","Washington","Whitman",53075,50104,6082,82,12138.75,1636.60,0.0135,5,59,75,67,1.74,11,0,0.002,0.000,0.0000,128,280,223,92.69,1791,13,0.294,0.155,0.0071,280,387,302,54.55,1425,28,0.234,0.341,0.0196,387,524,422,52.59,1116,11,0.184,0.132,0.0097,524,690,601,45.59,1748,32,0.287,0.391,0.0183
"US","Washington","Yakima",53077,250872,45776,642,18246.76,2559.07,0.0140,3,56,249,134,56.77,11644,261,0.254,0.406,0.0224,249,507,349,84.27,18772,189,0.410,0.294,0.0100,507,690,588,80.56,15402,193,0.336,0.301,0.0126,,,,,,,,,,,,,,,,,,
