Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","West Virginia","Barbour",54001,16440,3072,53,18686.13,3223.84,0.0173,5,221,357,351,193.80,1024,13,0.333,0.249,0.0129,364,388,369,47.87,126,5,0.041,0.097,0.0408,388,439,404,41.30,167,5,0.054,0.088,0.0280,439,525,463,29.87,194,8,0.063,0.143,0.0391,525,690,583,147.20,1558,21,0.507,0.398,0.0136
"US","West Virginia","Berkeley",54003,119170,21481,202,18025.51,1695.06,0.0094,5,61,156,121,6.91,444,10,0.021,0.050,0.0225,206,403,352,94.73,8957,88,0.417,0.437,0.0099,403,522,444,41.79,3167,32,0.147,0.159,0.0102,522,651,616,69.30,5992,54,0.279,0.267,0.0090,651,690,690,90.75,2703,18,0.126,0.088,0.0066
"US","West Virginia","Boone",54005,21457,4096,62,19089.34,2889.50,0.0151,5,130,150,137,3.50,10,0,0.002,0.000,0.0000,156,209,196,14.12,101,0,0.025,0.000,0.0000,209,405,332,74.01,1466,32,0.358,0.509,0.0215,405,527,443,37.00,597,5,0.146,0.076,0.0079,527,690,600,119.96,1918,26,0.468,0.420,0.0136
"US","West Virginia","Braxton",54007,13956,2496,27,17884.78,1934.65,0.0108,5,166,187,172,2.01,5,0,0.002,0.000,0.0000,234,401,347,252.15,764,1,0.306,0.037,0.0013,401,527,469,26.23,245,3,0.098,0.121,0.0133,527,656,605,193.61,1208,17,0.484,0.644,0.0144,656,690,690,69.43,281,6,0.113,0.216,0.0208
"US","West Virginia","Brooke",54009,21938,3503,81,15967.73,3692.22,0.0231,5,144,229,171,9.16,96,1,0.027,0.018,0.0153,229,422,323,118.70,1945,57,0.555,0.705,0.0294,422,519,448,19.33,203,2,0.058,0.024,0.0094,527,642,601,85.38,794,12,0.227,0.144,0.0147,642,690,680,59.67,469,10,0.134,0.120,0.0207
"US","West Virginia","Cabell",54011,91944,16620,288,18076.22,3132.34,0.0173,5,68,115,78,2.25,54,0,0.003,0.000,0.0000,121,456,326,86.48,8581,180,0.516,0.624,0.0210,465,514,470,10.51,261,6,0.016,0.019,0.0210,514,661,600,146.38,6625,100,0.399,0.347,0.0151,661,690,681,54.61,1165,12,0.070,0.041,0.0102
"US","West Virginia","Calhoun",54013,7109,1129,9,15881.28,1266.00,0.0080,5,202,263,228,15.61,24,0,0.021,0.000,0.0000,263,406,351,55.70,201,0,0.178,0.000,0.0000,406,539,474,81.73,168,1,0.149,0.112,0.0060,539,672,590,247.15,651,5,0.577,0.524,0.0072,675,690,679,70.90,74,3,0.065,0.359,0.0439
"US","West Virginia","Clay",54015,8508,1472,24,17301.36,2820.87,0.0163,5,123,149,131,5.41,8,0,0.005,0.007,0.0203,207,406,321,69.93,360,4,0.245,0.172,0.0115,406,526,479,41.61,166,6,0.113,0.247,0.0358,536,668,597,185.83,809,10,0.550,0.418,0.0124,668,690,690,109.43,124,3,0.085,0.135,0.0261
"US","West Virginia","Doddridge",54017,8448,1480,12,17518.94,1420.45,0.0081,5,219,276,263,31.96,63,1,0.042,0.084,0.0161,276,411,360,76.59,403,5,0.272,0.424,0.0126,411,535,420,34.45,176,-0,0.119,-0.003,-0.0002,535,682,644,222.66,806,6,0.545,0.482,0.0072,682,690,682,44.98,31,0,0.021,0.029,0.0112
"US","West Virginia","Fayette",54019,42406,7103,141,16749.99,3325.00,0.0199,5,145,265,222,45.70,639,14,0.090,0.100,0.0221,265,402,347,67.23,1963,52,0.276,0.371,0.0266,402,518,435,39.19,902,9,0.127,0.065,0.0101,518,657,600,106.57,2830,51,0.398,0.365,0.0182,657,690,681,66.55,745,11,0.105,0.078,0.0148
