Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR,Waves,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR,Start,End,Peak,NormalizedPeakValue,CaseCount,DeathCount,Weight,DeathWeight,CFR
"US","Wyoming","Albany",56001,38880,6890,40,17721.19,1028.81,0.0058,5,65,75,70,0.87,3,0,0.000,0.000,0.0000,114,133,124,3.96,17,0,0.002,0.000,0.0000,144,410,294,190.02,3889,11,0.565,0.277,0.0028,410,519,472,34.16,692,5,0.100,0.134,0.0077,519,690,615,54.50,2289,24,0.332,0.600,0.0105
"US","Wyoming","Big Horn",56003,11789,2163,58,18347.61,4919.84,0.0268,5,118,200,161,10.26,33,0,0.015,0.000,0.0000,200,234,224,9.42,15,1,0.007,0.017,0.0694,240,438,345,91.61,1062,31,0.491,0.535,0.0292,438,518,460,17.39,87,3,0.040,0.045,0.0297,518,690,609,151.33,963,24,0.445,0.409,0.0246
"US","Wyoming","Campbell",56005,46341,9391,124,20264.99,2675.82,0.0132,5,65,112,92,2.20,28,0,0.003,0.000,0.0000,132,382,297,157.12,4612,56,0.491,0.449,0.0121,390,406,403,5.80,34,0,0.004,0.002,0.0064,406,524,487,21.02,511,3,0.054,0.024,0.0057,524,690,607,125.46,4211,64,0.448,0.519,0.0153
"US","Wyoming","Carbon",56007,14800,3231,45,21831.08,3040.54,0.0139,5,156,239,207,57.09,183,2,0.056,0.044,0.0108,239,343,303,130.20,740,13,0.229,0.278,0.0169,343,439,356,85.07,581,9,0.180,0.194,0.0150,500,603,595,96.35,671,10,0.208,0.227,0.0152,603,672,638,141.89,770,10,0.238,0.222,0.0130
"US","Wyoming","Converse",56009,13822,2355,45,17038.06,3255.68,0.0191,5,62,106,91,7.38,23,0,0.010,0.000,0.0000,149,186,176,1.45,6,0,0.002,0.000,0.0000,220,435,300,85.08,947,17,0.402,0.379,0.0180,435,454,446,4.12,8,0,0.003,0.000,0.0000,456,690,598,132.40,1365,28,0.580,0.629,0.0207
"US","Wyoming","Crook",56011,7584,1004,21,13238.40,2768.99,0.0209,5,190,220,209,4.09,5,0,0.005,0.000,0.0000,223,386,296,108.65,403,11,0.401,0.517,0.0269,406,450,420,5.54,10,1,0.010,0.048,0.1013,450,523,490,13.19,31,0,0.031,0.021,0.0144,523,690,608,112.21,546,9,0.544,0.413,0.0159
"US","Wyoming","Fremont",56013,39261,9553,156,24332.03,3973.41,0.0163,5,54,146,105,18.19,313,0,0.033,0.000,0.0000,146,203,176,12.46,198,0,0.021,0.000,0.0000,215,352,301,197.40,3494,67,0.366,0.431,0.0192,352,511,356,59.80,1231,19,0.129,0.121,0.0153,511,690,609,142.84,4277,71,0.448,0.458,0.0167
"US","Wyoming","Goshen",56015,13211,2677,49,20263.42,3709.03,0.0183,5,62,79,72,1.59,3,0,0.001,0.000,0.0000,104,110,106,0.83,1,0,0.000,0.000,0.0000,158,421,303,181.82,1158,23,0.432,0.472,0.0200,421,499,454,19.60,65,1,0.024,0.021,0.0155,499,690,630,193.78,1451,25,0.542,0.513,0.0173
"US","Wyoming","Hot Springs",56017,4413,892,11,20213.01,2492.64,0.0123,5,107,133,117,13.82,9,0,0.010,0.000,0.0000,171,205,198,11.78,11,0,0.012,0.000,0.0000,232,324,303,144.35,153,1,0.171,0.092,0.0066,324,427,359,150.69,182,2,0.204,0.182,0.0110,524,690,588,505.33,521,8,0.584,0.740,0.0156
"US","Wyoming","Johnson",56019,8445,1373,16,16258.14,1894.61,0.0117,5,225,374,303,128.83,585,8,0.426,0.501,0.0137,390,410,400,128.36,97,0,0.071,0.021,0.0035,468,521,497,8.76,24,0,0.017,0.000,0.0000,521,630,585,105.03,391,5,0.285,0.317,0.0130,630,690,664,78.39,245,1,0.179,0.062,0.0041
"US","Wyoming","Laramie",56021,99500,17990,223,18080.40,2241.21,0.0124,5,139,217,190,7.20,366,0,0.020,0.001,0.0003,217,395,302,130.19,7572,105,0.421,0.470,0.0138,395,446,427,17.79,664,8,0.037,0.034,0.0113,446,618,566,56.65,5765,57,0.320,0.254,0.0098,618,690,662,64.07,3497,56,0.194,0.252,0.0160
"US","Wyoming","Lincoln",56023,19830,3004,25,15148.76,1260.72,0.0083,5,68,96,74,2.27,9,0,0.003,0.000,0.0000,150,211,182,18.96,90,0,0.030,0.000,0.0000,211,406,299,64.95,1136,11,0.378,0.444,0.0098,406,481,412,20.73,174,1,0.058,0.039,0.0056,506,690,602,112.76,1589,13,0.529,0.518,0.0081
"US","Wyoming","Natrona",56025,79857,16545,231,20718.28,2892.67,0.0140,5,59,95,71,2.32,47,0,0.003,0.000,0.0000,110,195,164,4.71,174,0,0.010,0.000,0.0000,220,427,300,184.77,7521,133,0.455,0.575,0.0176,427,514,477,8.88,407,5,0.025,0.023,0.0133,514,690,597,116.01,8357,93,0.505,0.402,0.0111
"US","Wyoming","Niobrara",56027,2356,499,8,21179.97,3395.59,0.0160,5,263,366,301,211.38,141,2,0.283,0.250,0.0142,372,413,401,8.91,5,0,0.010,0.000,0.0000,449,499,467,36.93,13,0,0.027,0.000,0.0000,537,624,608,174.87,161,3,0.323,0.338,0.0167,624,690,661,204.58,177,3,0.355,0.374,0.0169
"US","Wyoming","Park",56029,29193,5585,108,19131.30,3699.52,0.0193,5,138,209,159,15.17,147,0,0.026,0.000,0.0000,209,306,290,105.81,1051,5,0.188,0.048,0.0049,306,429,354,88.58,1460,25,0.261,0.232,0.0171,435,524,482,18.87,261,1,0.047,0.011,0.0044,529,690,622,111.29,2681,76,0.480,0.706,0.0284
"US","Wyoming","Platte",56031,8393,1562,33,18610.75,3931.85,0.0211,5,148,166,160,2.74,3,0,0.002,0.000,0.0000,227,443,287,84.24,605,10,0.387,0.312,0.0170,443,506,496,24.07,57,0,0.037,0.000,0.0000,506,601,585,133.68,393,6,0.252,0.187,0.0157,601,690,617,110.57,505,16,0.324,0.500,0.0326
"US","Wyoming","Sheridan",56033,30484,5903,59,19364.26,1935.44,0.0100,5,55,77,67,2.39,12,0,0.002,0.000,0.0000,85,95,90,1.48,4,0,0.001,0.000,0.0000,150,435,302,171.86,3059,31,0.518,0.527,0.0102,435,522,470,13.94,189,0,0.032,0.000,0.0000,522,690,596,109.63,2640,28,0.447,0.478,0.0107
"US","Wyoming","Sublette",56035,9831,1504,23,15298.55,2339.54,0.0153,5,143,162,151,2.24,3,0,0.002,0.000,0.0000,165,207,185,16.68,35,0,0.023,0.000,0.0000,207,401,302,141.80,634,7,0.422,0.305,0.0111,401,507,441,33.16,127,0,0.085,0.000,0.0000,526,690,613,128.06,707,16,0.470,0.702,0.0228
