20A.EU1,20I.Alpha.V1,20J.Gamma.V3,21A.Delta,21H.Mu,21I.Delta,21J.Delta
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0
0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0
0.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.0
0.0,0.8260869565217391,0.0,0.0,0.0,0.0,0.0
0.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.0
0.0,0.95,0.0,0.0,0.0,0.0,0.0
0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0
0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.75,0.0,0.0,0.0,0.0,0.0
0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0
0.0,0.125,0.0,0.0,0.0,0.375,0.125
0.0,0.08333333333333333,0.0,0.0,0.0,0.5833333333333334,0.16666666666666666
0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.25
0.0,0.0,0.0,0.0,0.0,0.5,0.4166666666666667
0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5
0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.5294117647058824
0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.6111111111111112
0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.6666666666666666
0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.7297297297297297
0.0,0.0,0.0,0.0,0.0,0.2682926829268293,0.7073170731707317
0.0,0.0,0.0,0.0,0.0,0.3611111111111111,0.6111111111111112
0.0,0.0,0.0,0.0,0.0,0.39473684210526316,0.5526315789473685
0.0,0.0,0.0,0.0,0.0,0.3783783783783784,0.5945945945945946
0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.6944444444444444
0.0,0.0,0.0,0.0,0.0,0.2,0.7714285714285715
0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.8461538461538461
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
