Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08
All,France,32,68,71,47,29,21,18,19,17,15,18,27,39,57,80,104,126,146,209,317,361,306,227,207,246,352,492,526,440,344,269,208,180,190,224,277,421,694,1013,1408,1739,1666,1510,1611,1885,2290,2769,3244,3183,2851,2577,2491,2306,2059,1784,1646,1557,1460,1246,1078,1025,1284,1925,3207,5054,6166,5592,4586,4273,4281,4056,3441,2701,2146,1813,1644,1667,1786,1624,970,0
All,Germany,19,39,42,42,46,51,120,406,694,517,198,70,40,30,36,56,80,86,76,68,85,127,161,172,175,180,194,213,229,254,288,332,393,435,414,374,414,673,1244,2042,2805,3445,4132,4855,5489,6107,6806,7483,7970,8373,9071,9891,9941,9319,8337,6899,5504,4337,3266,2355,1687,1339,1312,1519,1961,2512,3046,3975,5596,7473,8939,9737,9826,9176,8181,7112,6136,5350,4198,2201,0
All,Spain,28,61,69,56,43,34,29,34,51,64,60,61,71,81,99,117,130,139,150,185,222,240,254,257,249,236,216,194,192,197,198,224,310,410,468,512,608,776,1066,1358,1474,1437,1359,1335,1335,1322,1280,1266,1324,1369,1406,1431,1438,1543,1614,1517,1388,1404,1485,1471,1519,1868,2409,2682,2667,2610,2492,2268,1977,1756,1590,1369,1127,929,779,682,622,603,552,364,0
All,Netherlands,37,76,85,92,108,95,72,57,46,44,45,40,32,35,45,53,63,64,64,67,87,117,133,146,172,200,209,208,212,219,233,258,299,367,451,536,633,746,843,940,1055,1138,1193,1284,1478,1772,1957,1927,1890,1872,1826,1823,1880,1914,1824,1686,1549,1412,1307,1211,1057,1003,1367,2000,2278,2060,1683,1420,1398,1540,1587,1440,1288,1194,1094,1030,1085,1097,831,401,0
All,Hong Kong,0,1,1,1,2,2,4,4,6,17,45,88,117,120,97,67,46,33,27,21,18,19,21,25,24,15,9,11,23,47,84,106,88,74,86,89,64,36,29,33,29,17,9,9,16,35,53,45,29,30,34,31,23,18,13,8,5,8,12,14,19,26,23,13,8,8,10,12,13,17,21,22,19,13,11,11,11,10,8,0,0
All,Belgium,20,45,54,43,25,13,9,13,18,20,21,23,34,56,74,71,49,33,31,42,71,98,89,73,94,141,175,150,112,107,100,86,91,125,151,150,201,335,542,754,864,884,905,1003,1106,1200,1359,1530,1633,1602,1521,1542,1614,1638,1604,1572,1506,1326,1102,881,715,731,1034,1483,1771,1842,1891,2048,2128,2095,2041,1905,1634,1419,1370,1401,1413,1383,1182,740,338
All,United Kingdom,771,1663,1915,1600,1232,1084,1413,1907,1843,1378,971,698,665,678,737,997,1391,1811,2196,2625,3299,4188,5020,5614,6431,7409,8234,8816,9508,9253,7411,5681,6111,8449,9925,9997,10956,12944,14860,16380,16867,15753,15604,16200,16032,16018,16811,16929,15520,12572,9586,7968,7363,7151,7278,8170,10675,14750,17660,18088,20021,24330,26914,26253,26857,30138,31833,31556,31835,34157,36862,38195,38384,38211,37895,37974,37976,37370,35632,27814,0
All,Switzerland,20,38,33,18,12,12,13,14,20,35,58,75,79,76,74,81,101,128,145,139,113,74,87,177,310,432,508,665,896,926,778,711,771,1005,1345,1560,1686,1752,1762,1728,1593,1347,1082,948,961,1066,1182,1222,1250,1356,1524,1732,1892,1855,1625,1370,1169,936,685,486,340,291,421,753,1198,1621,2077,2633,3013,2899,2494,2305,2242,2132,1976,1775,1647,1671,1651,1210,0
All,Ireland,21,41,39,26,18,10,4,2,2,4,10,15,15,21,31,38,37,0,19,31,49,53,36,34,53,55,38,31,38,46,54,51,36,39,64,91,124,167,222,294,456,677,771,778,796,784,806,841,783,693,700,767,869,959,985,1023,1079,981,813,767,771,741,817,1088,1339,1464,1489,1440,1391,1331,1213,1218,1211,1026,877,883,813,558,250,0,0
All,Norway,4,9,12,10,7,5,6,11,19,25,26,22,22,35,63,76,55,34,36,46,47,52,69,78,79,92,117,129,112,92,84,90,105,123,134,143,178,241,335,488,625,668,682,713,748,787,814,820,767,744,825,870,855,856,874,842,753,659,589,516,450,418,421,435,452,501,596,700,792,861,912,951,907,815,736,640,506,367,223,112,0
