Variant,Country,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01
All,France,117,82,35,27,21,10,27,16,13,13,30,37,48,92,90,148,135,116,406,414,342,146,203,224,262,606,621,396,337,282,168,179,152,250,242,275,738,1016,1150,2339,1643,1075,1881,1348,2858,1803,4553,2527,3451,1677,3284,1687,2667,1090,2138,1034,2074,717,1462,473,1376,1516,2622,5181,7967,5488,3746,4311,4334,4424,3468,2517,1966,1785,1486,1574,1638,1188,161,0
All,Germany,75,30,38,56,45,37,38,1490,358,32,66,37,18,35,40,104,92,82,47,68,129,195,157,186,169,182,229,199,257,280,316,379,512,405,366,275,514,1046,2106,2986,3316,4071,4989,5484,6003,6760,7670,7996,8300,8390,10922,10194,9025,9160,6421,5403,4355,3128,2264,1516,1112,1272,1368,1781,2788,2776,3414,5445,7759,9423,9809,10577,9013,8354,6931,6141,4842,5905,1164,33
All,Netherlands,137,77,49,177,71,73,58,40,39,52,49,18,27,63,29,94,43,84,45,75,143,130,136,161,229,206,206,210,222,215,270,263,374,443,549,592,780,857,879,1118,1151,1172,1243,1364,1796,2276,1748,1915,1943,1744,1830,1798,2125,1761,1705,1554,1398,1252,1310,1075,719,979,2432,2604,2072,1631,1255,1270,1594,1839,1323,1260,1218,1123,882,1070,1331,835,29,0
All,Spain,100,75,54,38,39,19,33,37,103,36,58,82,70,95,136,111,170,108,185,259,213,275,263,248,236,239,156,203,199,208,150,320,428,531,396,675,619,1042,1549,1505,1517,1235,1379,1307,1359,1298,1127,1422,1359,1340,1610,1197,1616,1765,1543,1257,1291,1707,1384,1391,1518,2772,2865,2505,2747,2469,2405,1845,1697,1675,1365,1054,866,610,630,548,435,472,48,0
All,Hong Kong,2,1,3,1,2,6,4,1,14,20,113,121,144,104,47,58,15,40,15,14,23,17,24,41,5,8,6,20,37,77,165,69,46,95,121,61,19,19,48,34,11,6,6,15,13,99,40,10,31,43,34,18,22,14,7,2,6,20,10,12,40,28,5,10,5,12,14,10,17,24,25,24,5,16,8,14,8,13,4,0
All,Belgium,70,64,46,21,7,8,7,31,11,28,19,20,64,82,97,33,29,25,34,54,145,101,18,112,104,259,154,50,146,95,81,67,107,240,61,181,293,491,885,871,946,762,1045,1173,1060,1421,1511,1751,1685,1350,1561,1633,1704,1583,1525,1687,1264,1139,856,641,540,863,1703,1861,1949,1597,2268,2155,2093,2009,2148,1496,1331,1305,1469,1395,1295,1067,342,42
All,United Kingdom,2701,2052,1547,1220,751,1010,2641,2074,1033,1252,191,897,639,551,946,1411,1772,2372,2222,3444,3749,5967,4655,6912,6830,9330,7648,10253,10772,7223,4363,4064,9432,12046,7675,10819,12508,15752,14779,20960,12305,15757,17016,16186,14002,18407,16833,17192,12389,8245,7615,7276,6983,7069,7289,9309,14501,22251,14983,18025,25290,30945,24775,22182,34286,31799,32131,28971,34622,37752,39153,37854,38969,37262,37412,39455,32903,34332,28222,214
All,Switzerland,78,28,11,12,11,16,11,14,30,59,91,78,81,64,77,97,123,183,115,173,13,39,171,277,536,462,465,1142,1102,583,719,702,764,1662,1456,1772,1786,1730,1833,1625,1428,931,890,922,1014,1301,1223,1155,1363,1481,1719,2042,1992,1626,1256,1262,948,618,490,304,175,323,640,1286,1646,1878,2743,3307,3322,1969,2403,2288,2090,2098,1682,1570,1487,1591,218,0
All,Ireland,79,36,19,24,6,2,4,1,1,8,30,2,20,39,34,53,22,0,35,44,96,6,16,69,82,18,18,52,35,60,75,16,17,83,74,134,140,247,258,302,875,832,642,962,668,796,922,867,516,755,709,869,1032,1004,869,1298,1055,616,786,823,747,521,1238,1386,1514,1531,1480,1233,1647,882,1276,1425,997,621,1006,483,206,23,0,0
All,Norway,14,14,12,6,3,5,8,23,25,36,18,15,24,60,126,38,21,26,64,45,30,86,87,69,76,128,158,107,81,82,82,105,125,149,121,151,265,257,483,747,649,654,747,701,846,760,910,792,536,971,876,853,800,946,863,772,602,630,504,430,396,414,452,428,459,600,715,773,932,817,1090,904,795,731,710,439,412,130,84,13
All,Italy,92,34,30,10,3,31,25,19,39,68,17,11,19,7,18,11,48,82,67,79,108,38,57,74,106,66,267,149,114,99,141,91,205,493,380,329,403,521,627,170,816,1265,1799,1860,2246,2503,2992,1478,1874,1851,1861,2712,1277,1355,922,1803,819,776,707,671,1211,1113,1842,1879,2626,2155,1841,1609,1470,1874,1483,907,1136,1066,1097,1075,578,632,141,17
All,Denmark,79,76,76,60,65,57,99,70,35,25,33,67,75,77,35,401,305,289,709,268,773,870,438,397,1154,399,1493,1570,1274,1840,2200,2857,4301,5014,3691,3990,4139,4382,3711,2544,2214,1967,2411,2672,2689,2959,3364,3703,3463,3409,3653,3584,4072,4901,4877,4679,4560,3693,1930,1041,924,2058,2919,5974,4684,5434,5228,5697,5277,5127,3477,2643,1888,2222,2622,3387,4116,6825,4246,0
All,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,13,37,42,39,41,34,28,15,199,258,298,556,477,349,373,155,96,69,96,88,63,82,65,61,102,65,19,18,11,11,10,7,8,17,37,53,50,35,53,100,57,39,24,17,24,30,15,16,21,15,25,95,528,659,790,700,568,398,2,0,0,0,0,0,0,0,0,0
