state,class
Alabama,0
Arizona,0
California,0
Florida,0
Georgia,0
Indiana,0
Kansas,0
Louisiana,0
Mississippi,0
New Mexico,0
North Carolina,0
Ohio,0
South Carolina,0
Tennessee,0
Texas,0
Utah,0
Virginia,0
Alaska,4
Idaho,4
Montana,4
West Virginia,4
Wyoming,4
Arkansas,3
Missouri,3
Nevada,3
Colorado,7
Delaware,7
Illinois,7
Maryland,7
Michigan,7
Minnesota,7
Pennsylvania,7
Connecticut,6
Hawaii,6
Maine,6
Massachusetts,6
New Hampshire,6
New Jersey,6
New York,6
Oregon,6
Rhode Island,6
Vermont,6
Washington,6
Iowa,5
Nebraska,5
Wisconsin,5
Kentucky,1
Oklahoma,1
North Dakota,2
South Dakota,2
