state,class
Adams,7
Yakima,7
Asotin,4
Clark,4
Garfield,4
Lincoln,4
Pacific,4
Spokane,4
Wahkiakum,4
Benton,2
Columbia,2
Douglas,2
Franklin,2
Mason,2
Walla Walla,2
Chelan,0
Grant,0
Clallam,5
Cowlitz,5
Ferry,5
Grays Harbor,5
Kitsap,5
Kittitas,5
Klickitat,5
Lewis,5
Okanogan,5
Pend Oreille,5
Pierce,5
Skamania,5
Stevens,5
Thurston,5
Whitman,5
Island,8
Jefferson,9
King,6
San Juan,6
Skagit,6
Snohomish,6
Whatcom,6
Unassigned,1
Walla Walla County,3
Garfield County,3
